"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Xiaoli D.; Yufeng L.; Sanwei L.; Huicong L.; Lipeng Z.","Xiaoli, Duan (57221851496); Yufeng, Liu (59698240000); Sanwei, Liu (56460491900); Huicong, Liu (24174650800); Lipeng, Zhong (57203985714)","57221851496; 59698240000; 56460491900; 24174650800; 57203985714","Review on Ablative Mechanism of the Buffer Layer in High Voltage XLPE Cable and Associated Detection Methods; [高压 XLPE 电缆缓冲层烧蚀机理及检测方法综述]","2025","Diangong Jishu Xuebao/Transactions of China Electrotechnical Society","40","5","","1540","1558","18","0","10.19595/j.cnki.1000-6753.tces.240345","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000459781&doi=10.19595%2fj.cnki.1000-6753.tces.240345&partnerID=40&md5=c1e744af842be54b4eb25ae100534b5c","The water-blocking buffer layer, as an essential component of high-voltage cross-linked polyethylene (XLPE) cables in China, plays roles in electrical connection, moisture absorption and water blocking, and mechanical buffering. However, in recent years, the problem of buffer layer erosion in corrugated aluminum sheath cables has become more prevalent, affecting the safety of equipment and systems. This article provides a comprehensive review of cable structure, buffer layer failure mechanisms, and buffer layer failure detection methods, aiming to provide references for research on buffer layer erosion issues in high-voltage cables, development of detection technologies, and formulation of efficient operation and maintenance strategies. Based on the analysis of the three-dimensional structure, development history, equivalent circuit principles, and key electrical parameters of cable buffer layers, this paper systematically analyzes three types of erosion mechanisms: chemical/electrochemical corrosion, suspended potential, and radial current concentration. It summarizes the reaction or action mechanisms of chemical/electrochemical corrosion, and the white powder formed after corrosion mainly consists of sodium polyacrylate, sodium carbonate, sodium bicarbonate, aluminum hydroxide, and aluminum oxide. The white powder on the surface of the insulation shielding layer mainly includes sodium polyacrylate precipitated by moisture and sodium carbonate and sodium bicarbonate precipitated by chemical reactions inside the buffer layer; the white powder on the surface between the buffer layer and the corrugated aluminum sheath includes sodium carbonate and sodium bicarbonate precipitated by chemical reactions inside the buffer layer, sodium carbonate, sodium bicarbonate, aluminum hydroxide, and aluminum oxide generated by chemical corrosion of the aluminum sheath, and aluminum hydroxide and aluminum oxide generated by electrochemical corrosion. Meanwhile, circuit models or multi-physics field simulation models are established to summarize the forms of suspended potential and radial current concentration faults and key influencing factors. It is found that increasing the thickness of the buffer layer can reduce the maximum surface electric field strength at the defect to a certain extent, but the difference is not by an order of magnitude, so the improvement effect is limited. However, the gap distance between the aluminum sheath and the buffer layer has a significant impact on the maximum surface electric field strength at the defect. When the gap distance increases from 0 to 1 mm, the maximum electric field strength decreases by 62%, indicating that adjusting the physical coordination between the aluminum sheath and the buffer layer is the key to improving the distribution of the electric field between the buffer layers. In addition, compared with the condition of radial current concentration erosion of the buffer layer combined with moisture and radial current concentration, the temperature rise of the buffer layer and the peak intensity of the heat source increase significantly, and the length of poor axial contact of the cable is shortened by nearly 58%. Finally, the feasibility and existing problems of three types of methods, namely X-ray detection, partial discharge detection, and characteristic gas detection, in buffer layer failure detection are discussed. It is found that the defect detection technology based on characteristic gas recognition has advantages such as high accuracy, nondestructive testing, and short detection time. It has great potential in diagnosing buffer layer erosion defects in cables, but it still needs to develop technologies suitable for on-site applications. The following conclusions can be drawn from simulation analysis and systematic review: (1) Water is the premise for the formation of white powder in the buffer layer, so preventing cables from getting wet is the key to avoiding chemical/electrochemical corrosion of the buffer layer. (2) Reasonable adjustment of the physical coordination between the aluminum sheath and the buffer layer is the key to improving the distribution of the electric field between the buffer layers. (3) The combination of buffer layer white powder and radial current concentration erosion conditions is more in line with actual engineering applications. Subsequent research on thermal erosion theory related to buffer layers should focus on the influence of white powder on the electrical characteristic parameters of the buffer layer. (4) The buffer layer defect detection technology based on characteristic gas recognition has broad development prospects. Subsequent research should focus on developing new types of inflatable cables with strong gas detection capabilities and accelerating the exploration and development of on-site portable devices for buffer layer erosion gas generation mechanisms, gas sampling, and gas detection. © 2025 China Machine Press. All rights reserved.","ablation mechanism; buffer layer; corrugated aluminum sheath; fault detection; HV cables; XLPE cables","Activation energy; Aluminum powder metallurgy; Bioreactors; Biosynthesis; Buffer circuits; Cable shielding; Cable suspended roofs; Chlorination; Coal combustion; Combustion synthesis; Corrugated metal; Crosslinking; Electrochemical oxidation; Equilibrium constants; Fluidized bed combustion; Hydrolysis; Internal corrosion; Nanoreactors; Partial discharges; Photodegradation; Photodissociation; Photoexcitation; Photoionization; Photolysis; Photooxidation; Photopolymerization; Photosynthesis; Pyrolysis; Radioactivation analysis; Radiolysis; Stark effect; Surface discharges; Thermogravimetric analysis; Thermooxidation; Ablation mechanisms; Corrugated aluminum sheath; Current concentration; Electrochemicals; Faults detection; HV cables; Radial currents; Sodium carbonate; White powder; XLPE cables; Aluminum corrosion","Review","Final","","Scopus","2-s2.0-105000459781"
"Neda O.M.","Neda, Omar Muhammed (57208327668)","57208327668","A Review on Smart Distribution Systems and the Role of Deep Learning-based Automation in Enhancing Grid Reliability and Efficiency","2025","Buletin Ilmiah Sarjana Teknik Elektro","7","2","","195","205","10","0","10.12928/biste.v7i2.13152","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008239473&doi=10.12928%2fbiste.v7i2.13152&partnerID=40&md5=6bc2afacf0d0b63c45fb4bf5217c16e0","The increasing complexity of modern power distribution systems has accelerated the need for advanced automation solutions to maintain grid reliability and efficiency. smart distribution systems (SDS), integrating distributed energy resources (DERs), internet of things (IoT) technologies, and advanced data analytics, are reshaping the conventional grid into a flexible and intelligent network. This review focuses on the application of deep learning (DL) techniques in enhancing automation within SDS, highlighting their role in key tasks such as anomaly detection, fault location, load forecasting, outage estimation, and customer clustering. Five DL models, including convolutional neural networks (CNNs), long short-term memory (LSTM) networks, deep neural networks (DNNs), autoencoders, and hybrid models, are evaluated using synthetic datasets that approximate real world grid behavior. Acknowledging the limitations of synthetic data, this review emphasizes the need for future validation using empirical datasets and adaptive learning techniques. Performance trends are qualitatively compared across models and tasks, with observations such as suitability of LSTMs for time series forecasting and CNNs for localized event detection. Challenges including data quality, computational costs, and implementation constraints are discussed, along with potential mitigation strategies such as lightweight model architectures and explainable artificial intelligence. A comparative perspective with traditional machine learning and physics-based models is also provided to highlight the unique advantages and tradeoffs of DL methods. The findings underscore the potential of DL in SDS automation while outlining key areas further research and real-world deployment. © 2025, Universitas Ahmad Dahlan. All rights reserved.","Deep Learning; Distributed Energy Resources; Load Forecasting; LSTM; Smart Distribution Systems","","Article","Final","","Scopus","2-s2.0-105008239473"
"Lorren B.; Chakravarty S.; Joginipelly A.","Lorren, Bradley (59805741800); Chakravarty, Summit (59806853400); Joginipelly, Arjun (55221858200)","59805741800; 59806853400; 55221858200","Using Yolo Object Detection with PINN Integration for Thermal-Based Fault Detection in Integrated Circuits","2025","Conference Proceedings - IEEE SOUTHEASTCON","","","","569","574","5","0","10.1109/SoutheastCon56624.2025.10971680","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004637678&doi=10.1109%2fSoutheastCon56624.2025.10971680&partnerID=40&md5=1beba747b8aefed1209ea504ddb1c51f","This paper presents a novel approach combining YOLO (You Only Look Once) object detection with Physics-Informed Neural Networks (PINN) for identifying faulty integrated circuits (ICs) on printed circuit boards (PCBs) through thermal imaging analysis. The method leverages thermal signatures to detect anomalous components while using PINN to model heat propagation patterns, significantly reducing false positives. Our integrated approach achieves improved accuracy in fault detection compared to traditional methods, offering a more efficient and cost-effective solution for electronics remanufacturing and repair processes. The system demonstrates effectiveness in distinguishing between normally operating high-power components and genuinely faulty ICs through physics-based validation of thermal patterns. © 2025 IEEE.","","Anomalous component; Circuit boards; Faults detection; Heat propagation; Neural network integration; Neural-networks; Objects detection; Thermal; Thermal imaging analysis; Thermal signatures; Printed circuit boards","Conference paper","Final","","Scopus","2-s2.0-105004637678"
"Yan T.; Wang D.; Xia T.; Peng Z.; Xi L.","Yan, Tongtong (57219925452); Wang, Dong (56342707500); Xia, Tangbin (26041248600); Peng, Zhike (7401790868); Xi, Lifeng (57093169100)","57219925452; 56342707500; 26041248600; 7401790868; 57093169100","Theoretical investigation of convex representation based interpretable time-frequency weight optimization for Machine health monitoring","2025","Mechanical Systems and Signal Processing","230","","112625","","","","0","10.1016/j.ymssp.2025.112625","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000862562&doi=10.1016%2fj.ymssp.2025.112625&partnerID=40&md5=a2db98e32295e50345f1bbd990120201","Fault feature representation and extraction using time–frequency spectrograms, such as short-time Fourier transform (STFT) and wavelet transform (WT) have been extensively applied in fault detection and diagnostics. However, the weak fault characteristics present during the early stages of fault initiation are often obscured by noise, posing significant challenges for machine health monitoring, particularly for incipient fault detection and diagnosis. To address this problem, this study proposes an interpretable time–frequency weight optimization methodology based on convex representation. First, compact convex hulls are employed to geometrically represent time–frequency spectrograms at different health conditions. A nearest-point convex hull optimization model is then introduced to implicitly learn interpretable weight matrix, enabling the identification of informative frequency bands within the time–frequency domain. Theoretical exploration of the optimized weight matrix reveals their geometric meanings and their correlation with fault characteristics in the time–frequency domain. Additionally, a condition indicator is constructed using information fusion, facilitating rapid detection of incipient faults. Simulated and experimental results validate the proposed method, demonstrating that the learned time–frequency weights are physics-informed and capable of identifying critical frequency bands for fault diagnostics in agreement with theoretical exploration. With explicit physical interpretability, the proposed methodology surpasses current approaches in its effectiveness for incipient fault detection and diagnosis. This study is the first to establish a theoretical framework for interpreting the physical meanings of the optimized weight matrix in the time–frequency domain by employing convex hull representation in the context of machine health monitoring. © 2025 Elsevier Ltd","Convex hulls; Machine health monitoring; Optimized weight matrix; Physics-informed; Theoretical exploration; Time-frequency spectrograms","Convex optimization; Diagnosis; Fault detection; Geometry; Matrix algebra; Spectrographs; Wavelet transforms; Convex hull; Machine health monitoring; Optimized weight matrix; Physic-informed; Theoretical exploration; Time frequency; Time frequency domain; Time-frequency spectrogram; Weight matrices; Weight optimization; Frequency domain analysis","Article","Final","","Scopus","2-s2.0-105000862562"
"Reddy G.S.; Gutha S.; Gaayathri B.S.; Shravni G.; Reddy K.S.; Rao P.H.","Reddy, Gangidi Srikanth (57200292010); Gutha, Sreeram (56644610400); Gaayathri, Brahmanapally Satya (59897693000); Shravni, Gottapu (59898508900); Reddy, Kotha Suma (59898701700); Rao, P Hanumantha (59252535900)","57200292010; 56644610400; 59897693000; 59898508900; 59898701700; 59252535900","Physics-Infused Framework for Strengthening Decentralized Security and Data Integrity in Distributed Blockchain Networks","2025","Proceedings of 2025 3rd International Conference on Intelligent Systems, Advanced Computing, and Communication, ISACC 2025","","","","1245","1250","5","0","10.1109/ISACC65211.2025.10969436","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005204829&doi=10.1109%2fISACC65211.2025.10969436&partnerID=40&md5=f702162677cb35d7860d173c32dcb4a0","Blockchain is one of the most promising technologies which supports the concepts of decentralization and provides secure solutions across the fields. However, implementing reliable and efficient security and data consistency in real-time, high-risk domains is still an active research issue due to the ever-growing number of cyber threats and complex characteristics of large-scale distributed systems. Some of the problems that are prevalent in current blockchain environment include; fault tolerance, scalability and anomaly detection. Encouraged by these gaps, this research presents PhyBb-WBS: Physics-Infused Framework for Enhancing Decentralized Security and Data Credibility of Blockchain-Based Distributed Apps. This framework implements the Fault Tolerant Consensus via Weighted Byzantine Strategy to achieve resilient and robust consensus, the Physics Infused Deep Neural Networks for anomaly detection and the Multimodal Bowerbird Optimization for dynamic parameters optimization providing a security solution robust in the face of such challenges. Specifically, the principal goal is the development of a reliable and, at the same time, practically oriented blockchain structure capable of meeting real-time requirements for data protection and storage. Originally, the framework is tailored for the applications like energy trading and transactions that require high quality of network. Performance evaluations demonstrate significant advancements, achieving over 99.8% anomaly detection accuracy and fault tolerance rates surpassing 99.5%. Additionally, it enhances throughput by 99.25% compared to traditional optimization methods. In conclusion, this paper presents the PhyBb-WBS framework that helps to improve the security and viability of blockchain. Solving important problems by leveraging sophisticated consensus protocols, effective anomaly detection, and adaptive optimization, this research proposes a significant advancement in utilizing decentralized systems in high-stake settings. © 2025 IEEE.","Anomaly detection; Block chain; Data Integrity; Decentralized Security; Distributed network","Cloud computing; Grid computing; Anomaly detection; Block-chain; Data consistency; Data integrity; Decentralisation; Decentralised; Decentralized security; Distributed networks; High-risk domains; Real- time; Fault tolerance","Conference paper","Final","","Scopus","2-s2.0-105005204829"
"Li J.-Y.; Li B.; Yang Z.-Y.; Zhang J.-Z.; Chen Y.-H.; Ji X.-Q.","Li, Ji-Yuan (59094322300); Li, Bo (57206245701); Yang, Zong-Yu (57215608998); Zhang, Jun-Zhao (57833895200); Chen, Yi-Hang (57213551816); Ji, Xiao-Quan (12808189500)","59094322300; 57206245701; 57215608998; 57833895200; 57213551816; 12808189500","Data-driven simulation model for tokamak magnet coils on HL-3","2025","Fusion Engineering and Design","213","","114799","","","","0","10.1016/j.fusengdes.2025.114799","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217376595&doi=10.1016%2fj.fusengdes.2025.114799&partnerID=40&md5=a73fd109debc9a447ae6b23f4fb908d7","Magnet coils are essential components in tokamaks, playing a critical role in maintaining plasma equilibrium and ensuring efficient fusion reactions. Accurate and real-time control of these coils is vital for both anomaly detection and controller design. While traditional physics-based models offer precise representations of the coupling between magnetic fields and plasma dynamics, their high computational cost limits their practical use in real-time control applications. To address this, we propose a data-driven simulation model based on a modified WaveNet architecture to predict the real-time responses of the Poloidal Field (PF) and Central Solenoid (CS) coils in the HL-3 tokamak. The model demonstrates good single-step prediction performance, with the Mean Absolute Error (MAE) between the true values and predicted values being only 7 A, averaged across all coils. This result indicates the model's capability for real-time coil fault detection. Furthermore, in autoregressive predictions over 200 ms, our model achieved a cosine similarity exceeding 0.98, demonstrating its suitability for integration with Model Predictive Control (MPC) frameworks. This study presents a viable alternative to traditional physics-based modeling, effectively supporting the control needs of tokamak coils in various scenarios. © 2025","Artificial intelligence; HL-3; Magnet coils; Simulation model","Electric coils; Fusion reactions; Hadrons; Magnetoplasma; Predictive control systems; Anomaly detection; Controller designs; Data-driven simulation; HL-3; Magnet coils; Magnetic field dynamics; Physics-based models; Plasma equilibrium; Real-time control; Simulation model; Tokamak devices","Article","Final","","Scopus","2-s2.0-85217376595"
"Suhas M.; Abisset-Chavanne E.; Rey P.-A.","Suhas, Morgane (59710233500); Abisset-Chavanne, Emmanuelle (55581645900); Rey, Pierre-André (57188955465)","59710233500; 55581645900; 57188955465","Cooperative Hybrid Modelling and Dimensionality Reduction for a Failure Monitoring Application in Industrial Systems","2025","Sensors","25","6","1952","","","","2","10.3390/s25061952","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001129624&doi=10.3390%2fs25061952&partnerID=40&md5=0ed2c95e2e42e8264bf8965e7173ced6","Failure monitoring of industrial systems is imperative in order to ensure their reliability and competitiveness. This paper presents an innovative hybrid modelling approach applied to DC electric motors, specifically the Kollmorgen AKM42 servomotor. The proposed Cooperative Hybrid Model for Classification (CHMC) combines physics-based and data-driven models to improve fault detection and extrapolation to new usage profiles. The integration of physical knowledge of the healthy behaviour of the motor into a recurrent neural network enhances the accuracy of bearing fault detection by identifying three health states: healthy, progressive fault and stabilised fault. Additionally, Singular Value Decomposition (SVD) is employed for the purposes of feature extraction and dimensionality reduction, thereby enhancing the model’s capacity to generalise with limited training data. The findings of this study demonstrate that a reduction in the input data of 90% preserves the essential information, with an analysis of the first harmonics revealing a narrow frequency range. This elucidates the reason why the first 20 components are sufficient to explain the data variability. The findings reveal that, for usage profiles analogous to the training data, both the CHMC and NHMC models demonstrate comparable performance without reduction. However, the CHMC model exhibits superior performance in detecting true negatives (90% vs. 89%) and differentiating between healthy and failure states. The NHMC model encounters greater difficulty in distinguishing failure states (83.92% vs. 86.56% for progressive failure). When exposed to new usage profiles with increased frequency and amplitude, the CHMC model adapts better, showing superior performance in detecting true positives and handling new data, highlighting its superior extrapolation capabilities. The integration of SVD further reduces input data complexity, and the CHMC model consistently outperforms the NHMC model in these reduced data scenarios, demonstrating the efficacy of combining physical models and dimensionality reduction in enhancing the model’s generalisation, fault detection, and adaptability. This approach has the advantage of reducing the need for retraining, which makes the CHMC model a cost-effective solution for motor fault classification in industrial settings. In conclusion, the CHMC model offers a generalisable method with significant advantages in fault detection, model adaptation, and predictive maintenance performance across varying usage profiles and on unseen operational scenarios. © 2025 by the authors.","classification; dimensionality reduction; direct current motor; failure monitoring; hybrid modelling; long short-term memory","AC motors; DC motors; Failure analysis; Input output programs; Long short-term memory; Network security; Outages; Steganography; Classification models; Dimensionality reduction; Direct current motors; Failure monitoring; Faults detection; Hybrid model; Industrial systems; Model reduction; Performance; Short term memory; article; classification; controlled study; diagnosis; dimensionality reduction; direct current; electric engine; feature extraction; health status; human; hybrid; long short term memory network; physical model; recurrent neural network; reliability; singular value decomposition; Extrapolation","Article","Final","","Scopus","2-s2.0-105001129624"
"Naguib M.; Chen J.; Kollmeyer P.; Emadi A.","Naguib, Mina (57197917909); Chen, Junran (58540004100); Kollmeyer, Phillip (36675205100); Emadi, Ali (7007140517)","57197917909; 58540004100; 36675205100; 7007140517","Thermal fault detection of lithium-ion battery packs through an integrated physics and deep neural network based model","2025","Communications Engineering","4","1","79","","","","0","10.1038/s44172-025-00409-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003762831&doi=10.1038%2fs44172-025-00409-2&partnerID=40&md5=a64b797386b108a68d9d223a0497dcef","Battery packs develop faults over time, many of which are difficult to detect early. For instance, cooling system blockages raises temperatures but may not trigger alerts until protection limits are exceeded. This work presents a model-based method for early thermal fault detection and identification in battery packs. By comparing measured and estimated temperatures, the method identifies faults including failed sensors, coolant pump malfunctions, and flow blockages. The core is a high-accuracy temperature estimation model, integrating a physics-based thermal model with a neural network, achieves a root mean square error of 0.39 °C and a maximum error of 1 °C under a US06 discharge and 6C charge at 15 °C. Tested on a 72-cell air-cooled pack, the method detects faults using only eight temperature sensors within 13 to 45 minutes, with zero false detections in 11 testing cycles. This approach enables early fault alerts, enhancing reliability and safety in electric vehicles. © The Author(s) 2025.","","","Article","Final","","Scopus","2-s2.0-105003762831"
"Liu X.; Chen Y.","Liu, Xuemei (56643490100); Chen, Yuejian (57045544000)","56643490100; 57045544000","Physics-Informed SI-LSTM for the Fault Detection of Gearboxes Under Varying Speed Conditions","2025","Lecture Notes in Electrical Engineering","1389 LNEE","","","243","251","8","0","10.1007/978-981-96-3957-1_25","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003630732&doi=10.1007%2f978-981-96-3957-1_25&partnerID=40&md5=cfc6f055d8ae6a9a7e2113a9ea52c0fd","Gearboxes often operate under varying speed conditions, making them susceptible to tooth crack faults over time. Failure to identify these faults early can lead to progression and potentially severe accidents. This study focuses on enhancing the detection of gearbox faults under varying speed conditions. A speed-integrated long short-term memory (SI-LSTM) is developed, with hyperparameters optimized through a physics-informed hyperparameter selection strategy aimed at maximizing the discrepancy between healthy and physics-informed faulty states. Artificially induced tooth crack impulses are incorporated into the validation dataset to simulate faulty state data. A case study using a helical gearbox dataset demonstrates that the physics-informed SI-LSTM model, based on the maximal discrepancy, outperforms the traditional SI-LSTM model optimized for minimal mean square error in detecting tooth crack faults. © Beijing Paike Culture Commu. Co., Ltd. 2025.","fault detection; Gearbox; physics-informed hyperparameter selection; speed-integrated LSTM","Mean square error; Crack faults; Faults detection; Hyper-parameter; Memory modeling; Physic-informed hyperparameter selection; Severe accident; Short term memory; Speed-integrated LSTM; Tooth crack; Varying speed conditions; Cracks","Conference paper","Final","","Scopus","2-s2.0-105003630732"
"Liu X.; Cheng W.; Xing J.; Chen X.; Zhao Z.; Gao L.; Zhang R.; Huang Q.; Zhou H.; Xing Zheng W.; Pan W.","Liu, Xue (57486048500); Cheng, Wei (57712379200); Xing, Ji (57190811933); Chen, Xuefeng (57205480544); Zhao, Zhibin (57192212778); Gao, Lin (58836852100); Zhang, Rongyong (57135578700); Huang, Qian (57712982500); Zhou, Hongpeng (59060570100); Xing Zheng, Wei (57197956720); Pan, Wei (55604960500)","57486048500; 57712379200; 57190811933; 57205480544; 57192212778; 58836852100; 57135578700; 57712982500; 59060570100; 57197956720; 55604960500","Hierarchical Physics-Informed Neural Network for Rotor System Health Assessment","2025","IEEE Transactions on Automation Science and Engineering","22","","","10392","10405","13","0","10.1109/TASE.2024.3523417","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003170925&doi=10.1109%2fTASE.2024.3523417&partnerID=40&md5=bde72e41850dd59a112d1db6ecf1c59f","Due to coupled nonlinearities and complex measurement noise, assess the condition of the rotor system remains a challenge, particularly in cases where historical run-to-failure data is lacking. To this end, we proposed a hierarchical physics-informed neural network (HPINN) to identify/discover the ordinary differential equations (ODEs) of a healthy/faulty rotor system from noise measurements and then assess the rotor condition based on the discovered ODEs. Specifically, the ODEs of a healthy rotor system are first stably identified from noisy measurement through HPINN guided by rotor dynamics. Based on the identified healthy ODEs, the extra fault terms in the ODEs of the faulty rotor system are then sparsely regressed from the predefined library embedded in HPINN, in which the phase compensation and alternating training strategy are developed to guarantee training convergence. Moreover, with the mathematical terms of discovered fault, the potential fault and the health indicator (HI) are diagnosed and constructed to assess the condition of the rotor system, respectively. Finally, the effectiveness of the proposed method is verified with simulation and test bench datasets, showing the potential for practical industrial applications. © 2004-2012 IEEE.","fault diagnosis; health indicator; physics-informed neural network; Rotor system","Diagnosis; Fault detection; Rotors; Condition; Coupled nonlinearities; Faults diagnosis; Health assessments; Health indicators; Large rotating machinery; Measurement Noise; Neural-networks; Physic-informed neural network; Rotor systems; Rotating machinery","Article","Final","","Scopus","2-s2.0-105003170925"
"Pierron V.; Guerard G.","Pierron, Victor (57195674291); Guerard, Guillaume (55746242400)","57195674291; 55746242400","Surveys on Physical Based Methods for State of Charge, State of Health and Fault Detection on a Li-Ion Battery","2025","Smart Grids and Sustainable Energy","10","1","23","","","","1","10.1007/s40866-025-00254-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219618945&doi=10.1007%2fs40866-025-00254-4&partnerID=40&md5=76a450b3dc33c0d99a5445f358c37b0b","The quest for efficient and reliable energy storage systems has driven significant advancements in the field of physical-based methods for State-of-Charge and State-of-Health assessment of batteries. This paper presents a comprehensive overview of these methods, leveraging fundamental principles of physics and materials science to unveil the intricate dynamics within battery systems. Covering techniques like Coulomb counting, Open Circuit Voltage analysis, Peukert’s equation, Electrochemical Impedance Spectroscopy, Gas Chromatography, and cutting-edge imaging approaches such as X-ray Diffraction and Magnetic Resonance Imaging, this review elucidates the principles, instrumentation, and applications of each method. Moreover, it delves into recent breakthroughs that enhance their accuracy and applicability. These physical-based methods not only empower battery management systems but also hold the key to advancing electric vehicles, renewable energy solutions, and a sustainable energy future. © The Author(s), under exclusive licence to Springer Nature Singapore Pte Ltd. 2025.","Battery; Physical-based method; State of charge; State of health; White box method","Battery management systems; Battery storage; Crystal growth; Lithium-ion batteries; Magnetic levitation vehicles; Parameter extraction; State of charge; Battery; Charge state; Faults detection; Ion batteries; Physical-based method; Reliable energy; State of health; States of charges; White box; White box method; Gas chromatography","Review","Final","","Scopus","2-s2.0-85219618945"
"Sowmya S.; Nair H.; Saimurugan M.; Venkatesh N.","Sowmya, S. (59024998500); Nair, Harikrishnan (57220498336); Saimurugan, M. (36775613200); Venkatesh, Naveen (57223858903)","59024998500; 57220498336; 36775613200; 57223858903","Proficiency of Physics Informed Machine Learning in Multi-component Fault Recognition of Rotational Machines under Different Speed Conditions","2025","International Journal of Prognostics and Health Management","16","1","","","","","0","10.36001/ijphm.2025.v16i1.4215","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006667184&doi=10.36001%2fijphm.2025.v16i1.4215&partnerID=40&md5=7e5923a861b88f988ddb365a4a817287","Understanding the limitations of incorporating conventional machine learning synergy led to the inclusion of physics knowledge. This study presents the potency of physics-informed feature engineering for machine learning to enhance fault detection in gears, shafts, and bearings at three constant-speed running conditions. AI models such as Decision Tree (DT), Random Forest (RF), and Support Vector Machine-Radial Basis Function (SVM-RBF) are constructed to verify traditional statistical performance metric and physics-based signal descriptors. Additionally, time-frequency domain representation as spectrogram images is fed into the CNN-oriented ResNet-152 architecture to demonstrate the skillfulness of the model’s ability. Based on the results obtained, RF is observed to be supreme with 98.42% upon applying physics-centric parameters when compared with statistical variables. To make an inference, further comparison of the best classification model’s accuracy using physics expertise when accounted with ResNet image-based categorization, physics-grounded RF models have premier achievements. Thus, it is concluded that physical laws are expedient in offering exceptional outcomes for identifying various defects in complex industrial rotary machines in different operating modes. © 2025, Prognostics and Health Management Society. All rights reserved.","CNN-based ResNet; Fault diagnosis; Physics-informed machine learning; Rotational machinery","","Article","Final","","Scopus","2-s2.0-105006667184"
"","","","1st Electrical Artificial Intelligence Conference, EAIC 2024","2025","Lecture Notes in Electrical Engineering","1395 LNEE","","","","","1051","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003198216&partnerID=40&md5=891751f212da2bc64648980c8823ff9b","The proceedings contain 98 papers. The special focus in this conference is on Electrical Artificial Intelligence. The topics include: Study on the Diagnosis of Industrial Robot Abnormalities Based on SVDD; Small Defect Detection of Power Electronic Devices Based on YOLO-DHGC; research on Parallel Multimodal Current Sharing Based on Merged Coupled Inductance; study on Fault Diagnosis of Power Electronic Devices in Power Conversion System Based on Machine Learning; An Auto-Encoder Unsupervised Adversarial Learning Network for Parameter Identification of DC Capacitor in Power Electronic Transformer; power Electronics Topology Derivation: A Technical Review and Cutting-Edge Exploration; Energy Storage Side Converter SOC Adaptive and Model Predictive Control; a Sub-Module Open-Circuit Fault Diagnose Strategy for Modular Multilevel Converter Based on Optimizing Probabilistic Neural Networks; performance Modeling and Operational Generalization for Power Converters Based on Graph Neural Networks; Research on AC Series Fault Arc Detection Method Based on Optimized Transformer-BiLSTM; Deep Reinforcement Learning Based PI Parameters Design for Power Amplifier; Research on Identification of Equivalent Electrical Parameters of Dry-Type Air-Core Reactor Based on RLS-GA; deviceNetSim: DeviceNet Network Behavior Simulator Based on Protocol Feature and State Modeling; Adaptive Composite Sliding Filtering-Based Method for NILM Event Detection; AI Assited-Design Application on a Transmission Line Galloping Monitoring; 3D Reconstruction of Power Lines Based on LiDAR Point Cloud; research on Modular Dome Camera for Substation Based on Split Design; Multi-Physics Virtual Simulation of Electronic Transformer Based on COMSOL; high Speed Data Stream Disk Based on Labview; high-Precision Voltage Measurement Method Based on Time Measurement.","","","Conference review","Final","","Scopus","2-s2.0-105003198216"
