Domain,Input,Output,Modeling category,Modeling technique,Explainability,Relevance,EID
Electrical switching devices / Industrial electrical systems,Sensor data,Fault prediction,Data driven,"['Support Vector Machine (SVM)', 'CN2 rule (CN2R) classifier', 'Decision Tree (DT)']",Yes: Decision Tree and CN2 rule (CN2R) classifiers,4,2-s2.0-85181571722
Industrial systems (bearing fault diagnosis in machinery),Sensor data,Fault prediction,Data driven,"Quadrature demodulation, circle fitting",Yes: circle fitting,2,2-s2.0-85182356749
Machine tools / Manufacturing equipment,Sensor data,Fault prediction,Data driven,"['Discrete Wavelet Transform', 'Transfer Learning']",Yes: Discrete Wavelet Transform,4,2-s2.0-85195393520
Aircraft engine maintenance,Sensor data,Remaining Useful Life,Data driven,"Recurrent Neural Network (RNN), Wavelet transformation, Attention mechanisms",No,4,2-s2.0-105001417132
Industrial systems / Manufacturing,Sensor data,Fault prediction,Data driven,"Meta-learning (specifically model-agnostic meta-learning, MAML)",No,4,2-s2.0-105005073779
Water infrastructure / Water management systems,Sensor data,"['Fault prediction', 'Remaining Useful Life']",Data driven,"['Decision Tree', 'CNN with LSTM']",Yes: Decision Tree,4,2-s2.0-85189547888
Power distribution systems / Cables and wiring,"Sensor data (magnetic field measurements, waveform signals, Magnetic Concordia patterns)",Fault prediction (SC fault classification),Data driven,"Random Forest, SVM, C4.5 decision tree",Yes: Decision tree (C4.5),2,2-s2.0-86000434802
Mass spectrometer systems,Sensor data,Fault prediction,Data driven,"['CNN', 'LSTM', 'Variational Autoencoder']",No,2,2-s2.0-85179794048
Hydropower plants,"Sensor data, Time series",Fault prediction,Data driven,LSTM,No,2,2-s2.0-86000009263
Autonomous robots,Sensor data,Anomaly detection,Deep learning,Variational Autoencoder (VAE),No,2,2-s2.0-85101830723
Other,['Sensor data'],['Fault prediction'],Physics based,"['Thermal conductivity principles', 'Correlation modeling']",Yes: Interpretable physics-based model,3,2-s2.0-85204433229
Chip manufacturing,Structured data,Fault prediction,Data driven,Big data analytics / Hadoop ecosystem,No,3,2-s2.0-85159650137
Industrial systems / Factory automation,Sensor data,Remaining Useful Life,Data driven,Deep learning,No,3,2-s2.0-85215601297
Astronomy/Space systems,Star sensor measurement,Angular velocity estimation / Fault detection,Rules and/or logic based,Fault detection in parity space,Yes: fault detection in parity space,0,2-s2.0-85189803296
Industrial systems (specifically wear debris detection in machinery/oil systems),Sensor data,Fault prediction,Hybrid,"Correlation-metric-based adaptive strategy, mathematical modeling (not explicitly named ML techniques)",Yes: Mathematical model and feature extraction techniques,3,2-s2.0-85186964383
Electrical power systems / Switchgear,Spectral data / Optical signals,Fault prediction,Physics based,"Spectral analysis, optical fiber sensors, photoelectric conversion",Yes: Spectral analysis and sensor measurements are interpretable,2,2-s2.0-105001955256
Industrial systems (specifically vibration detection in mechanical equipment and pipelines),Sensor data,Fault prediction,Physics based,"Theoretical modeling, genetic algorithm, modal simulation analysis",Yes: The theoretical model and optimization provide interpretability,2,2-s2.0-105001532066
Other,Structured data,Fault prediction,Rules and/or logic based,Reconfigurable linear quadratic regulator,Yes: Rules and control theory,0,2-s2.0-85111780935
Unmanned aerial vehicles (UAVs),Sensor data,Fault prediction,Data driven,Noncentral Wishart matrix trace statistic,Yes: uses statistical trace-based method,3,2-s2.0-105005860705
Automated driving / Intelligent robots / Perception systems,Sensor data,Fault prediction,Rules and/or logic based,Plausibility checking / plausibility analysis,Yes: plausibility checking technique,3,2-s2.0-85143436147
Rotating machinery in industrial systems,"Sensor data, Time series, Unstructured data","Fault prediction, Root cause analysis","Data driven, Hybrid","Convolutional neural network (PACNN), Resnet18, BiLSTM",No,3,2-s2.0-85210359340
Chip manufacturing,Sensor data,Fault prediction,Physics informed,Finite element method (FEM) simulation,Yes: FEM simulation,4,2-s2.0-105003876105
Industrial machinery / Equipment,Sensor data / Time series,Remaining Useful Life,Data driven,"LSTM, Fully Connected Networks",No,4,2-s2.0-85212551064
Electrical power systems,Sensor data,Fault prediction,Physics based,SPICE simulation,Yes: physics-based modeling and SPICE simulation,3,2-s2.0-105009283393
Chip manufacturing,"Sensor data, Time series",Fault prediction,Data driven,Mutual information-based multiview ensemble,No,3,2-s2.0-85187338810
Industrial process control,Sensor data,Fault prediction,Data driven,Principal Component Analysis (PCA),Yes: PCA-based methods are generally interpretable,3,2-s2.0-85211967229
Sensor array systems,Sensor data,Fault prediction,Data driven,Variance estimation with MINQUE,Yes: Variance estimation and fault detection algorithms are interpretable,3,2-s2.0-85134225037
Gas sensing for power system insulation monitoring,Unstructured data,Fault prediction,Physics based,Density functional theory,Yes: Physical adsorption characteristics,2,2-s2.0-85135764926
Rotating machinery,Sensor data,Fault prediction,Data driven,"['CNN', 'LSTM', 'Fuzzy integral']",No,3,2-s2.0-85105891194
Mechanical systems / Industrial systems,Sensor data,Fault prediction,Rules and/or logic based,Signal processing with common-mode rejection,Yes: Rules-based / Signal processing techniques,2,2-s2.0-85118644748
HVAC systems,Electrical stream data (signal processing of motor harmonics),Fault prediction,Physics informed,Physics-based model and signal processing algorithms,Yes: physics-based models and signal processing,4,2-s2.0-85113252323
Hydraulic systems,"['Sensor data', 'Time series']",['Fault prediction'],Data driven,"['Wavelet packet decomposition (WPD)', 'Kernelized support tensor train machine (KSTTM)', 'Salp swarm algorithm (SSA)']",No,4,2-s2.0-85170554410
Aerospace engines / Mechanical equipment,"Sensor data, Time series",Remaining Useful Life,Data driven,"Attention mechanisms, Graph Attention Networks (GATs), Transformer",Yes: visualization of degradation features and sensor importance,4,2-s2.0-85174813927
Industrial systems / Equipment monitoring,Sensor data,Fault prediction,Data driven,Modified Stochastic Configuration Network (SCN),No,4,2-s2.0-85117773812
Rolling bearings / Mechanical systems,Sensor data,Fault prediction,Data driven,"ResNet (CNN), Attention mechanism (CBAM)",No,3,2-s2.0-85151517282
Heavy equipment gear transmission systems,"['Sensor data', 'Structured data']",['Fault prediction'],Physics based,"Finite element model, analytical mathematical model",Yes: Analytical mathematical model,4,2-s2.0-85194083547
Power grid monitoring / Electrical systems,Sensor data,Fault prediction,Data driven,"Wavelet transform, statistical methods (kernel density), MACGR",Yes: Kernel density and statistical indices are interpretable techniques,1,2-s2.0-85204439466
Pharmaceutical facilities,Sensor data,Fault prediction,Data driven,"Clustering (e.g., DBSCAN)",Yes: clustering,4,2-s2.0-85151513108
Aerospace systems / Aero-engine maintenance,"Sensor data, Time series",Remaining Useful Life,Data driven,"Autoencoder, Bidirectional LSTM",No,4,2-s2.0-85117330859
"Internet of Things (IoT), smart manufacturing",Sensor data,"Fault detection, Self-diagnosis",Data driven,Multi-sensor fusion,Yes: rule-based / diagnosable features,3,2-s2.0-85112473974
Industrial soldering systems,Sensor data,Weldability estimation,Data driven,Not explicitly mentioned,No,3,2-s2.0-85174831408
Building Integrated Photovoltaic (BIPV) systems,Time series,Fault prediction,Data driven,"['Sample entropy (SE)', 'Gated Recurrent Unit (GRU)']",No,4,2-s2.0-85151489852
Farm monitoring / Agriculture,Sensor data,Fault prediction,Data driven,"SVM, Reinforcement learning",No,3,2-s2.0-85174814853
Oil refineries / Chemical processing,Sensor data,Fouling prediction,Data driven,Soft sensor model,Yes: correlation analysis and soft sensor modeling,2,2-s2.0-85173343722
Hydraulic machinery / Industrial systems,['Sensor data'],Remaining Useful Life,Data driven,"['Kalman filter', 'BiLSTM']",No,4,2-s2.0-85128673476
Chip manufacturing,Sensor data,Fault prediction,Data driven,"Current slope analysis, Sign analysis",Yes: Sign analysis and fault type determination,2,2-s2.0-85123526733
Industrial machinery / Manufacturing equipment,Sensor data,Fault prediction,Data driven,Signal processing with lock-in amplifier analysis and Fourier transformation,Yes: Interpretable spectral analysis techniques,3,2-s2.0-85176365100
Wearable textile-based sensors and neuromorphic computing,"Sensor data, Unstructured data",Fault detection,Data driven,Spiking Neural Networks (SNNs),Yes: Interpretation of spikes and thresholds,0,2-s2.0-85139501163
Mechanical equipment / Industrial systems,Sensor data,Fault prediction,Data driven,GAN (Generative Adversarial Network),No,3,2-s2.0-85127458748
Commercial buildings,Sensor data,Other,Other,,No,0,2-s2.0-85149385589
Oil & Gas downhole tools,Sensor data,Fault prediction,Data driven,Not specified,No,1,2-s2.0-85114664769
Power transformers / Electrical systems,Sensor data,Fault prediction,Data driven,"PCA, Extremely randomized trees (ET), Support Vector Machine (SVM)","Yes: PCA, ET, SVM",3,2-s2.0-85103205790
Submarine cables,Sensor data,Fault prediction,Data driven,SVM,Yes: Support vector machine (SVM),3,2-s2.0-85097403814
Transformers in electrical engineering,Sensor data,Fault prediction,Data driven,"['Sparse stacked denoising autoencoder (SSDA)', 'Quantum particle swarm optimization (QPSO)', 'Support vector machine (SVM)', 'Fault clustering']",No,3,2-s2.0-85166748553
Industrial rotating machinery,Sensor data,Fault prediction,Knowledge based,"Knowledge graph, Random forest",Yes: Knowledge graph and structured reasoning,4,2-s2.0-85137917195
"Industrial systems with rotating machinery (e.g., blast furnace bearing) in manufacturing or heavy industry",Sensor data,Fault prediction,Hybrid,"Variational Mode Decomposition (VMD), Deep Learning",No,2,2-s2.0-85105886258
Chip manufacturing,Sensor data,Remaining Useful Life,Data driven,Bayesian method,Yes: Bayesian method,4,2-s2.0-85174849032
Industry 4.0 / Digital Twins,Sensor data,Fault prediction / Fault detection and isolation,Data driven,Neural networks,No,2,2-s2.0-85148288195
Aerospace systems / Aircraft engines,"Time series, Sensor data",Remaining Useful Life,Data driven,"Attention TCN-BiGRU, Variational Mode Decomposition (VMD), Hyperparameter optimization (grid search, cross-validation)",No,2,2-s2.0-85139474378
Oil tanks / Structural health monitoring in industrial environments,Sensor data,Liquid-level estimation,Data driven,Random Forest,Yes: Random Forest,2,2-s2.0-85153350565
Aerospace/Engine systems,"Time series, Sensor data",Remaining Useful Life,Data driven,"Graph Attention Network (GAT), Convolutional layers",No,0,2-s2.0-85162688641
Spacecraft electrical systems,Optical signal data,Fault prediction,Physics based,Simulation model,Yes: physics-based simulation,2,2-s2.0-85198267197
Mechanical equipment maintenance (related to lubricants and particle detection),Sensor data,Fault prediction,Data driven,"Simulation analysis, Theoretical analysis",Yes: Theoretical analysis and simulation provide interpretability,2,2-s2.0-85168275096
Industrial equipment / manufacturing environments,"Sensor data, Sound, Vibration, Ultrasound data",Fault prediction,Data driven,"Deep learning, Convolutional neural networks (CNN)",No,2,2-s2.0-85159812391
Electro-mechanical systems (specifically Electro-Mechanical Actuators in aerospace or industrial contexts),Sensor data,Fault prediction,Data driven,CNN with joint maximum mean discrepancy (JMMD),No,4,2-s2.0-85128602353
Mechanical systems / Industrial equipment,"Sensor data, Time series",Fault prediction,Data driven,"GAN, ResNet18, Continuous wavelet transform",No,4,2-s2.0-85139837104
Industrial machinery and lubrication systems,Sensor data,Fault prediction,Data driven,Microwave metamaterial resonators with photolithography,Yes: Sensor-based detection and physical principles,3,2-s2.0-85128622068
Industrial systems / Bearings,"Sensor data, Time series",Remaining Useful Life,Data driven,"2D-LSTM, Deep learning",No,3,2-s2.0-85139433452
Renewable energy systems / Solar power plants,Sensor data,Fault prediction,Data driven,"Not explicitly specified, but likely sensor-based data analysis",No,1,2-s2.0-85118605690
Induction motors / Electric machinery,Sensor data,Fault prediction,Data driven,"Signal processing, Full Spectrum analysis",Yes: Signal processing and spectral analysis,4,2-s2.0-85104652823
Lunar exploration / planetary science,Sensor data,Diffraction separation / Signal enhancement,Rules and/or logic based,Plane wave decomposition filter,Yes: Rules and logic based filtering,1,2-s2.0-85113215091
Industrial systems,"Sensor data, Time series",Remaining Useful Life,Data driven,"Graph Neural Network (GNN), Dilation convolution",No,4,2-s2.0-85122057537
Electrical machines / Motor systems,Sensor data,Fault prediction,Data driven,Signal processing,Yes: Signal processing techniques,3,2-s2.0-85110849834
Other,Images,Fault prediction,Data driven,Correlation analysis,Yes: correlation analysis,2,2-s2.0-85205466344
Blast furnace ironmaking process,Graph data,Fault prediction,Data driven,"Graph Convolutional Network (GCN), Multichannel Dynamic GCN (MDGCN)",No,4,2-s2.0-85176374716
Gas turbines / Industrial systems,"Sensor data, Time series","Fault prediction, Root cause analysis",Hybrid,"Decision tree, Sliding mode observer, Subspace algorithm (N4SID)",Yes: Decision tree,3,2-s2.0-85107372221
Chip manufacturing,Sensor data,Fault prediction,Data driven,"Domain adversarial training, structured prediction, local preserving projection (LPP)",Yes: structured prediction,4,2-s2.0-85197643884
Railway track geometry inspection,Sensor data,Fault prediction,Data driven,Kalman filtering,Yes: Kalman filter,2,2-s2.0-85137609968
Oil and gas processing units,Sensor data,Sensor readings validation,Data driven,"RBF Neural Networks, AAKR model",No,2,2-s2.0-85111060509
Industrial systems / Mechanical systems,Sensor data,Rotation speed measurement,Physics based,Finite-element simulations,Yes: physics-based analysis,2,2-s2.0-85148463204
Industrial robots / Manufacturing equipment,Sensor data,Fault prediction,Data driven,"['CNN', 'LSTM', 'Wavelet denoising']",No,3,2-s2.0-85122060843
Autonomous vehicles,Sensor data,Fault prediction,Data driven,"Adversarial autoencoder, SHAP",Yes: Residual explainer,2,2-s2.0-85147308068
Industrial Motors / Bearings,Current signals,Fault prediction,Data driven,CNN,No,4,2-s2.0-85203792912
Aerospace systems / Turbofan engines,"Sensor data, Time series",Remaining Useful Life,Data driven,Deep global-local attention network with multiscale feature extension,Yes: Fully attention-based structure,3,2-s2.0-85171579958
Mechanical transmission systems,Sensor data,Fault prediction,Data driven,"Magnetic field distribution modeling, signal detection",Yes: Interpretable magnetic field modeling and sensor signals analysis,3,2-s2.0-85123357378
Chip manufacturing,Sensor data,Remaining Useful Life,Data driven,"['Capsule Neural Network', 'Long Short-Term Memory Network', 'Sliding time window']",No,4,2-s2.0-85114717756
Motion control systems in industrial automation,Sensor data,Fault prediction,Knowledge based,Transmissibility operators,Yes: transmissibility operators,4,2-s2.0-85123370238
Internet-of-Things (IoT) sensor networks,Sensor data,Fault prediction,Data driven,Deep reinforcement learning (DRL),No,3,2-s2.0-85161064441
Other,Structured data,Fault prediction,Rules and/or logic based,"Likelihood tests (GLT, FSPRT)",Yes: Likelihood ratio tests,2,2-s2.0-85199098195
Industrial rotating machinery/ Bearings,Sensor data,Fault prediction,Data driven,"Sensor measurements analysis (e.g., Fourier analysis, spectral analysis)",Yes: Spectral analysis / Frequency domain analysis,4,2-s2.0-85132720186
Unmanned surface vessels / Marine systems,Sensor data,Fault prediction,Data driven,"Particle filter, Hidden Markov model",No,2,2-s2.0-85118539917
Rolling bearings in industrial machinery,['Sensor data'],['Fault prediction'],Data driven,Envelope demodulation algorithm,Yes: envelope demodulation algorithm,3,2-s2.0-85146227271
Vehicle systems / Automotive,Sensor data,Fault prediction,Data driven,Extended Kalman Filter (EKF),No,1,2-s2.0-85120920330
Marine diesel engines,Sensor data,Remaining Useful Life,Data driven,LSTM networks,No,3,2-s2.0-85117133371
Industrial systems (Induction motors in machinery),"Sensor data, Acoustic signals",Fault prediction,Hybrid,"Neuro-fuzzy inference system, Relief-F algorithm",Yes: Neuro-fuzzy inference system,3,2-s2.0-85177059856
Industrial systems / Mechanical systems,Sensor data,Remaining Useful Life,Data driven,"BiGRU, Attention mechanism, Autoencoder",No,3,2-s2.0-85101744482
Mechanical equipment / Wear particle detection,Sensor data,Fault prediction,Physics based,Numerical simulation,Yes: Numerical simulation,2,2-s2.0-85131822226
Electrical motors / Industrial machinery,Sensor data,Fault prediction,Data driven,"Support Vector Machine (SVM), Principal Component Analysis (PCA)",No,3,2-s2.0-85128660408
Industrial systems / Mechanical equipment / Bearings,Sensor data / Time series,Fault prediction,Data driven,Variational Autoencoder (VAE),No,4,2-s2.0-85097187011
Aircraft gas turbine engines,Sensor data,Remaining Useful Life,Hybrid,"['Particle filter', 'Entropy-based fusion']",No,2,2-s2.0-85115341006
Other,Sensor data,Fault prediction,Data driven,"XGBoost, PCA",Yes: PCA (Principal Component Analysis) is interpretable; XGBoost can be made interpretable with feature importance,1,2-s2.0-85176380160
Industrial machinery / Mechanical systems,Sensor data,Fault prediction,Data driven,Not specified,No,2,2-s2.0-85149417189
Natural gas measurement and flow estimation in utility meters,Sensor data,Fault prediction,Data driven,Signal processing and estimation chains,Yes: Signal processing and simple estimation techniques,2,2-s2.0-85123386763
Industrial machinery / Mechanical equipment,Sensor data,Fault prediction,Data driven,Not specified,No,3,2-s2.0-85123362874
Hydraulic systems / Mechanical systems / Oil systems,Sensor data,Fault prediction,Rules and/or logic based,"Differential detection, Signal conditioning, Finite-element simulation",Yes: Rules and signal processing techniques,3,2-s2.0-85148474363
Power systems (specifically gas-insulated switchgear in high voltage substations),Sensor data,Fault prediction,Data driven,Amplitude-frequency response analysis,Yes: rule-based analysis of frequency response,2,2-s2.0-85210936926
Rotating machinery,Sensor data,Fault prediction,Physics based,"Full-element rectangular thin plate theory, acoustic-piezoelectric coupling simulation",Yes: physics-based and acoustic-structure modeling,3,2-s2.0-85207387953
Chip manufacturing,Unstructured data,Fault prediction,Physics based,Density Functional Theory (DFT),Yes: DFT,2,2-s2.0-85168730122
Chip manufacturing,Sensor data,Fault prediction,Data driven,"Convolutional Auto-Encoder (AE), Convolutional Neural Network (CNN)",No,4,2-s2.0-85128121657
Industrial manufacturing / machinery,"Sensor data, Time series",Fault prediction,Data driven,Transformer architecture,No,4,2-s2.0-85204672720
Chip manufacturing,Sensor data,Fault prediction,Rules and/or logic based,Sliding Mode Observer (SMO),Yes: logic-based rules and thresholds,3,2-s2.0-85204453475
Structural health monitoring,Sensor data,Fault prediction,Physics based,Mode distribution simulation,Yes: physics-based explanation,2,2-s2.0-85171584505
Industrial systems / Lubricant oil monitoring / Machinery maintenance,Sensor data,Fault prediction,Data driven,"Signal processing, Multiplexing methods",Yes: Signal processing techniques are interpretable,3,2-s2.0-85102240697
Industrial systems (specifically bearing fault diagnosis in mechanical systems),Sensor data,Fault prediction,"Unsupervised domain adaptation, combining data driven and rules/logic based techniques","Cycle-Consistent Adversarial (CCA) learning, MK-MMD",No,3,2-s2.0-85165268206
Spacecraft power systems,Sensor data,Fault prediction,Data driven,"Not explicitly specified, but likely optimization or statistical methods based on sensor data",No,0,2-s2.0-85140777379
"Industrial systems (general), possibly manufacturing or machinery",Sensor data,Fault prediction,Data driven,Deep learning (multiscale dilated causal convolutional attention network),No,3,2-s2.0-85161042137
Mechanical systems / Mechanical system health monitoring,Sensor data,Fault prediction,Data driven,,No,2,2-s2.0-85142772845
Rotating Machinery / Industrial Systems,Sensor data,Fault prediction,Data driven,"Transformers, Attention mechanisms",Yes: Attention mechanisms,4,2-s2.0-85120538931
Nuclear power plants,Sensor data,Anomaly detection and quantification,Data driven,Dissimilarity-based anomaly detection,Yes: Dissimilarity methods,2,2-s2.0-85149357802
Maritime systems,Sensor data,Fault prediction,Data driven,"LSTM, Variational Autoencoder",No,4,2-s2.0-85113212576
All-source navigation systems/NAVIGATION SYSTEMS,Sensor data,Fault prediction,Data driven,Kalman filter,Yes: Kalman filter (estimation-based methods are generally interpretable),2,2-s2.0-85098753122
"Industrial systems involving sensor networks, digital twins, and IoT in large-scale environments","Sensor data, Graph data, Time series","Fault prediction, Fault detection, Fault isolation",Data driven,"Graph Convolutional Networks (GCN), Recurrent neural networks",No,4,2-s2.0-85176297837
Chemical process industries / Continuous stirred tank reactor process,Sensor data,Fault prediction,Data driven,Slow Feature Analysis (SFA),Yes: Theoretical analysis and intuitive examples suggest interpretability,3,2-s2.0-85142832563
Industrial systems / Motor fault diagnosis,Sensor data,Fault prediction,Data driven,"Multibasis energy pattern (MBEP), Manifold-embedded distribution alignment (MEDA), Evidence theory (ET)",No,4,2-s2.0-85165251868
Superconductor systems / Fault Current Limiter,Sensor data,Fault prediction,Data driven,Not explicitly specified in the abstract,No,0,2-s2.0-85129390950
IoT and sensor fault detection,Sensor data,Fault prediction,Data driven,Extreme gradient boosting,Yes: interpretable method,2,2-s2.0-85177215507
Aircraft engine systems,Sensor data,Remaining Useful Life,Data driven,Restricted-learning network with observation credibility inference (OCI),No,2,2-s2.0-105002383662
Commercial buildings,Sensor data,Fault prediction,Physics informed,"Distributed optical fiber sensing (OFDR, FBG)",Yes: Physical sensors and optical methods are inherently interpretable,4,2-s2.0-85099222963
Manufacturing systems,Sensor data,Fault prediction,Hybrid,Integer Linear Programming,Yes: Integer Linear Programming,3,2-s2.0-105003029778
Cryogenic systems for superconducting magnets,Sensor data,Fault prediction,Data driven,Not explicitly mentioned,No,0,2-s2.0-85184016550
Industrial systems,Sensor data,Fault prediction,Data driven,Neural networks,No,2,2-s2.0-85100310133
Battery systems,"['Sensor data', 'Time series']","['Fault prediction', 'Root cause analysis']",Rules and/or logic based,"['Correlation coefficient method', 'Adaptive threshold mechanism']",Yes: correlation coefficient method and threshold mechanisms,4,2-s2.0-105001076462
Industrial machinery / Equipment monitoring (specifically aircraft engines and bearings),"Sensor data, Time series","Fault prediction, Remaining Useful Life",Data driven,Attention-based LSTM,No,4,2-s2.0-105003041260
Industrial machinery / Rotating equipment,Sensor data,Fault prediction,Data driven,"['Variational Modal Decomposition', 'Neural Networks']",No,3,2-s2.0-85117285859
Gas turbine engines,Sensor data,"['Fault prediction', 'Remaining Useful Life']",Data driven,"Deep Neural Network (DNN), Adversarial training",No,3,2-s2.0-105003035307
Air quality sensor networks,Sensor data,Anomaly detection,Unsupervised,Autoencoder with attention mechanism,Yes: attention mechanism,3,2-s2.0-85204929598
Wireless Sensor Networks,Sensor data,Anomaly detection,Data driven,"Autoencoder, Fully connected network, Graph neural network, Gated recurrent unit",No,1,2-s2.0-85182936003
Industrial systems monitoring and control,Structured data,Fault prediction,Rules and/or logic based,Integer nonlinear programming,Yes: rules and optimization models,1,2-s2.0-85132509695
"Unspecified or general; does not specify a particular industrial system, but mentions fault diagnosis and sensor data.",Sensor data,Fault prediction,Data driven,"Reinforcement learning, Dempster-Shafer theory (DST)",Yes: rule-based reasoning and interpretable fusion methods,1,2-s2.0-85146251075
HVAC systems,Sensor data,Fault prediction,Data driven,"Variational autoencoder (VAE), Mixture of Principal Component Analyzers (MPPCA)",No,4,2-s2.0-85177073065
DC microgrid clusters,Sensor data,Fault prediction,Rules and/or logic based,Disagreement Laplacian potential / logical evaluation,Yes: Logical evaluation / data-integrity indices,2,2-s2.0-85103246043
Aerospace systems,Sensor data,Remaining Useful Life,Hybrid,"['State-Space Model', 'Particle Filter', 'Extreme Learning Machine']",Yes: Model interpretability through state-space modeling and characterization of degradation,4,2-s2.0-85078269687
Chip manufacturing,Sensor data,Fault prediction,Data driven,"['Random forests', 'k-means', 'k-nearest neighbors', 'Naïve Bayes', 't-distributed stochastic neighbor embedding (t-SNE)']","Yes: Random forests, Naïve Bayes, k-means, t-SNE are interpretable or provide insight into key variables",4,2-s2.0-85090416528
Other,Structured data,Fault prediction,Rules and/or logic based,"Synchronous diagnosability, fault-free behavior models",Yes: rules and logic-based approach,2,2-s2.0-85083213170
Nuclear power plant,Sensor data,Fault prediction,Data driven,"['Deep LSTM Denoising Autoencoder', 'Isolation Forest']",No,3,2-s2.0-85209733628
Seismic monitoring / Geophysics,Sensor data,Fault prediction / Event detection,Data driven,"Ambient noise analysis, possibly machine learning or signal processing techniques (not explicitly mentioned)",Yes: Visualizations and sensor status monitoring,2,2-s2.0-85081661366
Manufacturing systems (specifically assembly systems),Sensor data,Fault prediction,Data driven,"Sparse Bayesian Learning, Variational Bayes inference",Yes: hierarchical Bayesian models,4,2-s2.0-105001067966
Medical device systems / Artificial Pancreas Systems,Continuous glucose monitoring (CGM) sensor data,Fault prediction,Data driven,Autoregressive moving-average model with exogenous inputs,Yes: Time series modeling / Statistical models,3,2-s2.0-85098569047
Automated driving systems,Sensor data,Fault prediction,Hybrid,Multitask one-dimensional convolutional neural networks (MONN),No,3,2-s2.0-85110856625
HVAC systems,"Sensor data, Time series",Fault prediction,Data driven,"Hidden Markov Model, Collaborating Filtering",Yes: Hidden Markov Model (HMM),4,2-s2.0-85083216903
Discrete-event systems,Structured data,Fault prediction,Theoretical modeling,"Formal methods (e.g., formal verification, diagnosability algorithms)",Yes: Formal verification and mathematical proofs,1,2-s2.0-85112650061
Chip manufacturing,"Sensor data, Time series",Fault prediction,Data driven,"Logistic regression, SMOTE, PCA","Yes: Logistic regression, Principal component analysis",4,2-s2.0-85140491444
"Industrial systems with sensors, possibly relevant to manufacturing or process control settings",Sensor data,Fault prediction,Hybrid,Adaptive approximation,Yes: Adaptive approximation methods,2,2-s2.0-85104251229
"Chemical process industry (e.g., Tennessee Eastman process)","Sensor data, Time series",Fault prediction,Data driven,"Partial least squares (PLS), Statistical indexes (e.g., T2, SPE)",Yes: Statistical indexes and PLS are interpretable,3,2-s2.0-85100325720
Industrial systems,Sensor data,Fault prediction,Hybrid,"Fault diagnosis, state estimation",Yes: Fault diagnosis and detection techniques,1,2-s2.0-85124074087
Discrete-event systems,Structured data,Fault prediction,Logic based,Linear Temporal Logic (LTL),Yes: Logic based reasoning,2,2-s2.0-85153374575
Industrial batch processes,Sensor data,Fault prediction,Hybrid,Expectation-maximization,Yes: likelihood-based,4,2-s2.0-85122594545
"Energy networks (power grids, heating networks, gas networks)","Sensor data, Time series",Fault prediction,Data driven,"Graph Attention Network (GAT), Gaussian Mixture Model (GMM), Gated Recurrent Units (GRU)",No,4,2-s2.0-85181574140
