"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"","","","A novel dual time-scale voltage sensor fault detection and isolation method for series-connected lithium-ion battery pack","2024","Appl. Energy","322","","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202873762&partnerID=40&md5=e174ee11793f9e83a1ba654285d576cf","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85202873762"
"","","","Advancing Predictive Maintenance in the Oil and Gas Industry: A Generative AI Approach with GANs and LLMs for Sustainable Development","2024","Sustainable Development through Machine Learning, AI and IoT: Second International Conference, ICSD 2024, Virtual Event, 27–28 April 2024, Proceedings","","","","3","15","12","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006773032&partnerID=40&md5=a115835130b246f0538f59781c313ab2","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105006773032"
"","","","","2024","An experimental study of multi-sensor tool wear monitoring and its application to predictive maintenance.","","","","1","31","30","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208029957&partnerID=40&md5=544efb4d76b861ab1a4cb911dd12660f","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85208029957"
"","","","Anomaly detection in sensor data with machine learning: Predictive maintenance for industrial systems","2024","J. Electr. Syst","20","10s","","454","462","8","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216526833&partnerID=40&md5=c4b9d540593395dc45adcb96856412e2","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85216526833"
"","","","","2024","Application of Predictive Maintenance in Manufacturing with the Utilization of AI and IoT Tools. Authorea Preprints","","","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009129020&partnerID=40&md5=9bd2c7d8d2713b915a93fe297f307a46","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105009129020"
"","","","Research on Fault Detection and Diagnosis of Wind Turbine Equipment Operation Based on Sensor Technology and I-LSTM Algorithm[J]","2024","Computer Measurement & Control","","","","51","57","6","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004649549&partnerID=40&md5=be6f47c53a80ea0ee9c92e72bdd29e9a","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105004649549"
"","","","A novel fault detection approach in UAV with adaptation of fuzzy logic and sensor fusion","2024","IEEE/ASME Trans. Mechatronics","","","","1","11","10","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218482050&partnerID=40&md5=ee16cd83d47bda1badf7b7cfabacc489","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85218482050"
"","","","Sensor fault detection and isolation for electro-mechanical actuators in a reusable launch vehicle TVC system","2025","Proceedings of the 10th European Conference For Aeronautics And Space Sciences (EUCASS)","","","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178353006&partnerID=40&md5=a3cbdc6650b5428020aa2a498bf490bc","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85178353006"
"","","","Retraction note: Optoelectronic sensor fault detection based predictive maintenance smart industry 4.0 using machine learning techniques","2024","Opt Quantum Electron","56","","","1500","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004206128&partnerID=40&md5=bf6bf993dcf8f81515cc9eba50e9ac44","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105004206128"
"","","","Comparative study of sensor-generated operational data, equational calculation, and temporal data acquisition for optimal predictive maintenance decisions","2024","Global Journal of Engineering and Technology Advances","20","2","","061","073","12","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218501256&partnerID=40&md5=89370e5780dbc4e74d5d879f48514740","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85218501256"
"","","","Fault Detection and Tolerance in Wireless Sensor Networks: A Study on Reliable Data Transmission Using Machine Learning Algorithms","2024","Research Square","8","","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190595805&partnerID=40&md5=885e9625195dd90b4fcca23d7265d9b5","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85190595805"
"","","","Machine learning for predictive maintenance in industrial IoT: A review","2024","Journal of Manufacturing Systems","63","","","123","134","11","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004786077&partnerID=40&md5=703677b6fe94c46600a74d9c5e41a0a5","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105004786077"
"","","","A comprehensive review on machine learning for predictive maintenance in industrial IoT","2024","J. Ind. Inf. Integr","32","","","100436","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218081425&partnerID=40&md5=fd7132bf395c805f7769afcabc9105b3","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85218081425"
"","","","Enhancing Manufacturing Efficiency: Predictive Maintenance Models Utilizing IoT Sensor Data","2024","IJSART","10","9","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002274495&partnerID=40&md5=59a9e6d8201d506fd642d7b1b7287731","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105002274495"
"","","","An IoT-Enabled System for Real-Time Street Light Fault Detection, Precise Location Tracking, and Efficient Maintenance in Smart Cities","2024","International Research Journal of Modernization in Engineering Technology and Science (IRJMETS)","6","3","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214809464&partnerID=40&md5=d7cd05e15b4a20624119d7c35c696863","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85214809464"
"","","","Enhanced Acoustic Emission Signal Processing for Fault Detection in Wind Turbine Blades Using Machine Learning Techniques","2023","Sensors","23","","","4987","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211780985&partnerID=40&md5=55245e1ba97f14cacc24db7b3f1b4ffa","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85211780985"
"","","","AI-powered predictive maintenance in IoT-enabled smart factories","2025","Research annals of industrial and systems engineering","2","1","","27","35","8","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008721956&partnerID=40&md5=a3840ef2a7f656de0f925ecb03bc0424","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105008721956"
"","","","Establish intelligent fault detection in electrical power system: Evolutionary computation in industrial IoT environments","2024","Int. J. Data Inform. Intell. Comput","3","4","","1","7","6","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003859081&partnerID=40&md5=1cfb509dceda00c08b9fb8225d9bda87","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105003859081"
"","","","","2024","Enhancing Efficency and Safety in Maritime Transport Operations through IoT-Enabled Predictive Maintenance and Real Time Monitoring","6","12","","299","305","6","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007122594&partnerID=40&md5=8d8257302874fe29f28264b28b6dc3c6","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105007122594"
"","","","Intelligent sensor fault detection based on soft computing","2025","Kufa Journal of Engineering","4","1","","113","124","11","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217640153&partnerID=40&md5=0210bcde6d5ff4551d095e01158ec280","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85217640153"
"","","","Enhancing IoT and cyber-physical systems in industry 4.0 through on-premise large language models: Real-time data processing, predictive maintenance, and autonomous decision-making","2024","Modast","","","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214122652&partnerID=40&md5=a7e114f9bb059b089a11721ef98ecd0b","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85214122652"
"","","","Active fault detection device for LV electrical installations with Goertzel-based impedance estimation and IoT connectivity","2024","Proc. CIEES, Jan.","","","","22","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204832428&partnerID=40&md5=ac3b1015c020599af4e98aa08d042ef8","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85204832428"
"","","","IoT Based Street Light Fault Detection and Location Tracking","2024","International Journal for Research in Applied Science & Engineering Technology (IJRASET)","12","4","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214803789&partnerID=40&md5=bea26e90c61343f524fa3d5c80eee959","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85214803789"
"","","","Analysis of fault detection and control technology for speed sensors in new energy vehicles [J]","2024","Internal Combustion Engine & Parts","","19","","111","113","2","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010189497&partnerID=40&md5=47218b4f219790a8390a49461ca96299","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105010189497"
"","","","Multi-Modal Approach for Fault Detection in Industrial IoT Systems Using Deep Learning and Signal Processing","2024","IEEE Transactions on Industrial Informatics","20","5","","3791","3802","11","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004052606&partnerID=40&md5=6ce15db1bfa54c3395c00a08d2c0d39d","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105004052606"
"","","","IoT-Enabled Predictive Maintenance for Electrical Distribution Systems","2024","Electric Power Systems Research","217","","","110423","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000002922&partnerID=40&md5=1843c3ffa09deaac819a87111eda08f2","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-86000002922"
"","","","Implementing big data analytics and machine learning for predictive maintenance","2024","AI. IoT and the Fourth Industrial Revolution Review","14","2","","1","17","16","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005819364&partnerID=40&md5=122eae92da140c7864209737ec1e77de","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105005819364"
"","","","Fault Detection and Diagnosis in Electric Vehicle Systems using IoT and Machine Learning: A Support Vector Machine Approach","2024","J. Electr. Syst","20","","","990","999","9","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000524754&partnerID=40&md5=c0634de5b7abf9006a3bbc811dcabd25","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105000524754"
"","","","Propulsion Health Monitoring: Integrating Neural Networks and IoT Sensor Fusion in Predictive Maintenance","2024","2nd International Conference on Device Intelligence Computing and Communication Technologies","","","","1","6","5","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002674816&partnerID=40&md5=060090065f3e3a4de2804984d703e8a0","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105002674816"
"","","","","2024","4. A Novel Advanced IoT System for Predictive Maintenance Systems and Supply Chain Optimization Solutions for Manufacturing Industries","","","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218059332&partnerID=40&md5=f46a9d535a61c4bea2e2e5ab8ef3a41a","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85218059332"
"","","","Robust fault detection for fuzzy-model-based networked control systems under denial-of-service attacks and sensor faults within a stochastic communication protocol","2025","Int. J. Robust Nonlinear Control","2025","","","1","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011085778&partnerID=40&md5=c5a9a0503e91d146fa5457d2c499060a","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105011085778"
"","","","Advances in the Treatment of Cognitive Diseases Using IOT-based Wearable Devices","2024","Cognitive Predictive Maintenance Tools for Brain Diseases","","","","138","157","19","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195902940&partnerID=40&md5=cdb41a022fcadc08635617b6d7cbc95f","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85195902940"
"","","","AI-Driven Predictive Maintenance for Autonomous Vehicle Sensor Systems","2025","Journal of Bioinformatics and Artificial Intelligence","3","2","","119","137","18","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206180050&partnerID=40&md5=c8bf308139f14176f3f35c55bdbe3939","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85206180050"
"","","","","2024","Transformer-Based Networks for Fault Detection and Diagnostics of Rotating Machinery: A Guide on Classification of Time Series Sensor Data for Custom Datasets","","","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196564519&partnerID=40&md5=48d8d8aafca14917afb49fcb284271ad","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85196564519"
"","","","Sensor Fault Detection in Uncertain Large-Scale Systems Using Interval-Valued PCA Technique","2025","IEEE Sensors J","25","2","","3119","3125","6","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008210636&partnerID=40&md5=dbca6123fdcdd605c31f914f3e200d66","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105008210636"
"","","","Fault detection and tolerance in wireless sensor networks: a study on reliable data transmission using machine learning algorithms","2024","J Sens Netw Data Commun","4","1","","1","11","10","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008270880&partnerID=40&md5=70ae667318c7fb536834126be88dc996","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105008270880"
"","","","Anomaly detection in IoT sensor data using machine learning techniques for predictive maintenance in smart grids","2024","Int. J. Sci. Technol. Manag","5","1","","201","210","9","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203316607&partnerID=40&md5=e8a9ce1ba42057f384dd557044595249","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85203316607"
"","","","A Dual-Sensor Frame Work for Predictive Maintenance in Additive Manufacturing Integrating Acoustic Emission and Infrared Thermography for Enhanced Defect Detection","2024","Int. J. Eng. Res. Technol. (IJERT)","13","","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219036780&partnerID=40&md5=8968fa6d3e8eb303cc473095db1fb9a8","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85219036780"
"","","","Application of Predictive Maintenance in Manufacturing With the Utilization of AI and IOT Tools","2025","International Journal of Advanced Research in Engineering and Technology","16","2","","301","309","8","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006763201&partnerID=40&md5=228cb4226615f1d5c1c4c030ed5d9d60","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105006763201"
"","","","Utilizing machine learning for predictive maintenance of climate-resilient highways through integration of advanced asphalt binders and permeable pavement systems with IoT technology","2024","International Journal of Innovative Science and Research Technology","9","11","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010685816&partnerID=40&md5=efa3d623532c1a15cf64b5f3f5adaafc","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105010685816"
"","","","Multivariate sensor data analysis based 1-D CNN for fault detection in the printing status of FDM printer","2024","In: Proceedings of the 2024 Winter Conference of the Society for Computational Design and Engineering, Pyeongchang","","","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191538599&partnerID=40&md5=ff342f9ac343f919cc0fce9c98e2ecf0","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85191538599"
"","","","Fault detection method for power IoT terminal communication link based on flow characteristics","2024","Changjiang Info. Comm.","37","4","","118","120","2","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003857108&partnerID=40&md5=17dd3753d6d67e0d6f4c7014260b00c0","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105003857108"
"","","","MScan: An automated in-situ fault detection system for desktop fused filament fabrication 3D printers utilizing a non-contact sensor","2024","International Manufacturing Science and Engineering Conference","88100","","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202660022&partnerID=40&md5=675fed70bf57ef225a4d2f42602625f9","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85202660022"
"","","","RAILGAP report D4. 6-Sensor Fault Detection and Discard Techniques and Performance Models","2024","DLR","","","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009217009&partnerID=40&md5=db993c55529c32c9d18d1089e4f05779","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105009217009"
"","","","Predictive Maintenance in IoT Networks Using Machine Learning: A Focus on Energy Efficiency","2024","IEEE Transactions on Automation Science and Engineering","21","2","","1330","1342","12","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216647631&partnerID=40&md5=211e22d5486a6859d5ffe9674774f8ad","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85216647631"
"","","","Fault detection and fault tolerance control of subway traction motor current sensor based on counter electromotive force","2024","Foreign Electronic Measurement Technology","43","3","","138","144","6","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004999652&partnerID=40&md5=d3731de1faa68e64826ba02608b4583e","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105004999652"
"","","","Predictive maintenance in agriculture using IoT and AI","2024","Agric. Eng. Today","45","1","","42","58","16","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218951859&partnerID=40&md5=f5bca464d4fb26c717d3a80093e3bdf9","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85218951859"
"","","","New energy vehicles on-board sensors fault detection technology research [J]","2025","Journal of internal combustion engine and accessories","1","","","85","87","2","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010645369&partnerID=40&md5=041228ff6669c85ffc398f4096a49759","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-105010645369"
"","","","Impact of IoT-Driven Predictive Maintenance on Operational Efficiency: A Case Study","2024","IEEE Transactions on Engineering Management","41","4","","678","691","13","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200945166&partnerID=40&md5=2ed0747f6a1fd43990a7abe2d80452fd","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85200945166"
"","","","Towards predictive maintenance of hydrogen pressure vessels based on multi-sensor data fusion and digital twin modeling","2024","Proc. 11th Eur. Workshop Struct. Health Monit.","","","","1","8","7","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217410062&partnerID=40&md5=6831a541f50f2fbd7af0d4e3f77ec1bc","[No abstract available]","","","Article","Final","","Scopus","2-s2.0-85217410062"
