text,EID
"Digital Twin Based Health Monitoring of DC-AC Inverter: A Review This article summarizes the state of digital twin-based health monitoring for DC-AC inverters. When used in conjunction with a real-life DC-AC inverter, a digital twin creates an exact replica of the system in question. It helps keep an eye on the converter and adjust its settings by analyzing readings from the hardware's current sensors. There are a variety of ways to create a digital twin; some are data-driven, while others rely on models. Developing and testing a digital twin approach to DC-AC inverter health monitoring is detailed in this paper. There are two main ways to tell whether a DC-AC inverter is healthy: parameter degradation and fault diagnosis. Data analysis involves comparing sensor readings with data from the digital model in order to determine deterioration characteristics and find defects in the physical system. This presentation will go over several ways to check the DC-AC inverter's health. © 2024 IEEE.",2-s2.0-85208466205
"A Method for Detecting Gradient Coil Cooling Faults for Magnetic Resonance Imaging This paper proposes a method for monitoring and diagnosing cooling system faults in the gradient coils of magnetic resonance imaging (MRI). In fact, cooling system fault can potentially lead to significant imaging deviations. Hence, a Hash Cerebellar Model Articulation Controller (LCMAC) is devised to learn the normal characteristics of gradient coils. When cooling failure affects the gradient coils' performance, the LCMAC response deviates from the norm. Additionally, two characteristic variables, degradation index, and waveform index, are introduced for residual error analysis. Notably, this approach offers the advantage of not requiring the dismantling of the MRI equipment's outer casing or the addition of extra sensors. Moreover, an alternative strategy is formulated to identify degradation types and estimate their severity. Testing a typical gradient coil under five fault conditions in the air conditioning unit validates the effectiveness and robustness of this strategy. © 2024 IEEE.",2-s2.0-85200395618
"Reconfigurable Fault Current Detection System Using IoT This research study intends to develop a novel method for identifying over-current or fault-current concerns in appliances and electronics used in the home or industry, such as battery and chargers is discussed. The system monitors electrical circuits in real-time, detects faults, and alerts appropriate parties through sound alarms and email notifications. The system may be configured according to individual defect detection needs. The NIOS II (Altera DE2 EDK) processor controls the numerous components and processes and analyzes data. To properly monitor electrical characteristics, voltage, and current sensors are added into the system. The NIOS II processor continually monitors observed data and compares them to specified threshold levels. An alarm sounds if voltage or current exceeds the thresholds, communicating an issue or abnormal situation. Through IoT server connectivity, the system sends email notifications in addition to the sound alert. An email notice is sent to a predetermined email address when a fault condition is detected, providing remote monitoring and quick information about the fault occurrence. The system's benefits include reconfigurability, monitoring in real-time, alarm alerting, remote email notification, safety, and customization.  © 2023 IEEE.",2-s2.0-85170822811
"IoT System For Mechanical Faults Detection In Automotive Industry The Internet of Things (IoT) is a technological paradigm which has the capability to interconnect electronic devices capable of communicating machines to machines, machines to people and people to people. These devices are useful in industry to monitor the health of machines in production lines in order to avoid down-times. These down-times can cost a great deal of money. In this paper, we present the develop of an IoT System to detect promptly incipient failures of the machines which operate in lines production for the automotive industry. Particularly for the automotive industry which manufacture electrical harnesses. In this paper, we propose the ESP32 NodeMCu V2 module for the monitoring the health conditions for Komax Alpha 550 cutting machine. The IoT architecture allow to connect our IoT System with the Andon System.  © 2023 IEEE.",2-s2.0-85186144639
"Event-Triggered Fault Detection and Isolation for Continuous-Time Piecewise Linear Systems In this article, the fault detection and isolation (FDI) problem for continuous-time piecewise linear systems with sensor outage faults is investigated via event-triggered (ET) mechanisms. First, the output space is defined, and the design method of FDI filters is proposed, in which it is necessary to re-divide the regions of the output space in the design of isolation filters after sensor failures. Then, ET mechanisms are designed on the basis of the filters gains, and an ET FDI scheme is constructed. Different from the existing results, the influence of sensor faults on the output space is considered, and the gains of the designed filters in the absence of ET mechanisms are still applicable after the ET mechanisms are introduced, while the ones in the existing results need to be redesigned. Finally, a simulation example is presented to verify the effectiveness of the proposed method. © 2024 IEEE.",2-s2.0-85200341084
"Robust Sensor Fault Detection for Linear Parameter-Varying Systems using Interval Observer This paper proposes a new interval observer for continuous-time linear parameter-varying systems with an unmeasurable parameter vector subject to unknown but bounded disturbances. The parameter-varying matrices are assumed to be elementwise bounded. This observer is used to compute a so-called residual interval used for sensor fault detection by checking if zero is contained in the interval. To attenuate the effect of the system’s uncertainties on the detectability of faults, additional weighting matrices and different upper and lower observer gains are introduced, providing more degrees of freedom than the classical interval observer strategies. In addition, a L∞ procedure is proposed to tune the value of the observer gains, this procedure being easy to modify to introduce additional constraints on the estimation algorithm. Simulations are run to show the efficiency of the proposed fault detection strategy. © ESREL 2021. Published by Research Publishing, Singapore.",2-s2.0-85135461628
"Wireless Monitoring of Gearbox Vibrations with Embedded Sensors Using LabVIEW The development of sensor monitoring systems for rotating machinery is important in automating industrial machine monitoring. Traditionally, the primary method for monitoring rotating machinery involved wired sensors such as accelerometers that were attached to the housing of the component under operation. However, this approach has a limitation since it cannot capture vibrations from the rotating part underneath the housing. Vibration measurements are crucial for machine health monitoring and analysis. Wireless vibration monitoring offers many benefits over wired monitoring. Thus, we implemented a wireless monitoring system using an embedded system design as a reliable option. A wireless monitoring system based on MEMS accelerometers with 3-axis digital outputs was used to measure vibrations ranging from -10 g to 10 g and temperature in a range from 0 to +70 °C. The system used the IEEE 802.11 wireless communication protocol and ESP modules. All the sensors were connected to a microcontroller and integrated into a printed circuit board, and the signals, data logging, and alarms were integrated into a PC platform using National Instruments LabVIEW software. The proposed monitoring system was embedded in a planetary gearbox to test its capabilities. The experimental results showed that the proposed wireless monitoring system could monitor gearbox vibrations in real-time, rendering data in the time domain, frequency domain, and root mean square. The data log files were used for vibration analysis. The research result verified the reliability and effectiveness of the wireless monitoring system by analyzing and diagnosing the vibration measurement signals.  © 2023 IEEE.",2-s2.0-85180750620
"Research of robot for detecting bushing in enclosed busbar of hydropower station Hydropower station is one of the important sources of energy supply in China, and its normal operation is of great significance to the economic and social development of the country. Hydroelectric power station bushing cleaning is an important maintenance work. At present, the insulator inspection method mainly relies on human dismantling and naked eye inspection, which is inefficient and easy to cause damage to the insulator. Therefore, it is necessary to develop a bushing cleaning robot to quickly help substation operation and maintenance personnel to clean and maintain the bushing. The device adopts internal and external dual-robot synergistic program. The external drive robot through the magnetic adsorption moves internal follower robot along the busbar movement while the internal robot is equipped with high-definition cameras, roller brush and dust-Absorbing device to achieve the detection and cleaning. The control system integrates CAN bus communication and PID automatic deviation correction algorithm, combined with vision sensors to realize precise path control. Video inspection data is transmitted to the console in real time and a bushing fault defect data set is created. Experimental tests have verified the robot's movement ability, defect recognition rate and cleaning efficiency under complex working conditions. The robot can significantly improve the operation and maintenance efficiency of the hydropower station, reduce the risk of labor and equipment loss, and has important engineering application value. © COPYRIGHT SPIE.",2-s2.0-105011038864
"Smart IoT platform for Big Data analysis in predictive maintenance A smart IoT platform for big data analysis in predictive maintenance can help achieve goals of predictive maintenance by collection, processing, and analysis of data from various sensors. This platform can use machine learning algorithms and other advanced techniques to identify patterns and trends that can be used to predict when equipment is likely to fail, allowing maintenance teams to take proactive action to prevent those failures from occurring.  © 2023 IEEE.",2-s2.0-85166478963
"A Design of Ultra-High Definition Dual-Lens Optical System with Long Back Focal Length Inspired by the human visual system, the dual-lens optical system emulates the binocular stereoscopic vision. It captures two perspectives of the same scene from separate viewpoints, creating a sense of depth and a three-dimensional effect. Currently, research progress has been made in the design of dual-lens optical systems in terms of zooming and baseline variation, but there are still issues such as limited field of view and a narrow range of baseline variation. To overcome these limitations and extend the working distance of the system while ensuring image quality, this paper proposes a design method for an ultra-high definition dual-lens optical system with an extended rear stopping distance. This study first compares three traditional binocular stereoscopic imaging techniques (dual-lens dual-sensor, single-lens single-sensor, dual-lens single-sensor), analyzes the shortcomings of the current dual-lens optical system design, and proposes an improvement plan to increase the rear working distance of the system. Based on retaining some of the imaging advantages of the existing dual-lens single-sensor optical system, this study explores the possibility of achieving a long rear focal length and a compact volume by introducing an inverted telephoto structure. In the design process, the two optical paths are completely identical and mirror-symmetrical. This paper first designs a suitable initial structure for one of the optical paths and evaluates and optimizes the image quality. After the image quality meets the requirements, the dual-lens optical system is combined using multiple configurations in ZEMAX software to determine the final system structure. The focus of this study's design is on the inverted telephoto optical system, which adopts an asymmetric structure composed of positive and negative lens groups. The negative lens group reduces the field of view of the off-axis light to the positive group, achieving a wide-angle effect, while the positive lens group ensures that the image is formed on the designated working image plane, thus achieving a long working distance. This study is conducted on ZEMAX software, aiming to achieve an optical system with a rear working distance greater than 50mm and a focal length between 105-150mm, and analyzes the image quality, including the optical point spread function (PSF), modulation transfer function (MTF), spherical aberration, distortion, etc. The evaluation and analysis results of this study show that the image quality of the optical system is good, but further efforts are still needed to achieve good imaging over a wider field of view. © 2024 SPIE.",2-s2.0-85214027061
"Fault detection system for stepping motors based on k-means clustering Stepper motors are susceptible to a variety of faults during operation, which can compromise their performance and potentially lead to system shutdown or damage. Such issues can result in production interruptions and increased maintenance costs. This paper introduces a novel method for detecting stepper motor faults, utilizing the K-means clustering algorithm in conjunction with vibration sensors. By capturing vibration signals from the stepper motor and processing them via a microcontroller, we achieve real-time monitoring and classification of potential faults. Experimental results demonstrate that this method yields effective clustering outcomes, offering a promising solution for stepper motor fault detection. © 2024 SPIE.",2-s2.0-85203145402
"Multi-sensor fusion based in-process monitoring technology for vertical milling cutter damage and breakage detection With the development of signal processing technology, statistical analysis, time domain analysis, frequency domain analysis and time-frequency domain analysis based on sensor signals enrich the scope of feature extraction. The development of modern manufacturing technology makes the monitoring mode transition from the traditional single sensor to the multi-sensor fusion monitoring mode. Aiming at the failure of tool breakage and tool breakage, this paper proposes an on-line monitoring method of milling tool breakage and tool breakage based on the fusion of spindle load and acoustic emission signal. The eigenvalues of acoustic emission signal and spindle load signal are fused to establish the feature vector, and the tool status decision model based on support vector machine is established. Compared with the single signal monitoring method, the tool status recognition accuracy of the signal fusion method proposed in this paper is significantly improved, which overcomes the problems of low accuracy and poor fault tolerance of tool status recognition of single signal. The kernel parameters and penalty factors of SVM are optimized by grid search, genetic algorithm and particle swarm optimization algorithm respectively. The research shows that the support vector machine decision model optimized by genetic algorithm has the best effect on the classification of milling cutter breakage and cutter breakage, and the fusion of the two sensor signals also improves the accuracy of the detection of breakage and cutter breakage. The feasibility of this method is verified by two sets of actual cutting experiments. © 2025 SPIE.",2-s2.0-85216933620
"Frequency Research of Microfluidic Wear Debris Detection Chip Based on Inductive Wheatstone Bridge A microfluidic wear debris detection chip based on an inductive Wheatstone bridge is proposed. The chip consists of two double-wire solenoid coils, a precision resistor, and a potentiometer to form a Wheatstone bridge structure. Two double-wire solenoid coils are used as detection unit and reference unit respectively. The condition of the bridge balance and the fluctuation voltage when the bridge is unbalanced is analyzed theoretically. The relationship between fluctuating voltage and excitation frequency was explored through experiments, and the 150\mu\mathrm{m} iron particles in hydraulic oil were detected. The research provides technical support for the modularization and portability of the microfluidic wear debris sensor, which is of great significance for the fault diagnosis and prevention of the hydraulic system damages. © 2021 IEEE.",2-s2.0-85113346325
"IoT for the Maritime Industry: Challenges and Emerging Applications The Internet of things (IoT) ecosystem provides a platform for the connectivity of interrelated smart devices to automate manual processes and reduce labor costs. IoT has brought significant benefits to all industries, including maritime, as various objects (e.g., ports, ships, agents, etc.) are connected to gather and share information within the maritime ecosystem. The innovative technological aspects of IoT are promoting the effective collaboration between the research community and the maritime industry, for enhancing the performance of maritime transportation systems. Therefore, this study discusses recent advances delivered by the IoT and other emerging technologies, like machine learning (ML) and computer vision (CV), for smart maritime transportation systems (SMTSs). In particular, this paper presents two specific use cases of SMTSs, namely, predictive maintenance and container damage/seal inspection. Moreover, the key benefits of integrating IoT with ML and CV are highlighted for the above-mentioned use cases. Finally, a discussion is presented to highlight key opportunities along with foreseeable future challenges in adopting these new technologies by the maritime industry.  © 2023 Polish Information Processing Society.",2-s2.0-85179181793
"Fault diagnosis method for bearings based on shock pulse method and multipoint optimal minimum entropy deconvolution adjusted The Shock Pulse Method (SPM) has been widely applied in the diagnosis of rolling bearing faults and proven to be an efficient and concise approach. The limitations of the SPM approach, which requires the use of specialized SPM sensors, hinder its development. To address this issue, this paper proposes a fault diagnosis method for rolling bearings by integrating Multipoint Optimal Minimum Entropy Deconvolution Adjusted (MOMEDA) with SPM. The MOMEDA method is employed to identify periodic impulse components in the signal and construct an optimal filter for extraction. Subsequently, the SPM method is applied for quantification and diagnosis of faults in rolling bearings. The effectiveness and superiority of the proposed method are validated through extensive simulations of bearing fault signals and publicly available bearing fault signal datasets. © 2024 SPIE.",2-s2.0-85193489113
"Wireless sensor node powered by piezoelectric vibration energy harvester for vibrational mode identification and structural health monitoring We applied our previously developed wireless sensor node (WSN), which is powered by a piezoelectric vibration energy harvester (VEH), to structural health monitoring and verified its classification performance. The self-powered WSN can measure structural vibrations and transmit the three-axis acceleration waveform data wirelessly. A normal intact beam and four beams that had a single notch cut at four different locations were prepared for classification testing. The WSN, which was connected to the piezoelectric VEH, was mounted on the tip of an aluminum alloy beam, and a random vibration was then applied to the clamped end of the beam. First, the power of the piezoelectric VEH under the random vibration condition was investigated by introducing the probability of harvesting. The beam's vibrational modes were identified within the 0-1,600 Hz frequency range using the transmitted waveform data. Second, based on an analogy to 2D image classification, we created an input image by arranging the x, y, z-axis acceleration spectrum data vertically and then classifying the arranged data using 2D convolutional neural network (2D-CNN) layers. The Bayesian optimization technique was used to maximize classification accuracy by optimizing the hyperparameters. We confirmed that the self-powered WSN can provide high classification accuracy of 99.9%. We also revealed the basis of this high classification accuracy using gradient-weighted class activation mapping (Grad-CAM) and the continuous wavelet transform (CWT). Our self-powered WSN, which can provide additional features by transmitting the three-axis acceleration waveforms, represents a useful tool for structural health monitoring or predictive maintenance applications. © 2024 SPIE.",2-s2.0-85194708693
"Multi-Fault Diagnosis of Induction Motors based on Adaptive Wavelet Packet Transform Despite their inherent robustness and cost-effectiveness, various faults occur in Induction Motors (IM). Thus, motivations for Condition Monitoring (CM) of IM are increasingly growing. The vast majority of CM works focus on monitoring isolated faults in bearings, rotor or in stator. Nevertheless, this type of CM can mislead the complete evaluation of the IM state, since they could be simultaneously affected by multiple combined faults. This paper proposes a low cost sensors-based CM using the motor current analysis for the diagnosis of several electrical and mechanical faults in IM both separated and combined. A novel signal-processing tool, the Adaptive Wavelet Packet Transform (AWPT), processes the data acquired from the current sensors. Several bearing faults and broken rotor bars that include the incipient or partially broken bar fault are diagnosed under various operating loads. A high fault detection accuracy and an important gain in implementation cost prove the competitive performance of the proposed approach.  © 2020 IEEE.",2-s2.0-85103047519
"IoT based Counter System for Press Fit Machines This paper proposes an innovative IoT-based counter system tailored for press fit machines, introducing a multi-functional paradigm that includes accurate counting, real-time performance monitoring, predictive maintenance, and stock management. Employing an infrared (IR) sensor counter, ESP32 microcontroller, and I2C display seamlessly integrated with Google Sheets, our system excels in capturing press fit tool movements and updating counts. The integration of Wi-Fi connectivity facilitates the transmission of count data to Google Sheets, enabling remote monitoring and predictive maintenance analysis. In addition to these features, our system extends its capabilities to intelligent stock management. Aligned with Industry 4.0 principles, this holistic solution addresses various aspects of manufacturing, from optimizing production output and identifying machine malfunctions to enhancing overall efficiency and intelligently managing stock levels. The paper provides a detailed exploration of this innovative IoT solution, emphasizing its contributions to operational excellence and its potential for continuous improvement in press fit machine processes.  © 2024 Bharati Vidyapeeth, New Delhi.",2-s2.0-85191728916
"A digital photovoltaic station operation monitoring and management system based on communication technology With the continuous growth of global demand for renewable energy, photovoltaic power generation as a clean and sustainable energy solution has received increasing attention. However, the operation monitoring and management of photovoltaic power generation systems face challenges such as real-time monitoring and fault detection. Based on this, this article proposes the design and research of a digital photovoltaic station operation monitoring and management system based on communication technology. Firstly, design a hardware module with high adaptability, utilizing sensors and communication devices to monitor key parameters of the photovoltaic power generation system in real-time, and then obtain and process system operation data through data collection and transmission. In addition, the system has designed fault diagnosis and early warning functions, as well as remote control and scheduling management modules, so that management personnel can timely detect abnormal situations in the photovoltaic substation area and notify operation and maintenance personnel to take timely processing measures in the form of early warning. Finally, a testing experiment was designed to verify the performance of the system in real-time monitoring, fault detection, data transmission, and other aspects. The experimental results show that the system can obtain real-time operational data of photovoltaic power generation systems, accurately detect faults in the substation area, and has stable data transmission and efficient data processing capabilities. It is expected to improve the operational management efficiency of photovoltaic substations, enhance the reliability and maintenance convenience of photovoltaic substation operation, and contribute to the development of sustainable energy. © 2023 SPIE.",2-s2.0-85176277471
"Quality and physical properties revealed: sensors for monitoring and controlling laser processes in combination with sophisticated data models There are many distinct commercial sensor systems for monitoring or controlling laser processes. Most of them are based on camera or photodiode technology. Furthermore, the introduction of real in-process measuring systems in laser material processing like OCT has significantly increased the safety of both defect detection and process control [5][6][7][8][9]. The focus of this contribution, however, relates to the use of artificial intelligence algorithms to ""See New Things"". We will discuss how classified, physical properties can be derived from already reliable process information - ""seeing the unseen"", so to speak. Instead of defining complex rules for algorithms, the use of Data Science and Machine Learning methods reveals hidden structures in noisy unstructured data and make it possible to find the relationships of the data to the physical measurement. There are several systems available in the market which capture or measure and analyze physical effects of the process zone and their properties during the laser processing, but none of these effects and properties stand for “seam quality” for themselves, which is typically defined by mechanical, geometrical and metallurgical properties of the solidified seam. The process properties like emitted visible and thermal radiation or geometrical values of the melt pool or the penetration depth of the laser forming the keyhole (penetration depth) only provide indications of how the desired quality might be achieved. When welding thousands of seams per shift during serial production for Li-Ion batteries in e-mobiles, very often users would like to stop their fully automatic machines once the laser process is suddenly running out of previously set boundaries. Such an approach allows users to find systematic faults where and when they occur, rather than at the end of the line where quality inspection takes place and the line is still running, producing more and more parts with the same faults. When it comes to the use of artificial intelligence algorithms the following questions must be answered: ‧ Is it possible to map an input time series to a real value? ‧ Can we get out the strength of the weld from the process emissions? ‧ Is the information buried in the signal? The vision, which can be represented by Figure 1, is that by using the data from process emissions and specific data models, a relationship to physical quantities can be established. Thus, AI goes a significant step beyond the simple ""good-bad"" statement. © 2023 SPIE.",2-s2.0-85159788015
"A small-scale implementation of industry 4.0 This paper discusses the implementation of Industry 4.0 in an educational setting. Simulation, virtual reality, analytics, robotics and automation, and 3D printing are integrated to develop a small-scale production line for producing and inspecting 3D printed parts. The system consists of a robot and controller, programmable logic controller, 3D printer, machine vision system, conveyor belt, 3-phase motor and motor controller, webcam, PC and monitor, Raspberry Pi computer, pneumatic system, beam sensor, simulation software, and VR equipment. The system components are connected via ethernet cables running to a basic ethernet switch. An ethernet router is also connected to the switch to resolve IP connection attempts by the connected components. A mini CNC machine is used to drill holes on small metal parts that are assembled with 3D printed parts and plastic bricks to make a car toy. A robot is pre-programmed to perform the assembly of the car toy and a Cognex® camera is used to inspect the parts. Deep learning models are used to predict the remaining useful life of the drilling bits. © Proceedings of the 2020 IISE Annual. All Rights Reserved.",2-s2.0-85105664000
