Domain,Input,Output,Modeling category,Modeling technique,Explainability,Relevance,EID
Chip manufacturing,"Sensor data, Time series, Images","Fault prediction, Root cause analysis",Data driven,"['Deep neural network (DNN)', 'Random forest (RF)', 'SHAP']",Yes: SHAP,4,2-s2.0-85214908260
Telecom/Network infrastructure,Sensor data,Predictive maintenance,Data driven,Not specified,No,0,2-s2.0-85196740195
Smart city infrastructure,Sensor data,Fault prediction,Data driven,Not specified,No,1,2-s2.0-85207060020
Electrical and motor drive systems,"Sensor data, Time series",Fault prediction,Data driven,LSTM neural network,No,3,2-s2.0-85209893940
Aircraft engines,Sensor data,Remaining Useful Life,Data driven,"['Recurrent Neural Networks (RNN)', 'LSTM', 'GRU', 'Attention mechanisms', 'CNN (mentioned as combined techniques)']",No,2,2-s2.0-85203683618
Power distribution systems,Sensor data,Fault prediction,Data driven,Fault detection algorithm,Yes: rule-based or algorithmic interpretability,3,2-s2.0-85212059205
Electric vehicles / Automotive systems,Sensor data,Fault prediction,Analytical / Model-based,Analytical model of fault signature,Yes: Analytical model,3,2-s2.0-85200704916
Other,Sensor data,Fault prediction,Other,Not specified,No,0,2-s2.0-85205815632
Transformers (Power Grid equipment),"['Sensor data', 'Structured data']",['Fault prediction'],Data driven,"Electromagnetic simulation, comparison testing",No,1,2-s2.0-85205668672
Industrial pumps,Audio samples,Fault prediction,Data driven,Autoencoder,Yes: Autoencoder,4,2-s2.0-85202518786
Power distribution networks,Sensor data,Fault prediction,Data driven,"['Wavelet transform', 'Fourier transform', 'Gradient Boosting Machine (GBM)', 'Support Vector Machine (SVM)']",Yes: feature extraction techniques (wavelet and Fourier transforms),4,2-s2.0-86000026164
Power transformers,Sensor data,Fault prediction,Data driven,Fiber optic sensor detection,Yes: sensor-based detection,4,2-s2.0-85205682107
Electrical transformers,Multi-sensor information fusion,Fault prediction,Data driven,"Impacted Northern Goshak Optimization (INGO) algorithm, Northern Goshawk algorithm",No,3,2-s2.0-85200708310
Food quality monitoring systems,Sensor data,Anomaly detection,Data driven,Isolation Forests,No,2,2-s2.0-85190615744
Other,"['Sensor data', 'Images']",Image quality optimization,Data driven,['Orthogonal iteration algorithm'],Yes: Algorithm-based interpretation,0,2-s2.0-85207901815
Manufacturing plants,"['Sensor data', 'Time series']","['Fault prediction', 'Remaining Useful Life']",Data driven,Random Forest,Yes: Tree-based models (Random Forest),4,2-s2.0-85199441582
Wireless Sensor Networks,Sensor data,Fault prediction,Data driven,XGBoost,No,3,2-s2.0-85190517264
IoT sensor networks,Sensor data,Fault prediction,Data driven,Isolation Forest,No,2,2-s2.0-85190591521
Aerospace systems / Aircraft subsystems,Sensor data,Features characterization / Fault isolation (implied for predictive maintenance),Data driven,"Clustering (Centroid, Density, Distribution-based clustering)",Yes: clustering techniques are interpretable,3,2-s2.0-85205249052
Electrical substation systems,Sensor data,Fault prediction,Data driven,Data analysis of PD measurements,Yes: Visual inspection and PD data analysis,3,2-s2.0-85199082047
Electric machinery (induction motors),Sensor data,Fault prediction,Data driven,CNN,No,4,2-s2.0-86000029148
HVAC systems,Sensor data,Fault prediction,Data driven,Graph Attention Network (GAT),No,4,2-s2.0-105002253131
Vehicle inspection and maintenance,Sensor data,Fault prediction,Data driven,Deep learning,No,0,2-s2.0-105002574047
Vibrating machinery,"['Sensor data', 'Images']",['Fault prediction'],Data driven,"['Autoencoder', 'TensorFlow']",No,4,2-s2.0-105009004185
Engine fault diagnosis / Industrial systems,Sensor data,Fault prediction,Data driven,"['Denoising CNN', 'LSTM']",No,3,2-s2.0-105009050361
Chip manufacturing,Sensor data,Fault prediction,Data driven,"['Deep learning', 'Isolation Forest']",No,4,2-s2.0-85201734367
Electric machinery / Motor systems,Sensor data,Fault prediction,Data driven,"Not explicitly specified but likely data-driven methods (e.g., signal processing, classification algorithms)",No,4,2-s2.0-85207482811
Electrical systems,"['Sensor data', 'System parameters']",['Fault prediction'],Data driven,['Support Vector Machine (SVM)'],No,3,2-s2.0-85206912493
Chip manufacturing,"Sensor data, Time series",Fault prediction,Data driven,XGBoost,No,4,2-s2.0-105004744387
Automotive engineering,Sensor data,Fault prediction,Data driven,Not explicitly specified,Yes: Threshold-based monitoring,2,2-s2.0-105001664718
Industrial electric drive systems,Sensor data,Fault prediction,Data driven,Not explicitly mentioned,No,2,2-s2.0-85201736153
Smart Cities,Time series,Remaining Useful Life,Data driven,Machine Learning,No,3,2-s2.0-105008422260
Manufacturing / Machining,Sensor data,Remaining Useful Life,Data driven,"['K-Nearest Neighbors', 'Decision Tree', 'Random Forest']","Yes: Decision Tree, Random Forest",3,2-s2.0-85198542051
Power systems,"Sensor data, Time series","Fault prediction, Recovery time prediction",Data driven,"Deep Belief Networks (DBN), Restricted Boltzmann Machines (RBM)",No,3,2-s2.0-105002572252
Power substations / Electrical infrastructure,"['Images', 'Sensor data']","['Fault prediction', 'Root cause analysis']",Data driven,"['YOLOv7', 'decoding thermal sensor data']",No,4,2-s2.0-105010205074
Renewable energy systems,Sensor data,Fault prediction,Data driven,Not specified,No,2,2-s2.0-105001828503
Electric vehicle battery systems,Sensor data,Fault prediction,Data driven,Not specified,No,4,2-s2.0-105008308125
Residential systems / Smart homes,['Sensor data'],['Fault prediction'],Data driven,,No,2,2-s2.0-105008959478
Supply chain management and logistics,"['Sensor data', 'Time series']",Not specified in the abstract,Other,Not specified,No,0,2-s2.0-85201223784
Display technologies / Sensors,Images,Fault prediction,Data driven,Convolutional Neural Networks (CNNs),No,2,2-s2.0-85189238363
Electrical drives and motor systems,Time series,Fault prediction,Data driven,Time-frequency domain spectrogram,No,4,2-s2.0-85201730619
Other,Sensor data,Remaining Useful Life,Hybrid,Machine learning,No,4,2-s2.0-105004573768
Chip manufacturing,Sensor data,Fault prediction,Data driven,LSTM with attention mechanism,Yes: Attention mechanism,4,2-s2.0-105002583545
Manufacturing facilities,"Sensor data, Time series, Operational records","Remaining Useful Life, Fault prediction",Data driven,"Regression analysis, Time series analysis, Random forest, Support vector machines, Gradient boosting machines, CNNs, LSTM, Autoencoders, K-means, Hierarchical clustering",No,3,2-s2.0-105002484538
Other,Time series,Parameters estimation,Data driven,Puma optimizer (PO) algorithm,No,2,2-s2.0-105009404649
Medical equipment / ICU ventilators,Sensor data,Fault prediction,Data driven,"FMECA, IoT-based analytics",Yes: Failure Modes and Effects Analysis (FMECA),4,2-s2.0-105003875236
Electric Vehicle (EV) batteries,"Sensor data, IoT technologies",Battery State Estimation,Data driven,"AI, digital twin modeling",No,3,2-s2.0-105002465954
Electrical grid monitoring,Sensor data,Fault prediction,Data driven,Not specified,No,2,2-s2.0-105000110073
Manufacturing,"['Sensor data', 'Time series', 'Structured data', 'Unstructured data', 'IoT data']","['Fault prediction', 'Remaining Useful Life']",Hybrid,Combination of machine learning and rules-based approaches,Yes: Rules and logic based,3,2-s2.0-105007307071
Mechanical systems / Industrial machinery,Sensor data,Remaining Useful Life,Physics informed,Finite Element Analysis (FEA),Yes: Physics informed,3,2-s2.0-85207513222
3D printing / Additive manufacturing in smart manufacturing,"Sensor data, Time series",Fault prediction,Data driven,LSTM-AutoEncoder,No,4,2-s2.0-105007534506
Electrical transformers,"Unstructured data (materials and electronic properties), possibly sensor data if used in practical application",Fault prediction,Physics based,Density Functional Theory (DFT),Yes: DFT calculations are interpretable and based on physical principles,2,2-s2.0-105004549968
Telecommunication networks,"['Sensor data', 'Time series', 'Unstructured data']","['Fault prediction', 'Root cause analysis']",Data driven,"['Machine learning', 'Deep learning', 'Natural language processing']",No,1,2-s2.0-105008420341
Induction machines / Electric motors,Sensor data,Fault prediction,Data driven,Frequency spectrum analysis,Yes: spectral analysis,4,2-s2.0-85207478299
Industrial Motors / Manufacturing,Sensor data,Fault prediction,Data driven,Not explicitly specified,Yes: rule-based logs and visualization,4,2-s2.0-105007284581
Autonomous ground vehicle localization with sensor fault detection,Sensor data,Fault prediction,Data driven,Extended Kalman Filter (EKF),Yes: Kalman filter (interpretable),3,2-s2.0-105009238114
Oil-immersed load tap changers (OLTCs),Sensor data,Fault prediction,Data driven,Time-frequency analysis,Yes: spectral feature analysis,4,2-s2.0-105009990660
Power transformers,Sensor data,Fault prediction,Data driven,"Sensor signal analysis (implied, as FBG sensor signals are analyzed)",No,4,2-s2.0-105010823742
Industrial systems,Sensor data,Real-time information analytics,Data driven,Not specified,No,3,2-s2.0-105003910798
Ground transportation systems,Sensor data,Fault prediction,Data driven,Kalman Filter,Yes: Recursive rule-based detection boundaries,2,2-s2.0-105009226082
Industrial asset management / Control systems,"Real-time data, historical data","Fault prediction, Predictive maintenance",Data driven,"Machine learning, AI-driven decision-making",No,4,2-s2.0-105008420597
Waste management,Sensor data,Waste generation patterns / Predictive maintenance,Data driven,Machine Learning,Yes: customizable dashboards and actionable insights,2,2-s2.0-85201289432
Power systems / Substation operations,Sensor data,Fault prediction,Data driven,"['Ensemble Kalman Filter', 'Hampel filter', 'DBSCAN']","Yes: Ensemble Kalman Filter, Hampel filter, DBSCAN",2,2-s2.0-105002567165
Commercial buildings,Sensor data,Fault prediction,Data driven,"Not explicitly specified, but likely sensor-based algorithms or ML techniques (e.g., anomaly detection)",No,3,2-s2.0-105002712043
Industrial systems / machinery,Sensor data,Fault prediction,Hybrid,Frequency domain analysis (Hilbert and Envelope Spectrum Analysis),Yes: spectral analysis methods,3,2-s2.0-105004557186
Industrial equipment or systems,Sensor data,Fault prediction,Data driven,Machine learning models,No,4,2-s2.0-105007794977
Battery systems / Energy storage,Sensor data,Fault prediction,Data driven,"['K-Nearest Neighbours', 'Random Forest']",No,3,2-s2.0-105008294778
Healthcare devices / Medical equipment,Sensor data,Remaining Useful Life,Data driven,"Not explicitly specified, but based on preprocessing and analysis techniques such as IQR, linear interpolation, Savitzky-Golay smoothing, likely involves statistical and ML-based models",Yes: rule-based and statistical analysis,2,2-s2.0-105009405238
Micro-Electro-Mechanical Systems (MEMS) devices,Sensor data,Remaining Useful Life,Ensemble,"Bayesian Ridge, Random Forest, XGBoost, Support Vector Regressor (SVR)",No,4,2-s2.0-105004741760
Industrial automation/Factory systems,"Sensor data, Machine logs, Time series","Fault prediction, Remaining Useful Life",Data driven,LSTM (Long Short-Term Memory),No,4,2-s2.0-105003911256
Industrial systems,Time series,Remaining Useful Life,Data driven,"Conformal prediction, Active learning",Yes: Conformal prediction,4,2-s2.0-105011079829
Chip manufacturing,Sensor data,Remaining Useful Life,Deep reinforcement learning,Deep Q-Networks (DQN),No,4,2-s2.0-105003904499
Industrial systems,Structured data,Fault prediction,Rules and/or logic based,Fault detection filter (FDF),Yes: Fault detection filter (FDF),2,2-s2.0-105010816917
Industrial machinery / Gearbox systems,Images,Fault prediction,Data driven,"['CNN', 'GRU', 'Attention mechanism']",No,4,2-s2.0-105007811426
Ex e motor certification in industrial safety,"Sensor data, Time series",Fault prediction,Hybrid,"Monte Carlo stochastic modeling, CFD simulations",Yes: Traditional resistance methods and hybrid thermal monitoring techniques,3,2-s2.0-105010833419
Solid waste management,Sensor data,Fault prediction,Data driven,"Machine learning, Computer vision, IoT-enabled data analytics",No,2,2-s2.0-105008421937
Industrial Cyber-Physical Systems,Sensor data,Anomaly detection,Data driven,Federated Learning,No,3,2-s2.0-105006564522
Industrial machinery / Industrial systems,Sensor data,Fault prediction,Data driven,Custom Neural Network,No,3,2-s2.0-105004576566
Urban traffic management,Sensor data,Fault prediction,Data driven,Machine learning (implied by mention of advanced models and predictions),No,2,2-s2.0-105010294179
Renewable energy systems,Sensor data,Fault prediction,Data driven,"['CNN', 'EfficientNetB0', 'DenseNet121', 'Inception V3', 'NASNet']",No,2,2-s2.0-105004556039
Autonomous ground vehicle navigation,Sensor data,Fault prediction,Data driven,Particle filter,No,3,2-s2.0-105009214525
Smart city infrastructure,Sensor data,Fault prediction,Hybrid,Neuro-Fuzzy Inference System (ANFIS),Yes: Interpretable neuro-fuzzy rules,2,2-s2.0-85217200581
Automotive systems,Sensor data,Fault prediction,Data driven,,No,2,2-s2.0-105008971554
Other,Time series,Forecasting / Prediction,Data driven,Meta-learning with attention mechanisms,No,3,2-s2.0-105002565812
Power systems / Substations,Sensor data,Fault prediction,Data driven,Artificial intelligence-driven predictive maintenance,No,2,2-s2.0-105011081298
Industrial manufacturing,Sensor data,Process performance and quality metrics (implying process monitoring and potential failure detection),Data driven,Machine learning algorithms,No,2,2-s2.0-105003906205
Offshore wind farms and agriculture,"Sensor data, Real-time monitoring","Fault prediction, Anomaly detection",Data driven,"Machine Learning, AI, IoT technologies",No,3,2-s2.0-105007416246
Industry 4.0 / Industrial IoT,"Sensor data, Time series","Predictive maintenance, Anomaly detection",Data driven,"Deep learning models, Federated learning",No,3,2-s2.0-105010142211
Heavy-duty trucks / Vehicle systems,"Sensor data, Time series",Fault prediction,Data driven,"AutoML, machine learning models for tabular data",No,3,2-s2.0-105011091000
Industrial systems (electric motors within industrial processes),"Sensor data, Structured data",Fault prediction,Data driven,Pattern recognition & matching,Yes: pattern recognition & matching,4,2-s2.0-85203714207
Industrial systems (induction motors in fertilizers plants),Sensor data,Fault prediction,Data driven,Not explicitly specified in the abstract,No,4,2-s2.0-85202348195
Industrial systems,Sensor data,Fault prediction,Data driven,Not specified,No,4,2-s2.0-105008939001
"Aerospace systems (implied by NASA PHM dataset), but specifically focusing on prognostics and health management in complex systems",Sensor data,Remaining Useful Life,Data driven,"Ensemble stacking regression, SHAP, LIME",Yes: SHAP and LIME,4,2-s2.0-105011086571
Manufacturing sector,Sensor data,Fault prediction,Data driven,Data analytics,No,4,2-s2.0-105003906171
Electric vehicles,Sensor data,Remaining Useful Life,Data driven,Artificial intelligence based algorithms,No,4,2-s2.0-85217200929
Heavy vehicle systems,['Sensor data'],['Fault prediction'],Data driven,"['SVM', 'Neural Networks']",No,2,2-s2.0-105007426557
Industrial Lighting Management System (LMS),Structured data,Fault prediction,Rules and/or logic based,"Industrial communication protocols (Ethernet/IP, PROFINET, Modbus)",Yes: Rules and standard protocols for diagnosis and remote management,3,2-s2.0-105000393741
Vehicle batteries / Automotive systems,Sensor data,Fault prediction,Data driven,"Digital twin, possibly involving ML models (not explicitly specified)",Yes: Digital twin models are generally interpretable,4,2-s2.0-105004738841
Logistics and supply chain management,Sensor data,Predictive maintenance,Data driven,,No,2,2-s2.0-105003902614
Electric motors / Industrial motors,Sensor data,Fault prediction,Data driven,Harmonic analysis,Yes: Harmonic analysis,2,2-s2.0-85207490894
Aero-engine systems,Sensor data,Remaining Useful Life,Reinforcement learning,Spatio-temporal reinforcement learning (ESTRL),Yes: explicit reward mechanism and correlation explanation,4,2-s2.0-105011099512
Electronic manufacturing / PCB inspection,Images,Defect classification,Data driven,"Transfer learning, Semantic segmentation",No,2,2-s2.0-105000654475
Renewable energy systems / Solar power systems,Sensor data,"Fault prediction, Remaining Useful Life",Data driven,Not specified,No,3,2-s2.0-85196704384
Distribution systems,Waveform data,Fault prediction,Data driven,,No,1,2-s2.0-105000163922
Apparel manufacturing,Sensor data,Remaining Useful Life,Data driven,Not specified,No,3,2-s2.0-105004560727
Water Distribution Networks,Sensor data,Fault prediction,Data driven,LSTM-based Variational Autoencoder (LSTM-VAE),No,3,2-s2.0-105008421192
Electrical power distribution networks,Sensor data,Fault prediction,Data driven,,No,4,2-s2.0-105000417157
Hydro-generator systems,Sensor data,Fault prediction,Data driven,Spectral analysis,Yes: spectral signature analysis,4,2-s2.0-85207509317
Factory automation,Sensor data,Fault prediction,Rules and/or logic based,Error detection and fault-tolerant architecture,Yes: rule-based/error detection logic,3,2-s2.0-105010514848
Industrial systems - induction machines / electrical motors,Sensor data,Fault prediction,Data driven,Spectrum analysis / signal processing techniques,Yes: Spectrum analysis and in-situ leakage flux measurement are interpretable techniques,4,2-s2.0-105010498236
Other,"Sensor data, Time series",Fault prediction,Data driven,Residual-based fault detection using thresholds,Yes: Residual analysis with adaptive thresholds,3,2-s2.0-85206375596
Electrical equipment / High Voltage Systems,Images,Fault prediction,Data driven,Acoustic analysis / Signal processing,Yes: Signal processing / Feature extraction techniques,4,2-s2.0-85201734879
Other,Structured data,Fault prediction,Rules and/or logic based,Routing algorithms,Yes: Rules and heuristics,0,2-s2.0-85202351819
Commercial buildings,Sensor data,Fault prediction,Data driven,Machine Learning,No,2,2-s2.0-105002717012
Industrial systems,Unstructured data,Anomaly detection,Data driven,"['Deep Support Vector Data Description (deep SVDD)', 'Autoencoder (AE)']",No,4,2-s2.0-105010107304
IoT networks,Sensor data,Anomaly detection,Hybrid,"['Rule-based filtering', 'Extreme Gradient Boosting (XGBoost)']",Yes: Rule-based filtering,3,2-s2.0-105004557389
Lithium-ion battery systems,"['Sensor data', 'Time series']",['Remaining Useful Life'],Data driven,"['Empirical Mode Decomposition (EMD)', 'Long Short-Term Memory (LSTM) neural networks']",No,4,2-s2.0-105007803130
Civil engineering structures,Sensor data,Strain prediction / Structural health indicators,Physics informed,Physics-informed neural networks (PINNs),Yes: PINNs,4,2-s2.0-85215076759
Smart Cities,Sensor data,Fault prediction,Data driven,"['Support Vector Machines', 'Decision Trees', 'Ensemble Approaches', 'Deep Neural Networks']",No,4,2-s2.0-85211186057
Other,Natural language text,Fault prediction,Data driven,"['LSTM', 'Word2Vec', 'GloVe']",No,2,2-s2.0-105001821064
Supply Chain Management,Sensor data,Risk prediction,Data driven,"Machine learning, Big data analytics",No,2,2-s2.0-105003907085
Industrial environments,"['Sensor data', 'Time series']","['Fault prediction', 'Remaining Useful Life']",Data driven,"Not explicitly specified, likely sensor calibration and signal analysis techniques",No,2,2-s2.0-85208828217
Electrical systems / Industrial switchgear,"Sensor data, Time series, Images",Fault prediction,"Data driven, Hybrid","CWT, CNN",No,4,2-s2.0-85184349377
Power transmission and distribution systems,Sensor data,Fault prediction,Data driven,Not explicitly specified,No,3,2-s2.0-85203104419
Chip manufacturing,Sensor data,Fault prediction,Data driven,"['SVM', 'CNN', 'LSTM']",No,4,2-s2.0-85207181268
Medical devices / Healthcare systems,Sensor data,Fault prediction,Data driven,Machine learning (ML),No,4,2-s2.0-85182735378
Sewerage treatment plant machinery,Sensor data,Fault prediction,Data driven,"Clustering (e.g., unspecified, optimized by Grey Wolf Optimizer)",No,2,2-s2.0-85124983649
Industrial machines,Sensor data,Fault prediction,Data driven,Machine learning,No,3,2-s2.0-85213296048
Tele-Communication Networks and IoT devices,"Sensor data, Network traffic, Performance data","Fault prediction, Remaining Useful Life",Data driven,"Machine Learning, AI algorithms",No,2,2-s2.0-85200146061
"Industrial systems (general, not specified in abstract)",Sensor data,Remaining Useful Life,Data driven,Hidden Markov Model,Yes: Hierarchical models (via HMM),3,2-s2.0-85110271089
Aerospace / Aircraft engines,"Sensor data, Time series",Remaining Useful Life,Data driven,"Temporal Self-Attention, Temporal Convolutional Network (TCN), Bi-directional LSTM, Bayesian Optimization",No,3,2-s2.0-105007824421
Smart city infrastructure / Parking systems,Images,Parking occupancy classification,Data driven,"ResNet-50, CNN",No,2,2-s2.0-85191707098
Commercial buildings,Sensor data,Remaining Useful Life,Data driven,Not explicitly specified / likely simple rule-based or ML approach,Yes: rule-based / interpretable approach,4,2-s2.0-85190107072
Industrial systems (general or unspecified),"Sensor data, Estimated data, Signature vectors",Leak detection,Hybrid,"Pattern recognition, Digital twin, Multiphase flow simulation","Yes: Signature-based, Pattern recognition",2,2-s2.0-85200997619
Electrical machines in aerospace systems,Sensor data,Fault prediction,Data driven,Virtual sensor algorithm,Yes: interpretable,2,2-s2.0-85110367027
Navigation systems / Satellite and GPS systems,Sensor data,Fault prediction / Fault detection,Rules and/or logic based,Kalman Filter,"Yes: Solution separation techniques, fault detection, exclusion and readmission methods are interpretable",2,2-s2.0-85161621035
Renewable energy systems,"['Sensor data', 'Time series']","['Performance evaluation', 'Fault detection']",Data driven,,No,2,2-s2.0-85182273184
Plastic recycling facilities,Images,Defect detection,Data driven,CNN,No,3,2-s2.0-85213352460
Space exploration systems,Sensor data,Remaining Useful Life,Hybrid,"['Fuzzy Logic', 'Artificial Neural Networks (ANNs)']",Yes: Fuzzy Logic,3,2-s2.0-105007283208
Wind turbine systems,Sensor data,Fault prediction,Rules and/or logic based,Unknown Input High Gain Observer (UIHGO),Yes: rule-based observer,4,2-s2.0-105007284135
Industrial environments,Images,Fault prediction,Data driven,"['CNN', 'YOLOv5', 'Isolation Forest']",No,4,2-s2.0-105001917362
Lithium-ion batteries / Energy storage systems,Sensor data,Fault prediction,Hybrid,"['Extended Kalman Filter', 'Generalized Likelihood Ratio Test']",Yes: residual model-based fault diagnosis,3,2-s2.0-85091920992
Urban street lighting / smart city infrastructure,Sensor data,Fault prediction,Data driven,"['Temporal Fusion Transformer (TFT)', 'TADA', 'GNNs']",No,3,2-s2.0-105000736682
Manufacturing / Industry,Sensor data,Fault prediction,Data driven,"Convolutional Neural Network (CNN), Q-learning Reinforcement Learning (RL)",No,3,2-s2.0-85200125245
Public sanitation systems,Sensor data,Fault prediction,Data driven,"AI-driven analytics, IoT sensors, cloud-based data processing",No,3,2-s2.0-105004804924
Water distribution systems,Sensor data,Fault prediction,Data driven,Sensor-based anomaly detection,Yes: rule-based thresholds or simple heuristics,3,2-s2.0-85190089729
Power electronics and electrical contacts,Sensor data,Fault prediction,Data driven,FFT (Fast Fourier Transform),Yes: spectral analysis / Fourier analysis,3,2-s2.0-85135360788
Other,"['Sensor data', 'Time series']","['Fault prediction', 'Remaining Useful Life']",Data driven,,No,1,2-s2.0-105010676277
Chemical industries,Sensor data,Fault prediction,Data driven,"['Linear regression', 'Multiple regression', 'KNN']","Yes: Linear regression, Multiple regression",4,2-s2.0-105007661852
Industrial machinery,Sensor data,Fault prediction,Data driven,Random Forest Regression,Yes: feature importance / model interpretability techniques,4,2-s2.0-85207200569
Automotive / Car engine systems,Sensor data,Fault prediction,Data driven,"['Support Vector Machines (SVM)', 'Artificial Neural Networks (ANN)', 'K-Nearest Neighbors (KNN)', 'Ensemble models', 'LIME']",Yes: LIME,4,2-s2.0-85203105726
Healthcare devices,Sensor data,Fault prediction,Data driven,,No,1,2-s2.0-105002866744
Mining,Sensor data,Hazard prediction,Data driven,Support Vector Machines (SVM),Yes: Support Vector Machines (SVM),3,2-s2.0-85207438232
Logistics and Supply Chain in Retail Markets,"Sensor data (locations, cabin environmental conditions, vehicle movements, engine status, driver behavioral patterns)",Predictive maintenance,Data driven,Not explicitly specified,No,2,2-s2.0-85192885424
Water treatment systems,Sensor data,Fault prediction,Data driven,['LSTM'],No,2,2-s2.0-85213369098
Power systems / Transmission lines,Sensor data,Fault prediction / Fault localization,Data driven,Not specified,No,2,2-s2.0-85162234476
Industrial automation,Sensor data,Fault prediction,Data driven,,No,4,2-s2.0-85164269626
Power systems,Sensor data,Fault prediction,Data driven,"UHF-Fibre Grating sensors, Acoustic-electrical detection",No,3,2-s2.0-105003978413
Industrial machinery / Manufacturing,Sensor data,Fault prediction,Data driven,Anomaly detection,Yes: Anomaly detection,4,2-s2.0-85159146711
Commercial buildings,"['Sensor data', 'Time series']","['Fault prediction', 'Remaining Useful Life']",Data driven,['LSTM'],No,2,2-s2.0-85203107619
Other,Sensor data,Fault prediction,Data driven,"XGBoost, Lasso Regression",No,2,2-s2.0-105006472174
Electrical power generation / Power plant systems,"Sensor data, Structured data",Fault prediction,Data driven,AI / Machine learning,No,3,2-s2.0-85184350599
