Domain,Domain category,Domain subcategory,Input,Output,Modeling category,Modeling technique,Explainability,Relevance,EID,Output_list,Output_categories
Industrial systems,Industrial systems,,sensor data,Fault prediction,Data driven,"Domain adaptation, Unsupervised learning",No,2.0,2-s2.0-85126863502,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,"sensor data, time series","Remaining Useful Life, Failure prediction",Data driven,GRU-based Deep Networks,No,4.0,2-s2.0-85115447456,"['remaining useful life', ' failure prediction']","['Fault prediction', 'Remaining Useful Life']"
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Hybrid,"Kalman filter, Innovation decomposition",Yes: Residual decomposition and detection statistics are interpretable techniques,2.0,2-s2.0-85087081747,['fault prediction'],['Fault prediction']
Industrial sensors,Industrial systems,,images,Fault prediction,Data driven,"['CNN', 'Wavelet analysis']",Yes: Wavelet analysis,2.0,2-s2.0-85125966177,['fault prediction'],['Fault prediction']
Industrial systems (general industrial maintenance or industry 4.0 applications),Industrial systems,,structured data,Fault prediction,Data driven,"['Decision Trees', 'Nearest Neighbors', 'Linear SVM', 'Random Forest', 'AdaBoost', 'Naive Bayes', 'XGBoost']",Yes: Decision Trees,3.0,2-s2.0-85088870998,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,sensor data,Remaining Useful Life,Data driven,"Deep Learning (implied, e.g., neural networks)",Yes: Shapley Additive explanation (SHAP),4.0,2-s2.0-85123428484,['remaining useful life'],['Remaining Useful Life']
Manufacturing systems,Manufacturing systems,,sensor data,Fault prediction,Hybrid,Petri Nets,Yes: Petri Nets,2.0,2-s2.0-85114196942,['fault prediction'],['Fault prediction']
Manufacturing equipment (specifically bearings in mechanical systems),Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,"Variational Mode Decomposition (VMD), Computed Order Tracking (COT), Envelope Spectrum Analysis",Yes: Signal processing methods like VMD and COT are interpretable,3.0,2-s2.0-85112434220,['fault prediction'],['Fault prediction']
Chemical industrial processes,Industrial systems,chemical,structured data,Fault prediction,Rules and/or logic based,Linear matrix inequalities,Yes: rule-based / model-based techniques,2.0,2-s2.0-85114025699,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,Chip manufacturing,structured data,Fault prediction,Data driven,"Normalization, cross-correlation",Yes: normalization and cross-correlation are interpretable techniques,4.0,2-s2.0-85123446701,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,sensor data,Fault prediction,Hybrid,Extended Kalman Filter (EKF),"Yes: Kalman filter (interpretable, state estimation)",2.0,2-s2.0-85106514921,['fault prediction'],['Fault prediction']
Industrial process control systems,Industrial systems,,sensor data,Fault prediction,Data driven,"['Dynamic inner Principal Component Analysis (DiPCA)', 'Maximum Ratio Divergence Analysis (MRDA)']",Yes: Discriminant analysis methods,3.0,2-s2.0-85126887524,['fault prediction'],['Fault prediction']
Industrial pneumatic systems,Industrial systems,,sensor data,Fault prediction,Data driven,RUSBoosted bagged trees,No,3.0,2-s2.0-85123450051,['fault prediction'],['Fault prediction']
Industrial equipment / Manufacturing,Industrial systems,,sensor data,Remaining Useful Life,Data driven,Artificial Neural Network (ANN),No,3.0,2-s2.0-85088868137,['remaining useful life'],['Remaining Useful Life']
Commercial buildings,Commercial buildings,,sensor data,Fault prediction,Hybrid,Rules and ML,Yes: rules-based,3.0,2-s2.0-85123379222,['fault prediction'],['Fault prediction']
Industrial motors (specifically induction motors),Industrial systems,,sensor data,Fault prediction,Data driven,"['1D CNN', 'Residual network', 'Dempster-Shafer evidence theory']",Yes: Dempster-Shafer evidence theory,3.0,2-s2.0-85123417161,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,"['sensor data', 'time series', 'structured data', 'images']",Fault prediction,Data driven,Autoencoder,No,4.0,2-s2.0-85102507156,['fault prediction'],['Fault prediction']
Manufacturing / Industrial systems,Industrial systems,,time series,Remaining Useful Life,Data driven,Artificial Neural Network (ANN),No,4.0,2-s2.0-85093694039,['remaining useful life'],['Remaining Useful Life']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,Current estimation-based fault detection,Yes: Fault detection via current estimation,3.0,2-s2.0-85096551575,['fault prediction'],['Fault prediction']
Industrial control systems,Industrial systems,,sensor data,Fault prediction,Data driven,Wavelet transform,Yes: wavelet transform,4.0,2-s2.0-85123279520,['fault prediction'],['Fault prediction']
Rotating machinery,Rotating machinery,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,"['Graph Attention Network (GATv2)', 'Grow-Shrink (GS) algorithm']",Yes: attention mechanism and graph structure provide interpretability,4.0,2-s2.0-85146674651,['fault prediction'],['Fault prediction']
Manufacturing processes,Manufacturing systems,,sensor data,Process control and maintenance optimization,Hybrid,"Evolutionary algorithm, Artificial neural network",No,3.0,2-s2.0-85127599751,['process control and maintenance optimization'],['Other']
Industrial ventilation systems,Industrial systems,,sensor data,Fault prediction,Data driven,Signal processing / Data analysis,Yes: Signal processing analysis,4.0,2-s2.0-85124800608,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,sensor data,Fault prediction,Rules and/or logic based,Probability ratio testing,Yes: threshold-based rules,4.0,2-s2.0-85106478832,['fault prediction'],['Fault prediction']
Industrial motors / UAM systems,Industrial systems,,"sensor data, time series",Fault prediction,Data driven,"Runge-Kutta method, Logistic function-based weighting","Yes: Logistic function-based weighting, sensor fusion",3.0,2-s2.0-85123386192,['fault prediction'],['Fault prediction']
HVAC,HVAC,,sensor data,Fault prediction,Hybrid,Bayesian network,Yes: Bayesian network,5.0,2-s2.0-85132425415,['fault prediction'],['Fault prediction']
Industrial drilling equipment,Industrial systems,,sensor data,Remaining Useful Life,Data driven,Not explicitly specified,No,3.0,2-s2.0-85112109444,['remaining useful life'],['Remaining Useful Life']
"Manufacturing (cookware production, industrial machinery)",Industrial systems,,sensor data,Remaining Useful Life,Data driven,Machine learning,No,3.0,2-s2.0-85119421376,['remaining useful life'],['Remaining Useful Life']
Internet of Things (IoT) devices in industrial environments,Industrial systems,,sensor data,Fault prediction,Data driven,"['Support Vector Machine', 'Grey Wolf Optimizer']",No,3.0,2-s2.0-85123400745,['fault prediction'],['Fault prediction']
Industrial systems with rotating machinery,Industrial systems,Rotating machinery / Bearings,images,Fault prediction,Data driven,CNN,No,2.0,2-s2.0-85114111129,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,structured data,Fault prediction,Hybrid,"MATLAB/SIMULINK, COMSOL Multi-physics",Yes: rule-based and physics-based approaches,3.0,2-s2.0-85123631273,['fault prediction'],['Fault prediction']
Industrial machinery / Mechanical systems (specifically rolling bearings),Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,CNN,No,3.0,2-s2.0-85116605733,['fault prediction'],['Fault prediction']
Manufacturing / Cutting tools,Manufacturing systems,,sensor data,Fault prediction,Data driven,Data decomposition and analysis,Yes: Data decomposition and feature extraction,3.0,2-s2.0-85146714139,['fault prediction'],['Fault prediction']
Industrial equipment,Industrial systems,,sensor data,Fault prediction,Data driven,"['CNN', 'Autoencoder', 'Grad-CAM']",Yes: Grad-CAM,3.0,2-s2.0-85124606919,['fault prediction'],['Fault prediction']
Manufacturing systems,Manufacturing systems,,"['sensor data', 'other data sources']",['Fault prediction'],Hybrid,['Evolutionary Algorithms'],No,3.0,2-s2.0-85127553773,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,"['LSTM', 'EMD', 'PSO']",No,4.0,2-s2.0-85107707609,['fault prediction'],['Fault prediction']
Manufacturing / Industrial systems,Industrial systems,,sensor data,Remaining Useful Life,Data driven,"['SVR', 'Recursive Feature Elimination (RFE)', 'Random Forest Regressor (RFR)', 'LSTM', 'CNN']",No,4.0,2-s2.0-85145433613,['remaining useful life'],['Remaining Useful Life']
Industrial systems,Industrial systems,,sensor data,Fault prediction,Data driven,Not specified,No,2.0,2-s2.0-85123593068,['fault prediction'],['Fault prediction']
Industrial motor drives,Industrial systems,,sensor data,Fault prediction,Rules and/or logic based,"Fault detection logic, control strategies",Yes: Rule-based logic,2.0,2-s2.0-85123356680,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Interpretable machine learning,Feature importance analysis,Yes: feature importance analysis,4.0,2-s2.0-85125367011,['fault prediction'],['Fault prediction']
Industrial systems / Gearboxes / Power transmission,Industrial systems,,sensor data,Fault prediction,Data driven,Not explicitly specified,Yes: rule-based or threshold-based logic,4.0,2-s2.0-85112367390,['fault prediction'],['Fault prediction']
Industrial systems (motors),Industrial systems,,sensor data,Fault prediction,Data driven,"['Deep learning', 'FFT']",No,2.0,2-s2.0-85115155926,['fault prediction'],['Fault prediction']
Industrial maintenance systems,Industrial systems,,sensor data,Fault prediction,Hybrid,Agent-based modeling,Yes: Agent-based modeling,3.0,2-s2.0-85125399889,['fault prediction'],['Fault prediction']
Industrial systems / Sensors and calibration,Industrial systems,,sensor data,Calibration accuracy/uncertainty management,Other,Metrological characterization and statistical analysis,Yes: interpretability through calibration and uncertainty analysis,2.0,2-s2.0-85112114784,['calibration accuracy/uncertainty management'],['Other']
Rotating machinery,Rotating machinery,Rotating machinery / Bearings,"sensor data, time series",Fault prediction,Data driven,"Graph Convolutional Network (GCN), Wavelet packet decomposition",No,2.0,2-s2.0-85123408268,['fault prediction'],['Fault prediction']
Industrial production / general industry,Industrial systems,,sensor data,Remaining Useful Life,Data driven,"['Artificial Neural Networks', 'Support Vector Machine', 'Random Forest']",No,3.0,2-s2.0-85113405311,['remaining useful life'],['Remaining Useful Life']
Industrial equipment / machinery,Industrial systems,,sensor data,Remaining Useful Life,Data driven,Not specified,No,2.0,2-s2.0-85127964593,['remaining useful life'],['Remaining Useful Life']
Industrial assets monitoring,Industrial systems,,"multiple sensor data, multi time series",Fault prediction,Data driven,3D object description methods (adapted for multi-sensor fault detection),No,3.0,2-s2.0-85114555990,['fault prediction'],['Fault prediction']
Industrial pumps / Pump systems,Industrial systems,,sensor data,Fault prediction,Data driven,Reference frame theory,Yes: reference frame theory,4.0,2-s2.0-85123305820,['fault prediction'],['Fault prediction']
Manufacturing systems (wire manufacturing),Manufacturing systems,,"['sensor data', 'time series', 'images']",['Fault prediction'],Data driven,"['Variational Autoencoder', 'Recurrence plots']",Yes: Latent space analysis and Recurrence plots provide interpretability,3.0,2-s2.0-85124593618,['fault prediction'],['Fault prediction']
Garments industry / Fire detection in industrial settings,Industrial systems,,sensor data,Fault prediction,Data driven,,No,2.0,2-s2.0-85115669558,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,structured data,Fault prediction,Hybrid,"['Hybrid Bond Graph (HBG)', 'Directed Behavioral Hypergraph (DBH)']",Yes: Qualitative reasoning and conflict analysis,2.0,2-s2.0-85130525101,['fault prediction'],['Fault prediction']
Manufacturing systems,Manufacturing systems,,"['iot data', 'sensor data']","['Fault prediction', 'Condition monitoring']",Hybrid,AI/ML methods combined with rules/logic,Yes: rules and logic based components,4.0,2-s2.0-85119085044,"['fault prediction', 'condition monitoring']","['Fault prediction', 'Other']"
HVAC,HVAC,,sensor data,Fault prediction,Data driven,Logistic circuits,Yes: Logistic circuits,5.0,2-s2.0-85117398590,['fault prediction'],['Fault prediction']
Industrial control systems,Industrial systems,,"sensor data, time series",['Fault prediction'],Data driven,Multilayer Perceptron (MLP),No,3.0,2-s2.0-85123308353,['fault prediction'],['Fault prediction']
Industrial motors (synchronous motors),Industrial systems,,electrical signals,Fault prediction,Data driven,Not explicitly specified in the abstract,No,4.0,2-s2.0-85123304671,['fault prediction'],['Fault prediction']
Industrial process systems (cement rotary kiln),Industrial systems,,"interval-valued data, sensor data",Fault prediction,Data driven,"Principal Component Analysis (PCA), Hotelling's T², Q statistics","Yes: PCA, Hotelling's T², Q statistics",3.0,2-s2.0-85143824823,['fault prediction'],['Fault prediction']
Electric machines in industrial maintenance,Industrial systems,,"sensor data, real-time data","Fault prediction, Root cause analysis",Data driven,"Artificial intelligence (implied, e.g., pattern recognition, machine learning)",No,3.0,2-s2.0-85125803903,"['fault prediction', ' root cause analysis']","['Fault prediction', 'Root cause analysis']"
Commercial buildings,Commercial buildings,,sensor data,Fault prediction,Data driven,Not specified,No,2.0,2-s2.0-85142361068,['fault prediction'],['Fault prediction']
Industrial systems / Manufacturing equipment,Industrial systems,,self-sensing signals from motor drive system,Fault prediction / Mechanical fault detection and location,Data driven,"Signal analysis / Not specified exactly, likely to involve signal processing and machine learning methods",Yes: interpretable features from self-sensing signals,4.0,2-s2.0-85123400561,['fault prediction / mechanical fault detection and location'],"['Fault prediction', 'Fault detection']"
Industrial systems with a focus on predictive maintenance applications,Industrial systems,,sensor data,['Remaining Useful Life'],Data driven,Not specified explicitly,No,3.0,2-s2.0-85123755597,['remaining useful life'],['Remaining Useful Life']
General industrial systems / control systems,Industrial systems,,sensor data,Fault prediction,Rules and/or logic based,"Interval observers, H-infinity performance analysis",Yes: Rules-based / interval observers,1.0,2-s2.0-85143817218,['fault prediction'],['Fault prediction']
Manufacturing,Manufacturing systems,,sensor data,Remaining Useful Life,Data driven,Big Data analytics frameworks,No,3.0,2-s2.0-85142016509,['remaining useful life'],['Remaining Useful Life']
Additive manufacturing,Manufacturing systems,,sensor data,Error detection,Data driven,Neural networks,No,3.0,2-s2.0-85107536789,['error detection'],['Fault detection']
Manufacturing / Industrial systems,Industrial systems,,"sensor data, time series",Health Key Performance Indicators (HKPIs),Data driven,Not specified explicitly,Yes: Visualization of HKPIs,3.0,2-s2.0-85107576124,['health key performance indicators (hkpis)'],['Other']
Industrial systems (general) or Embedded systems in maintenance,Industrial systems,,sensor data,Remaining Useful Life,Data driven,"['Neural networks', 'Pruning', 'Convolutional Neural Networks', 'Adam optimization']",No,4.0,2-s2.0-85138755922,['remaining useful life'],['Remaining Useful Life']
"Industrial processes / systems (not explicitly specified, but related to fault detection in industrial settings)",Industrial systems,,sensor data,Fault prediction / Fault detection and classification,Rules and/or logic based,Manual specification and rules based control,Yes: Rules and logic,2.0,2-s2.0-85137758421,['fault prediction / fault detection and classification'],"['Fault prediction', 'Fault detection']"
Industrial systems (general),Industrial systems,,"sensor data, time series",Fault prediction,Data driven,Machine learning,No,3.0,2-s2.0-85130164023,['fault prediction'],['Fault prediction']
HVAC,HVAC,,sensor data,Fault prediction,Data driven,"['Decision Tree', 'Random Forest', 'SVM']","Yes: Decision Tree, Random Forest, SVM",4.0,2-s2.0-85134298811,['fault prediction'],['Fault prediction']
Industrial motors / Electrical machinery,Industrial systems,,sensor data,Fault prediction,Data driven,Signal processing,Yes: signal processing,4.0,2-s2.0-85141051150,['fault prediction'],['Fault prediction']
Industrial systems with camera-based monitoring,Industrial systems,,images,Fault prediction,Data driven,"Image metrics, data augmentation",Yes: Histogram skewness and other simple statistics are interpretable features,2.0,2-s2.0-85151618927,['fault prediction'],['Fault prediction']
HVAC,HVAC,,structured data,Fault prediction,Data driven,Unspecified in abstract,No,3.0,2-s2.0-85149146829,['fault prediction'],['Fault prediction']
