Domain,Input,Output,Modeling category,Modeling technique,Explainability,Relevance,EID
Other,"['Images', 'Structured data']",['Fault prediction'],Data driven,"['Image processing', 'Pattern recognition']",Yes: Interpretable image segmentation and pattern analysis,2,2-s2.0-85099457965
Other,Structured data,Fault prediction,Data driven,Machine learning,No,0,2-s2.0-85207091350
Industrial systems (specifically electrical motor bearing systems),"['Sensor data', 'Time series']",['Fault prediction'],Data driven,"['Empirical Mode Decomposition (EMD)', 'Backpropagation Neural Network (BNN)']",No,4,2-s2.0-85127002510
Rolling bearings in industrial machinery,Sensor data,Fault prediction,Data driven,"['CNN', 'ELM']",No,3,2-s2.0-85100878619
Chip manufacturing,"Sensor data, Time series, Images",Fault prediction,Data driven,"Deep transfer learning, SqueezeNet",No,4,2-s2.0-85138828495
Aviation systems,Sensor data,Remaining Useful Life,Data driven,"['LSTM', 'SHAP analysis']",Yes: SHAP analysis,4,2-s2.0-85208650028
Aircraft engines,Sensor data,"['Remaining Useful Life', 'Fault prediction']",Data driven,"['XGBoost', 'LightGBM']",No,2,2-s2.0-85101200797
Industrial systems / Mechanical systems,IoT data,Fault prediction,Data driven,"AutoML, interpretable ML algorithms",Yes: interpretable ML algorithms,3,2-s2.0-85215789664
Industrial systems / Mechanical equipment (Rolling Bearings),"Sensor data, Time series",Fault prediction,Data driven,"Variational Autoencoder (VAE), Generative Adversarial Network (GAN)",No,3,2-s2.0-85219595020
Manufacturing equipment / Moulding machine in beverage industry,Sensor data,Remaining Useful Life,Hybrid,"Event-based genomics, Weibull failure-rate analysis",Yes: Event-based genomics and Weibull analysis,4,2-s2.0-85093976423
Chip manufacturing,Sensor data,Fault prediction,Hybrid,"['Support Vector Machine (SVM)', 'Gravity Search Algorithm (GSA)']",Yes: Support Vector Machine (SVM),4,2-s2.0-85219620460
Structural health monitoring,Sensor data,Fault prediction,Data driven,,No,3,2-s2.0-85202556406
Electric Vehicles / Sustainable Mobility,Sensor data,Fault prediction / Maintenance logs,Data driven,"Blockchain technology, IoT sensors, smart contracts",Yes: Smart contracts and blockchain provide interpretability,3,2-s2.0-105002272464
Industrial systems,Sensor data,Fault prediction,Data driven,Machine learning,No,3,2-s2.0-85205771179
Industrial systems,Sensor data,Fault prediction,Rules and/or logic based,"Interval observers, Linear Matrix Inequalities (LMIs), H∞ and L∞ formalisms",Yes: Interval observers and LMIs are interpretable techniques,3,2-s2.0-85092169576
Motorcycle suspension system,Time series,Fault prediction,Data driven,LSTM,No,1,2-s2.0-85151533490
Water distribution networks,"Sensor data, Time series","Data quality improvement, Predictive maintenance scheduling",Data driven,"['k-Nearest Neighbors', 'MissForest', 'Transformers', 'Recurrent Neural Networks']",No,2,2-s2.0-105007286098
Other,Structured data,Data security metrics / Data integrity,Rules and/or logic based,"Blockchain technology, digital signatures, public-key cryptography",Yes: blockchain and cryptography techniques are inherently interpretable,2,2-s2.0-85215000688
Industrial robots,Sensor data,Fault prediction,Data driven,Machine learning,No,4,2-s2.0-85097712425
Aerospace / Structural health monitoring of CFRP structures,"['Sensor data', 'Time series']",['Fault prediction'],Hybrid,"['NSFD', 'Machine Learning']",Yes: Rules and/or logic based (NSFD) and potentially interpretable aspects of ML,4,2-s2.0-85202635266
Wireless Sensor Networks (WSNs),Sensor data,Energy consumption optimization / Network longevity enhancement,Rules and/or logic based,"Greedy clustering, Distributed clustering",Yes: Rules-based clustering techniques,2,2-s2.0-85186715102
Vehicle systems / Automotive,Sensor data,"Fault prediction, Root cause analysis",Rules and/or logic based,"Sensor fusion, Fault detection and isolation (FDI)",Yes: Rules-based and sensor fusion techniques,2,2-s2.0-85092154880
Chip manufacturing,"Sensor data, Time series",Remaining Useful Life,Data driven,"Maximum likelihood estimation (MLE), Wiener process","Yes: Correlation analysis, degradation signal transformation, Wiener process model",4,2-s2.0-85219592605
Nuclear systems,Time series,Fault prediction,Data driven,"['Recurrent Neural Networks (RNN)', 'Long Short-Term Memory (LSTM)', 'Decision Tree (DT)', 'Extreme Gradient Boosting (XGBoost)']",No,2,2-s2.0-85215773785
Industrial systems,"Sensor data, Time series","Remaining Useful Life, Fault prediction",Data driven,"Random Forest, LSTM, autoencoders","Partially: Random Forest (interpretable), LSTM and autoencoders (less interpretable)",4,2-s2.0-105002704317
Generator systems / Power generation,Sensor data,Fault prediction,Data driven,Pattern recognition,Yes: interpretable features from vibration signals,4,2-s2.0-85096779616
Industrial rotating machinery,Sensor data,Remaining Useful Life,Data driven,"Bayesian nonparametric clustering, State-space models","Yes: Bayesian nonparametric clustering, degradation index, state-space model",4,2-s2.0-85093929778
Photovoltaic (PV) systems,Sensor data,Fault prediction,Data driven,"Multiple non-linear regression, Kalman Filter",Yes: Regression and Kalman Filter are interpretable techniques,2,2-s2.0-85166023186
Pressure vessels / Structural Health Monitoring,"Sensor data, Time series","Fault prediction, Remaining Useful Life",Data driven,Feature extraction and damage indices analysis,Yes: feature-based interpretability,4,2-s2.0-85202602532
Industrial systems,Sensor data,Remaining Useful Life,Data driven,"Various classifiers (e.g., machine learning classifiers)",No,4,2-s2.0-85199443655
Field Service Management,"IoT devices, Data analytics, Sensors, Mobile GIS","Condition monitoring, Asset tracking, Predictive maintenance",Data driven,"Machine learning, Data analytics",No,3,2-s2.0-85211798707
Commercial buildings,Structured data,Fault prediction,Rules and/or logic based,Unknown input observers (UIO),Yes: Rules and/or logic based,4,2-s2.0-85098321344
Rotating machinery health monitoring,Sensor data,Fault prediction,Data driven,Sparse nonnegative Tucker decomposition (sNTD),Yes: Decomposition methods,5,2-s2.0-85202570611
Industrial devices / machinery,Sensor data,Remaining Useful Life,Data driven,Functional principal component analysis (FPCA),Yes: FPCA,4,2-s2.0-85219600038
Other,Images,Fault prediction,Data driven,"Object detection with YOLO, Flicker analysis with HSV color space",Yes: Image analysis and interpretability via visual features,3,2-s2.0-85211777981
Municipal infrastructure / Urban lighting systems,Sensor data,Fault prediction,Data driven,"Fault detection algorithms, IoT-based monitoring",Yes: Rule-based / threshold-based detection,4,2-s2.0-85200654885
Infrastructure,Sensor data,Fault prediction,Data driven,Not specified,Yes: rule-based or interpretability from sensor data analysis,4,2-s2.0-85202624678
Industrial systems involving induction motor drives,Sensor data,Fault prediction,Rules and/or logic based,"Third Difference Operator (TDO), logic circuits, estimation methods",Yes: rules and logic-based methods,2,2-s2.0-85152395184
Healthcare systems (patient monitoring),Sensor data,Fault prediction,Data driven,Anomaly detection algorithm (implied; specific techniques such as statistical methods or machine learning likely used),Yes: Anomaly detection techniques,2,2-s2.0-85104565772
Power electronics / Electrical engineering,Sensor data,Fault prediction,Rules and/or logic based,"Sensor resistances, circuit design principles",Yes: rules-based / circuit analysis,0,2-s2.0-85113415459
Electric vehicles / Electric motors,"Sensor data, Time series",Fault prediction,Data driven,"Transformers, CNNs, FCNs, Inception, ResNet, MLP",No,3,2-s2.0-85205731825
Autonomous Vehicles / Autonomous Driving Systems,"Time series, Images",Anomaly detection,Data driven,"Transformer, Swin-transformer",No,2,2-s2.0-85124149051
Bicycle maintenance or consumer goods (not typically included but related to industrial predictive maintenance),"Sensor data, Sound data","Fault prediction, Chain malfunction identification",Data driven,"Digital signal analysis (implying signal processing techniques), possibly ML if specified",No,2,2-s2.0-85100313287
"Specialized vehicles (e.g., agricultural, construction, municipal vehicles)",Sensor data,Fault prediction,Data driven,Simulation model,Yes: Simulation model,2,2-s2.0-85096654285
Rotary machinery / Mechanical systems,Sensor data,Fault prediction,Data driven,"['RBF', 'MLP', 'FCM']",No,3,2-s2.0-85098332925
Steel mill plant,"['Sensor data', 'Images']",['Fault prediction'],Hybrid,['Image processing'],Yes: Information visualization for human-machine interaction,3,2-s2.0-85088533067
Structural health monitoring (SHM) of engineering structures,['Sensor data'],['Fault prediction'],Data driven,"['Correlation analysis', 'Gaussian process regression']",Yes: correlation analysis and Gaussian process regression,2,2-s2.0-85202616303
Other,['Sensor data'],"['Fault prediction', 'Root cause analysis']",Rules and/or logic based,,Yes: Rules and logic based methods,2,2-s2.0-85099704280
3D printing technology,Sensor data,Fault prediction,Data driven,Predictive maintenance algorithms,No,3,2-s2.0-85215696352
Commercial buildings,"['Sensor data', 'Structured data']","['Fault prediction', 'Root cause analysis']",Data driven,"Threshold-based rules, Sensor-based detection",Yes: Rules-based thresholds and sensor readings,4,2-s2.0-85123941498
Electrical distribution systems,Sensor data,"Loss of Useful Life (Lul), Health Index (HI)",Data driven,Not explicitly specified,Yes: Rule-based or threshold-based assessment,3,2-s2.0-85200754383
Induction motor bearing fault detection (within industrial motors/ machinery),Sensor data,Remaining Useful Life,Hybrid,"['Signal processing', 'Machine learning', 'Digital Twin']","Yes: Digital Twin, signal processing, and rule-based components provide interpretability",4,2-s2.0-105002281893
Structural health monitoring of large-scale infrastructures (steel bridges),Sensor data,Structural damage assessment,Physics based,Reduced-order modeling (SCRBE),Yes: Model-based and component-based approaches,3,2-s2.0-85202601068
Hydrogen pressure vessels / Structural health monitoring,Sensor data,Fault prediction / Damage detection,Data driven,Signal processing methods and machine learning,Yes: Signal processing methods and interpretable aspects of ML,4,2-s2.0-85202635241
Spacecraft systems,Time series,Fault prediction,Data driven,"Bi-LSTM neural networks, Adaptive tracking differentiator (ATD)",No,0,2-s2.0-85205713734
Maritime industry,Sensor data,Fault prediction,Data driven,Machine learning,No,4,2-s2.0-85099649337
Pipe systems,Sensor data,Fault prediction,Hybrid,Data-centric and model-centric methods,Yes: rules and/or logic based,4,2-s2.0-85202643744
Autonomous vehicles,Sensor data,Fault prediction,Data driven,"Kernel PCA, Wavelet analysis",No,3,2-s2.0-85208247342
Storage Battery,Sensor data,Fault prediction,Data driven,Graph Neural Network (GNN),Yes: interpretable weights,4,2-s2.0-85217163254
Sensor networks,Structured data,Fault prediction,Rules and/or logic based,Fault detection logic / architecture,Yes: Rules and logic,2,2-s2.0-85098331923
Aerospace systems (tail rotor joystick bearings),['Sensor data'],['Fault prediction'],Data driven,Not explicitly specified in the abstract,No,2,2-s2.0-85219645681
Vectoring nozzle control systems,"Sensor data, Time series",Fault prediction,Knowledge based,"Bayesian network, Bayesian classifier",Yes: Bayesian network and Bayesian classifier are interpretable techniques,3,2-s2.0-85093976597
Connected and automated vehicles,Sensor data,Fault prediction,Hybrid,"Extended Kalman Filter (EKF), χ2 fault detector",Yes: Rules and logic based,3,2-s2.0-85099546642
Industrial manufacturing / production systems,Structured data,Failure prediction,Data driven,Artificial Neural Network (ANN),No,3,2-s2.0-85087062354
Photovoltaic systems,Sensor data,Fault prediction,Data driven,"['Ensemble learning', 'EWMA chart', 'Kernel density estimation (KDE)']",No,2,2-s2.0-85166019574
Industrial assets,Sensor data,Fault prediction,Data driven,Machine learning microservices,No,4,2-s2.0-85205834093
Vibration sensors / Condition monitoring,Sensor data,Data compression / Data reduction,Data driven,"['K-means clustering', 'Discrete Cosine Transform (DCT)']",Yes: K-means clustering,2,2-s2.0-85100899908
Civil infrastructure,Sensor data,Fault prediction,Data driven,FMCW radar analysis,Yes: Signal amplitude contrasts and depth/geometry detection,3,2-s2.0-85099318437
Home appliances,Sensor data,Remaining Useful Life,Data driven,Machine Learning,No,3,2-s2.0-85214981794
Other,Structured data,Fault prediction,Data driven,Sequential Monte Carlo,No,0,2-s2.0-105002703265
Solar energy systems,"['Sensor data', 'Time series', 'Natural language text', 'Structured data', 'Unstructured data']","['Forecasting', 'System performance enhancements', 'Operational efficiency']",Data driven,"['Artificial Neural Networks (ANNs)', 'Long Short-Term Memory (LSTM)', 'Hybrid AI models']",No,2,2-s2.0-105002704511
Structural health monitoring (SHM) systems for infrastructure,Time series,Fault prediction,Data driven,LSTM (Long Short-Term Memory neural network),No,4,2-s2.0-85202632079
Industrial systems,Sensor data,Remaining Useful Life,Hybrid,"Machine learning, multi-physics simulation",No,4,2-s2.0-85178620665
Manufacturing - Cutting Tools / Machinery,Sensor data,Remaining Useful Life,Data driven,"Decision Trees, Similarity-based models",Yes: Decision Trees,2,2-s2.0-85202516231
Industrial pumps,Electrical signals,Fault prediction,Data driven,Denoising convolutional autoencoder,No,4,2-s2.0-85185567164
Solar energy systems,"Sensor data, Time series",Fault prediction,Data driven,Machine Learning,No,2,2-s2.0-105002271188
Solar energy arrays,Sensor data,Fault prediction,Data driven,Machine Learning,No,3,2-s2.0-85099207183
DC Microgrids,Sensor data,Fault prediction,Rules and/or logic based,"Generalized observer scheme, adaptive high-gain observer theory",Yes: residuals comparison with thresholds,3,2-s2.0-85097558237
"Complex equipment in industrial systems (general), possibly aerospace or navigation systems","['Bus data', 'Communication protocol data', 'Sensor data (implied)']","['Fault prediction', 'Anomaly detection', 'State estimation']",Data driven,['Support Vector Machine'],Yes: Support Vector Machine,3,2-s2.0-85126218488
Electrical machinery and motor systems,Sensor data,Fault prediction,Data driven,DREM (Dynamic Regressor Extension and Mixing),Yes: Linear filters and model parametrization provide interpretability,2,2-s2.0-85113635210
Electric drives / Induction motor systems,Sensor data,Fault prediction,Rules and/or logic based,Fault diagnosis and control reconfiguration algorithms,Yes: rule-based fault detection and diagnosis,3,2-s2.0-85124123405
Motor systems / Rotating machinery,"Sensor data, Time series",Fault prediction,Data driven,Input-output model identification,Yes: Input-output model identification,2,2-s2.0-85103213110
Aero-engine / Aircraft engines,Sensor data,Remaining Useful Life,Deep learning,LSTM,No,4,2-s2.0-85112458863
Industrial systems,Sensor data,Fault prediction,Data driven,"Autoencoder, CNN",No,2,2-s2.0-85124598678
Vibration Data Acquisition System (VDAS) in condition monitoring,"['Sensor data', 'Time series']",['Fault prediction'],Data driven,"['1D Convolutional Neural Network (1DCNN)', 'Bayes algorithm']",Yes: Bayes algorithm,4,2-s2.0-85126898874
Transportation systems (train wheelset datasets),Sensor data,Remaining Useful Life,Data driven,"['BiLSTM', 'Autoencoder', 'Attention mechanism', 'Skip connection']",No,3,2-s2.0-85123420866
Industrial motors / Motor systems,Sensor data,Fault prediction,Data driven,"FFT (Fast Fourier Transform), spectral analysis, normalization, feature extraction",Yes: spectral analysis and feature extraction provide interpretable features,4,2-s2.0-85125337635
Data centers,Sensor data,Fault prediction,Hybrid,"Subspace identification, Model predictive control, State estimator",Yes: Rules and ML,4,2-s2.0-85083431464
PV stations / Solar energy systems,Sensor data,Fault prediction,Data driven,"Gaussian Mixture Model (GMM), Jensen-Shannon divergence",Yes: GMM and divergence are interpretable statistical methods,3,2-s2.0-85101659125
Water infrastructure and management,"['Sensor data', 'Time series', 'Structured data']","['Fault prediction', 'Remaining Useful Life', 'Water quality monitoring', 'Water-related disaster forecasting']",Data driven,['Deep learning'],No,4,2-s2.0-85100347411
Aeroengine / Aircraft systems,['Sensor data'],"['Analytic redundancy of sensors', 'Health parameters']",Data driven,Self-attention mechanism (transformer-based deep neural network),No,3,2-s2.0-85123440067
Electric drives / Motor systems,Sensor data,Fault prediction,Data driven,Current observer,Yes: residual errors analysis,1,2-s2.0-85124690673
Electric power substations,"Unstructured data, Sounds (audio signals)",Fault prediction / Fault location,Data driven,"Maximum Likelihood Estimation, Particle Swarm Optimization","Yes: Statistical analysis, Maximum Likelihood Estimation",3,2-s2.0-85111435426
Other,Structured data,Fault prediction,Knowledge based,Knowledge-based approach,Yes: Knowledge-based approach,0,2-s2.0-85097195102
Industrial machinery / Manufacturing systems,Sensor data,Fault prediction,Data driven,Not specified,No,2,2-s2.0-85088876986
Gas turbines / Power systems,Sensor data,Fault prediction,Data driven,"['Wavelet packet transform (WPT)', 'Moth-flame optimization (MFO)', 'Back propagation neural network (BPNN)']",No,2,2-s2.0-85123715163
Large-scale interconnected systems,Sensor data,Fault prediction,Data driven,Subspace identification,Yes: residual generator and structured models,3,2-s2.0-85126874136
Industrial automation / Manufacturing,Sensor data,None specified,Other,None mentioned,No,0,2-s2.0-85100536371
Industrial automation / Manufacturing systems,Sensor data,Fault prediction,Data driven,Not specified,No,2,2-s2.0-85113414056
Commercial buildings,Sensor data,Fault prediction,Data driven,"['Support Vector Machine', 'Artificial Neural Network']",No,3,2-s2.0-85085925541
Autonomous Vehicles,"['Sensor data', 'Images']",['Fault prediction'],Data driven,Deep Learning,No,2,2-s2.0-85113757898
Satellite engineering,"Sensor data, Historical fault data","Fault prediction, Root cause analysis",Data driven,Intelligent algorithms (unspecified),No,2,2-s2.0-85123452072
Electrical motor systems,Speed signal,Fault prediction,Data driven,FFT analysis,Yes: FFT analysis,3,2-s2.0-85103217275
Electrical transmission systems,Sensor data,Fault prediction,Data driven,IoT-based fault detection,No,2,2-s2.0-85089774744
Energy / Power transmission infrastructure,Sensor data,Fault prediction,Physics informed,"Finite element analysis (FEA), Optical fiber sensing",Yes: physics-based analysis,2,2-s2.0-85123416489
Offshore energy assets,Sensor data,Remaining Useful Life,Data driven,Simulation,No,2,2-s2.0-85101374050
Heavy commercial road vehicles,Sensor data,Fault prediction,Data driven,"['Decision tree', 'Random forest']","Yes: Decision tree, Random forest",3,2-s2.0-85082166858
Gas turbine systems,Sensor data,Fault prediction,Hybrid,"['Classifier', 'Anomaly detection', 'Ensemble modeling']",Yes: rule-based classifier,3,2-s2.0-85099718639
Aerospace systems,Sensor data,Remaining Useful Life,Data driven,Wiener-process-based model,Yes: rule-based setting for thresholds,3,2-s2.0-85123447046
Autonomous vehicles,Structured data,Fault prediction,Knowledge based,Condorcet's jury theorem,Yes: Rule-based or collective decision-making approach,2,2-s2.0-85097196300
Industrial robots,Sensor data,Fault prediction,Data driven,"['Dimension reduction', 'Random Forest', 'SVM', 'XGBoost']",No,2,2-s2.0-85124791311
Robotics / Servo systems,Sensor data,Fault prediction,Data driven,"['Signal processing', 'Artificial intelligence']",No,2,2-s2.0-85096539967
Chip manufacturing,Sensor data,Fault prediction,Data driven,Ensemble learning,No,4,2-s2.0-85096898042
Industrial rotating machinery / Rotor shaft systems,"['Sensor data', 'Time series']",['Fault prediction'],Data driven,,No,3,2-s2.0-85123414882
Battery systems,Sensor data,Fault prediction,Model-based,Observer (control theory),Yes: Residual-based fault detection,3,2-s2.0-85123362279
Industrial facilities and automation systems,Sensor data,Fault prediction,Data driven,Fractional-order chaotic system,No,2,2-s2.0-85126882948
Other,Sensor data,Remaining Useful Life,Data driven,LSTM,No,2,2-s2.0-85113292593
Industrial machinery,Sensor data,Fault prediction,Data driven,Not specified,No,3,2-s2.0-85118437336
Chip manufacturing,Sensor data,Fault prediction,Rules and/or logic based,"['Kalman Filter', 'Gaussian Mixture Model', 'Principal Component Analysis', 'Expectation-Maximization']",Yes: Kalman Filter and GMM are interpretable models,4,2-s2.0-85113416819
Pharmaceutical facilities,Sensor data,Decision making,Data driven,,No,2,2-s2.0-85100564986
Industrial systems / rotating machinery / bearings,Sensor data,Fault prediction,Data driven,"['Random Forest', 'LSTM']",No,4,2-s2.0-85126833978
Wind energy systems,Sensor data,Fault prediction,Hybrid,PI controller simulation,Yes: PI controller logic,3,2-s2.0-85086309661
Electrical Powertrain Systems,Sensor data,Fault prediction,Hybrid,Extended Kalman Filter (EKF),Yes: residual analysis with threshold scheme,3,2-s2.0-85098492447
Aerospace systems (Turbofan engines),Time series,Remaining Useful Life,Data driven,"Transformer, multi-head attention",No,1,2-s2.0-85123201042
Electrical microgrid systems,Sensor data,Fault prediction,Hybrid,"Linear Matrix Inequalities (LMIs), Fuzzy logic (Takagi-Sugeno), State feedback, Observer","Yes: Fuzzy logic, LMIs, and observer-based methods are interpretable techniques",3,2-s2.0-85105015534
Industrial systems,Sensor data,Fault prediction,Data driven,"Domain adaptation, Unsupervised learning",No,2,2-s2.0-85126863502
Industrial systems,"Sensor data, Time series","Remaining Useful Life, Failure prediction",Data driven,GRU-based Deep Networks,No,4,2-s2.0-85115447456
Chip manufacturing,Sensor data,Fault prediction,Hybrid,"Kalman filter, Innovation decomposition",Yes: Residual decomposition and detection statistics are interpretable techniques,2,2-s2.0-85087081747
Other,Structured data,Fault prediction,Data driven,Convergent Cross Mapping,Yes: causal link visualization,3,2-s2.0-85117719822
Microgrid systems,"Sensor data, Spectrum energy features",Fault prediction,Physics informed,"Frequency-domain analysis, Spectrum energy integration",Yes: Spectrum energy integration,4,2-s2.0-85123737477
Meteorological systems,Sensor data,Fault prediction,Rules and/or logic based,Fault detection based on specific sensor fault detection methods (implied rules/logic),Yes: Rules-based fault detection,0,2-s2.0-85126190578
Vulnerable road users classification / Automotive sensing,"Sensor data, Images",Fault prediction,Data driven,"Sensor fusion, Data association, Multi-object tracking",No,2,2-s2.0-85133122798
Industrial sensors,Images,Fault prediction,Data driven,"['CNN', 'Wavelet analysis']",Yes: Wavelet analysis,2,2-s2.0-85125966177
Industrial systems (general industrial maintenance or industry 4.0 applications),Structured data,Fault prediction,Data driven,"['Decision Trees', 'Nearest Neighbors', 'Linear SVM', 'Random Forest', 'AdaBoost', 'Naive Bayes', 'XGBoost']",Yes: Decision Trees,3,2-s2.0-85088870998
Rocket engines / Spacecraft systems,Sensor data,Fault prediction,Hybrid,"['Quantum genetic algorithm', 'BP neural network']",No,0,2-s2.0-85123396011
Photovoltaic (PV) farm / Renewable energy systems,Images,Fault prediction,Data driven,"Thermal imaging analysis, image processing (implied)",Yes: image-based interpretability,3,2-s2.0-85097779426
Industrial systems,Sensor data,Remaining Useful Life,Data driven,"Deep Learning (implied, e.g., neural networks)",Yes: Shapley Additive explanation (SHAP),4,2-s2.0-85123428484
Manufacturing systems,Sensor data,Fault prediction,Hybrid,Petri Nets,Yes: Petri Nets,2,2-s2.0-85114196942
Autonomous vehicles,"['Sensor data', 'Time series']",['Fault prediction'],Rules and/or logic based,"['Linear Quadratic control', 'Hough Transform']",Yes: Rules-based control and image processing techniques,1,2-s2.0-85124880600
Aerospace / Aircraft systems,Sensor data,Fault prediction,Data driven,Multivariate Adaptive Regression Splines (MARS),Yes: Local fault signature matrix,2,2-s2.0-85123827886
Spacecraft systems,High-dimensional sensor data,Fault prediction,Data driven,"['K-Nearest Neighbor (KNN)', 'Bayesian classifier', 'PCA+KNN']",Yes: Bayesian classifier,2,2-s2.0-85126869710
Other,Structured data,Fault prediction,Data driven,,No,0,2-s2.0-85101000964
Industrial systems involving hydraulic actuators,Sensor data,Fault prediction,Hybrid,"['Linear matrix inequality (LMI)', 'Nonlinear unknown input observer (NUIO)', 'Radial basis function neural network (RBFNN)', 'Lyapunov stability analysis']",Yes: Lyapunov stability analysis and observer-based methods provide interpretability,2,2-s2.0-85126246234
Hydrogen sensors,Sensor data,Fault prediction,Data driven,Not explicitly specified in the abstract,No,2,2-s2.0-85125965149
Manufacturing equipment (specifically bearings in mechanical systems),Sensor data,Fault prediction,Data driven,"Variational Mode Decomposition (VMD), Computed Order Tracking (COT), Envelope Spectrum Analysis",Yes: Signal processing methods like VMD and COT are interpretable,3,2-s2.0-85112434220
High Voltage (HV) power plants,Time series,Fault prediction,Data driven,"Capsule Neural Network (CapsNet), Residual Neural Network (ResNet), Constant-Q Transform (CQT)",No,3,2-s2.0-85101302490
Traction drive system in locomotives,Sensor data,Fault prediction,Rules and/or logic based,"Structural analysis, Residual analysis, CUSUM algorithm",Yes: Structural analysis and residual-based methods are inherently interpretable,2,2-s2.0-85101998150
Chemical industrial processes,Structured data,Fault prediction,Rules and/or logic based,Linear matrix inequalities,Yes: rule-based / model-based techniques,2,2-s2.0-85114025699
Microgrids / Distributed Energy Resources,Sensor data,Fault prediction,Data driven,Sliding mode observer (SMO),Yes: Sliding mode observer (SMO),1,2-s2.0-85100979800
Structures/Structural health monitoring,Sensor data,Remaining Useful Life,Data driven,"Not specified explicitly, but likely signal processing and possibly machine learning techniques for fatigue life prediction",No,3,2-s2.0-85088871354
Structural health monitoring / Engineering systems,"Sensor data, Time series",Remaining Useful Life,Hybrid,"Dynamic Bayesian Network, Particle filter algorithm",Yes: Bayesian Network,3,2-s2.0-85126242285
Chip manufacturing,Structured data,Fault prediction,Data driven,"Normalization, cross-correlation",Yes: normalization and cross-correlation are interpretable techniques,4,2-s2.0-85123446701
Electrical power distribution systems,Sensor data,Fault prediction,Data driven,Magnetic field analysis,Yes: Geometric Distribution Analysis,3,2-s2.0-85101033016
Motor systems / Electrical machinery,Structured data,Remaining Useful Life,Hybrid,"Physics based, Machine learning algorithms",Yes: emulator-based and sensitivity analysis,3,2-s2.0-85092192539
