Domain,Domain category,Domain subcategory,Input,Output,Modeling category,Modeling technique,Explainability,Relevance,EID
Power systems / Electric power cables,Power systems,,simulation data,Fault detection and localization,Physics based,ATP-EMTP simulation,Yes: physics-based simulation and propagation analysis,2.0,2-s2.0-85087501853
Industrial assets / Structural health monitoring,Industrial systems,,sensor data,Asset health monitoring,Data driven,Not specified,No,2.0,2-s2.0-85219629578
Manufacturing production lines,Manufacturing systems,,sensor data,Fault prediction,Data driven,"['Random Forest', 'XGBoost']",No,4.0,2-s2.0-105002705678
"Industrial liquids and process control systems (e.g., Tank systems, liquid-level control in food industries, petrochemicals)",Industrial systems,liquids,structured data,Fault prediction,Rules and/or logic based,"['Unknown input observer (UIO)', 'Parity methods', 'Factorization methods']",Yes: thresholding residuals and model-based detection methods are interpretable,2.0,2-s2.0-85185563016
Sports facilities (cricket stadiums),Sport,,sensor data,Ground condition prediction,Data driven,Machine learning,No,2.0,2-s2.0-85174247217
Power semiconductor manufacturing,Chip manufacturing,,"sensor data, time series",Fault prediction,Physics informed,"Thermal simulation, Data analysis",Yes: physics-based simulation and rule-based interpretation,3.0,2-s2.0-85106421439
Oil drilling equipment,Oil and gas industry,Oil and Gas,structured data,Fault prediction,Data driven,Attention-Based Compressed Relational Graph Convolutional Network,Yes: graph structure-based algorithm and link prediction provide interpretability,3.0,2-s2.0-85143086436
Aerospace,Aicraft / Aviation / Aerospace,,sensor data,Remaining Useful Life,Data driven,"['Principal Component Analysis (PCA)', 'Relevance Vector Machine (RVM)']",No,4.0,2-s2.0-85143084533
Photovoltaic (PV) systems,Energy systems (not HVAC),solar,sensor data,Fault prediction,Data driven,"RNN, Transformer",No,2.0,2-s2.0-85215006568
Manufacturing systems,Manufacturing systems,,"sensor data, time series",Predictive maintenance (equipment problems),Data driven,"Machine learning (classification, regression, time series forecasting)",No,4.0,2-s2.0-105002704574
Geological CO2 storage sites,other,,sensor data,Seismic activity baseline and seismicity changes,Data driven,"Seismic array analysis, signal processing techniques",Yes: Interpretable signal processing and array analysis methods,1.0,2-s2.0-85181399410
Aerospace,Aicraft / Aviation / Aerospace,,sensor data,Remaining Useful Life,Data driven,LSTM,No,4.0,2-s2.0-85099702223
Aero-engine systems,Aicraft / Aviation / Aerospace,,sensor data,Remaining Useful Life,Data driven,Multi-scale spatio-temporal attention mechanism,No,4.0,2-s2.0-85205679906
Sensor systems,Sensor networks,,sensor data,Fault prediction,Rules and/or logic based,Discrete Fourier Transform (DFT),Yes: Spectral analysis / Fourier-based technique,1.0,2-s2.0-85151531969
Industrial machinery / manufacturing,Industrial systems,,sensor data,Fault prediction,Data driven,Artificial Intelligence-powered analytics,No,3.0,2-s2.0-85186663506
Industrial processes,Industrial systems,,sensor data,Quality variable prediction,Knowledge based,Graph convolutional network (GCN),Yes: interpretability through prior graphs,3.0,2-s2.0-85205695140
Other,Other,,"images, structured data",['Fault prediction'],Data driven,"['Image processing', 'Pattern recognition']",Yes: Interpretable image segmentation and pattern analysis,2.0,2-s2.0-85099457965
Other,Other,,structured data,Fault prediction,Data driven,Machine learning,No,0.0,2-s2.0-85207091350
Industrial systems (specifically electrical motor bearing systems),Industrial systems,Rotating machinery / Bearings,"sensor data, time series",['Fault prediction'],Data driven,"['Empirical Mode Decomposition (EMD)', 'Backpropagation Neural Network (BNN)']",No,4.0,2-s2.0-85127002510
Hydraulic and lubricating oil systems,Hydraulic systems,,sensor data,Fault prediction,Data driven,"['CNN', 'ELM']",No,3.0,2-s2.0-85100878619
Chip manufacturing,Chip manufacturing,,"sensor data, time series, images",Fault prediction,Data driven,"Deep transfer learning, SqueezeNet",No,4.0,2-s2.0-85138828495
Aviation systems,Aicraft / Aviation / Aerospace,,sensor data,Remaining Useful Life,Data driven,"['LSTM', 'SHAP analysis']",Yes: SHAP analysis,4.0,2-s2.0-85208650028
Aircraft engines,Aicraft / Aviation / Aerospace,,sensor data,"['Remaining Useful Life', 'Fault prediction']",Data driven,"['XGBoost', 'LightGBM']",No,2.0,2-s2.0-85101200797
Industrial machinery,Industrial systems,,iot data,Fault prediction,Data driven,"AutoML, interpretable ML algorithms",Yes: interpretable ML algorithms,3.0,2-s2.0-85215789664
Industrial systems / Mechanical equipment (Rolling Bearings),Industrial systems,Rotating machinery / Bearings,"sensor data, time series",Fault prediction,Data driven,"Variational Autoencoder (VAE), Generative Adversarial Network (GAN)",No,3.0,2-s2.0-85219595020
Manufacturing equipment / Moulding machine in beverage industry,Manufacturing systems,,sensor data,Remaining Useful Life,Hybrid,"Event-based genomics, Weibull failure-rate analysis",Yes: Event-based genomics and Weibull analysis,4.0,2-s2.0-85093976423
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Hybrid,"['Support Vector Machine (SVM)', 'Gravity Search Algorithm (GSA)']",Yes: Support Vector Machine (SVM),4.0,2-s2.0-85219620460
Structural health monitoring,Structural health monitoring,,sensor data,Fault prediction,Data driven,,No,3.0,2-s2.0-85202556406
Electric Vehicles / Sustainable Mobility,Transportation systems,Vehicles,sensor data,Fault prediction / Maintenance logs,Data driven,"Blockchain technology, IoT sensors, smart contracts",Yes: Smart contracts and blockchain provide interpretability,3.0,2-s2.0-105002272464
Industrial systems,Industrial systems,,sensor data,Fault prediction,Data driven,Machine learning,No,3.0,2-s2.0-85205771179
Industrial systems,Industrial systems,,sensor data,Fault prediction,Rules and/or logic based,"Interval observers, Linear Matrix Inequalities (LMIs), H∞ and L∞ formalisms",Yes: Interval observers and LMIs are interpretable techniques,3.0,2-s2.0-85092169576
Motorcycle suspension system,Transportation systems,Motorcycle,time series,Fault prediction,Data driven,LSTM,No,1.0,2-s2.0-85151533490
Water distribution networks,Water infrastructure,,"sensor data, time series","Data quality improvement, Predictive maintenance scheduling",Data driven,"['k-Nearest Neighbors', 'MissForest', 'Transformers', 'Recurrent Neural Networks']",No,2.0,2-s2.0-105007286098
Other,Other,,structured data,Data security metrics / Data integrity,Rules and/or logic based,"Blockchain technology, digital signatures, public-key cryptography",Yes: blockchain and cryptography techniques are inherently interpretable,2.0,2-s2.0-85215000688
Industrial robots,Robotics,robots,sensor data,Fault prediction,Data driven,Machine learning,No,4.0,2-s2.0-85097712425
Aerospace / Structural health monitoring of CFRP structures,Aicraft / Aviation / Aerospace,,"sensor data, time series",['Fault prediction'],Hybrid,"['NSFD', 'Machine Learning']",Yes: Rules and/or logic based (NSFD) and potentially interpretable aspects of ML,4.0,2-s2.0-85202635266
Wireless Sensor Networks (WSN),Sensor networks,,sensor data,Energy consumption optimization / Network longevity enhancement,Rules and/or logic based,"Greedy clustering, Distributed clustering",Yes: Rules-based clustering techniques,2.0,2-s2.0-85186715102
Vehicle systems / Automotive systems,Transportation systems,Vehicles,sensor data,"Fault prediction, Root cause analysis",Rules and/or logic based,"Sensor fusion, Fault detection and isolation (FDI)",Yes: Rules-based and sensor fusion techniques,2.0,2-s2.0-85092154880
Chip manufacturing,Chip manufacturing,,"sensor data, time series",Remaining Useful Life,Data driven,"Maximum likelihood estimation (MLE), Wiener process","Yes: Correlation analysis, degradation signal transformation, Wiener process model",4.0,2-s2.0-85219592605
Nuclear systems,Power systems,nuclear,time series,Fault prediction,Data driven,"['Recurrent Neural Networks (RNN)', 'Long Short-Term Memory (LSTM)', 'Decision Tree (DT)', 'Extreme Gradient Boosting (XGBoost)']",No,2.0,2-s2.0-85215773785
Industrial systems,Industrial systems,,"sensor data, time series","Remaining Useful Life, Fault prediction",Data driven,"Random Forest, LSTM, autoencoders","Partially: Random Forest (interpretable), LSTM and autoencoders (less interpretable)",4.0,2-s2.0-105002704317
Generator systems / Power generation,Power systems,,sensor data,Fault prediction,Data driven,Pattern recognition,Yes: interpretable features from vibration signals,4.0,2-s2.0-85096779616
Mechanical systems / Rotating machinery,Mechanical systems,Rotating machinery / Bearings,sensor data,Remaining Useful Life,Data driven,"Bayesian nonparametric clustering, State-space models","Yes: Bayesian nonparametric clustering, degradation index, state-space model",4.0,2-s2.0-85093929778
Photovoltaic (PV) systems,Energy systems (not HVAC),solar,sensor data,Fault prediction,Data driven,"Multiple non-linear regression, Kalman Filter",Yes: Regression and Kalman Filter are interpretable techniques,2.0,2-s2.0-85166023186
Pressure vessels / Structural Health Monitoring,Structural health monitoring,,"sensor data, time series","Fault prediction, Remaining Useful Life",Data driven,Feature extraction and damage indices analysis,Yes: feature-based interpretability,4.0,2-s2.0-85202602532
Industrial systems,Industrial systems,,sensor data,Remaining Useful Life,Data driven,"Various classifiers (e.g., machine learning classifiers)",No,4.0,2-s2.0-85199443655
Field Service Management,other,,"iot devices, data analytics, sensors, mobile gis","Condition monitoring, Asset tracking, Predictive maintenance",Data driven,"Machine learning, Data analytics",No,3.0,2-s2.0-85211798707
Commercial buildings,Commercial buildings,,structured data,Fault prediction,Rules and/or logic based,Unknown input observers (UIO),Yes: Rules and/or logic based,4.0,2-s2.0-85098321344
Rotating machinery health monitoring,Rotating machinery,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,Sparse nonnegative Tucker decomposition (sNTD),Yes: Decomposition methods,5.0,2-s2.0-85202570611
Industrial devices / machinery,Industrial systems,,sensor data,Remaining Useful Life,Data driven,Functional principal component analysis (FPCA),Yes: FPCA,4.0,2-s2.0-85219600038
Other,Other,,images,Fault prediction,Data driven,"Object detection with YOLO, Flicker analysis with HSV color space",Yes: Image analysis and interpretability via visual features,3.0,2-s2.0-85211777981
Municipal infrastructure / Urban lighting systems,Civil infrastructure,,sensor data,Fault prediction,Data driven,"Fault detection algorithms, IoT-based monitoring",Yes: Rule-based / threshold-based detection,4.0,2-s2.0-85200654885
Infrastructure,Other,,sensor data,Fault prediction,Data driven,Not specified,Yes: rule-based or interpretability from sensor data analysis,4.0,2-s2.0-85202624678
Industrial systems involving induction motor drives,Industrial systems,,sensor data,Fault prediction,Rules and/or logic based,"Third Difference Operator (TDO), logic circuits, estimation methods",Yes: rules and logic-based methods,2.0,2-s2.0-85152395184
Healthcare systems (patient monitoring),Healthcare,,sensor data,Fault prediction,Data driven,Anomaly detection algorithm (implied; specific techniques such as statistical methods or machine learning likely used),Yes: Anomaly detection techniques,2.0,2-s2.0-85104565772
Power electronics / Electrical engineering,Power systems,,sensor data,Fault prediction,Rules and/or logic based,"Sensor resistances, circuit design principles",Yes: rules-based / circuit analysis,0.0,2-s2.0-85113415459
Electric vehicles / Electric motors,Transportation systems,Vehicles,"sensor data, time series",Fault prediction,Data driven,"Transformers, CNNs, FCNs, Inception, ResNet, MLP",No,3.0,2-s2.0-85205731825
Autonomous Vehicles / Autonomous Driving Systems,Transportation systems,Vehicles,"time series, images",Anomaly detection,Data driven,"Transformer, Swin-transformer",No,2.0,2-s2.0-85124149051
Bicycle maintenance or consumer goods (not typically included but related to industrial predictive maintenance),Industrial systems,bicycle,"sensor data, sound data","Fault prediction, Chain malfunction identification",Data driven,"Digital signal analysis (implying signal processing techniques), possibly ML if specified",No,2.0,2-s2.0-85100313287
"Specialized vehicles (e.g., agricultural, construction, municipal vehicles)",Transportation systems,Vehicles,sensor data,Fault prediction,Data driven,Simulation model,Yes: Simulation model,2.0,2-s2.0-85096654285
Rotary machinery / Mechanical systems,Mechanical systems,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,"['RBF', 'MLP', 'FCM']",No,3.0,2-s2.0-85098332925
Steel mill plant,Factory,,"sensor data, images",['Fault prediction'],Hybrid,['Image processing'],Yes: Information visualization for human-machine interaction,3.0,2-s2.0-85088533067
Structural health monitoring (SHM) of engineering structures,Structural health monitoring,,sensor data,['Fault prediction'],Data driven,"['Correlation analysis', 'Gaussian process regression']",Yes: correlation analysis and Gaussian process regression,2.0,2-s2.0-85202616303
Other,Other,,sensor data,"['Fault prediction', 'Root cause analysis']",Rules and/or logic based,,Yes: Rules and logic based methods,2.0,2-s2.0-85099704280
3D printing technology,3D printing,,sensor data,Fault prediction,Data driven,Predictive maintenance algorithms,No,3.0,2-s2.0-85215696352
Commercial buildings,Commercial buildings,,"sensor data, structured data","['Fault prediction', 'Root cause analysis']",Data driven,"Threshold-based rules, Sensor-based detection",Yes: Rules-based thresholds and sensor readings,4.0,2-s2.0-85123941498
Electrical distribution systems,Electrical systems,,sensor data,"Loss of Useful Life (Lul), Health Index (HI)",Data driven,Not explicitly specified,Yes: Rule-based or threshold-based assessment,3.0,2-s2.0-85200754383
Induction motor bearing fault detection (within industrial motors/ machinery),Industrial systems,Rotating machinery / Bearings,sensor data,Remaining Useful Life,Hybrid,"['Signal processing', 'Machine learning', 'Digital Twin']","Yes: Digital Twin, signal processing, and rule-based components provide interpretability",4.0,2-s2.0-105002281893
Structural health monitoring of large-scale infrastructures (steel bridges),Civil infrastructure,Bridges,sensor data,Structural damage assessment,Physics based,Reduced-order modeling (SCRBE),Yes: Model-based and component-based approaches,3.0,2-s2.0-85202601068
Hydrogen pressure vessels / Structural health monitoring,Structural health monitoring,,sensor data,Fault prediction / Damage detection,Data driven,Signal processing methods and machine learning,Yes: Signal processing methods and interpretable aspects of ML,4.0,2-s2.0-85202635241
Spacecraft systems,Aicraft / Aviation / Aerospace,,time series,Fault prediction,Data driven,"Bi-LSTM neural networks, Adaptive tracking differentiator (ATD)",No,0.0,2-s2.0-85205713734
Maritime industry,Marine,marine,sensor data,Fault prediction,Data driven,Machine learning,No,4.0,2-s2.0-85099649337
Pipe systems,other,,sensor data,Fault prediction,Hybrid,Data-centric and model-centric methods,Yes: rules and/or logic based,4.0,2-s2.0-85202643744
Autonomous vehicles,Transportation systems,Vehicles,sensor data,Fault prediction,Data driven,"Kernel PCA, Wavelet analysis",No,3.0,2-s2.0-85208247342
Storage Battery,Energy systems (not HVAC),Battery,sensor data,Fault prediction,Data driven,Graph Neural Network (GNN),Yes: interpretable weights,4.0,2-s2.0-85217163254
Sensor networks,Sensor networks,,structured data,Fault prediction,Rules and/or logic based,Fault detection logic / architecture,Yes: Rules and logic,2.0,2-s2.0-85098331923
Aerospace systems (tail rotor joystick bearings),Aicraft / Aviation / Aerospace,,sensor data,['Fault prediction'],Data driven,Not explicitly specified in the abstract,No,2.0,2-s2.0-85219645681
Vectoring nozzle control systems,other,,"sensor data, time series",Fault prediction,Knowledge based,"Bayesian network, Bayesian classifier",Yes: Bayesian network and Bayesian classifier are interpretable techniques,3.0,2-s2.0-85093976597
Connected and automated vehicles,Transportation systems,Vehicles,sensor data,Fault prediction,Hybrid,"Extended Kalman Filter (EKF), χ2 fault detector",Yes: Rules and logic based,3.0,2-s2.0-85099546642
Industrial manufacturing / production systems,Industrial systems,,structured data,Failure prediction,Data driven,Artificial Neural Network (ANN),No,3.0,2-s2.0-85087062354
Photovoltaic systems,Energy systems (not HVAC),solar,sensor data,Fault prediction,Data driven,"['Ensemble learning', 'EWMA chart', 'Kernel density estimation (KDE)']",No,2.0,2-s2.0-85166019574
Industrial assets,Industrial systems,,sensor data,Fault prediction,Data driven,Machine learning microservices,No,4.0,2-s2.0-85205834093
Vibration sensors / Condition monitoring,Vibration sensors / Condition monitoring,,sensor data,Data compression / Data reduction,Data driven,"['K-means clustering', 'Discrete Cosine Transform (DCT)']",Yes: K-means clustering,2.0,2-s2.0-85100899908
Civil infrastructure,Civil infrastructure,Civil infrastructure,sensor data,Fault prediction,Data driven,FMCW radar analysis,Yes: Signal amplitude contrasts and depth/geometry detection,3.0,2-s2.0-85099318437
Home appliances,other,,sensor data,Remaining Useful Life,Data driven,Machine Learning,No,3.0,2-s2.0-85214981794
Other,Other,,structured data,Fault prediction,Data driven,Sequential Monte Carlo,No,0.0,2-s2.0-105002703265
Solar energy systems,Energy systems (not HVAC),solar,"['sensor data', 'time series', 'natural language text', 'structured data', 'unstructured data']","['Forecasting', 'System performance enhancements', 'Operational efficiency']",Data driven,"['Artificial Neural Networks (ANNs)', 'Long Short-Term Memory (LSTM)', 'Hybrid AI models']",No,2.0,2-s2.0-105002704511
Structural health monitoring (SHM) systems for infrastructure,Structural health monitoring,,time series,Fault prediction,Data driven,LSTM (Long Short-Term Memory neural network),No,4.0,2-s2.0-85202632079
Industrial systems,Industrial systems,,sensor data,Remaining Useful Life,Hybrid,"Machine learning, multi-physics simulation",No,4.0,2-s2.0-85178620665
Manufacturing - Cutting Tools / Machinery,Manufacturing systems,,sensor data,Remaining Useful Life,Data driven,"Decision Trees, Similarity-based models",Yes: Decision Trees,2.0,2-s2.0-85202516231
Industrial pumps,Industrial systems,,electrical signals,Fault prediction,Data driven,Denoising convolutional autoencoder,No,4.0,2-s2.0-85185567164
Solar energy systems,Energy systems (not HVAC),solar,"sensor data, time series",Fault prediction,Data driven,Machine Learning,No,2.0,2-s2.0-105002271188
Solar energy arrays,Energy systems (not HVAC),solar,sensor data,Fault prediction,Data driven,Machine Learning,No,3.0,2-s2.0-85099207183
DC microgrids,other,,sensor data,Fault prediction,Rules and/or logic based,"Generalized observer scheme, adaptive high-gain observer theory",Yes: residuals comparison with thresholds,3.0,2-s2.0-85097558237
"Complex equipment in industrial systems (general), possibly aerospace or navigation systems",Industrial systems,,"['bus data', 'communication protocol data', 'sensor data (implied)']","['Fault prediction', 'Anomaly detection', 'State estimation']",Data driven,['Support Vector Machine'],Yes: Support Vector Machine,3.0,2-s2.0-85126218488
Electrical machinery and motor systems,Electrical systems,,sensor data,Fault prediction,Data driven,DREM (Dynamic Regressor Extension and Mixing),Yes: Linear filters and model parametrization provide interpretability,2.0,2-s2.0-85113635210
Electric drives / Induction motor systems,Electrical systems,,sensor data,Fault prediction,Rules and/or logic based,Fault diagnosis and control reconfiguration algorithms,Yes: rule-based fault detection and diagnosis,3.0,2-s2.0-85124123405
Motor systems / Rotating machinery,Rotating machinery,Rotating machinery / Bearings,"sensor data, time series",Fault prediction,Data driven,Input-output model identification,Yes: Input-output model identification,2.0,2-s2.0-85103213110
Aero-engine / Aircraft engines,Aicraft / Aviation / Aerospace,,sensor data,Remaining Useful Life,Deep learning,LSTM,No,4.0,2-s2.0-85112458863
Industrial systems,Industrial systems,,sensor data,Fault prediction,Data driven,"Autoencoder, CNN",No,2.0,2-s2.0-85124598678
Vibration Data Acquisition System (VDAS) in condition monitoring,Rotating machinery,,"sensor data, time series",['Fault prediction'],Data driven,"['1D Convolutional Neural Network (1DCNN)', 'Bayes algorithm']",Yes: Bayes algorithm,4.0,2-s2.0-85126898874
Transportation systems (train wheelset datasets),Transportation systems,,sensor data,Remaining Useful Life,Data driven,"['BiLSTM', 'Autoencoder', 'Attention mechanism', 'Skip connection']",No,3.0,2-s2.0-85123420866
Industrial motors / Motor systems,Industrial systems,,sensor data,Fault prediction,Data driven,"FFT (Fast Fourier Transform), spectral analysis, normalization, feature extraction",Yes: spectral analysis and feature extraction provide interpretable features,4.0,2-s2.0-85125337635
Data centers,Data center,,sensor data,Fault prediction,Hybrid,"Subspace identification, Model predictive control, State estimator",Yes: Rules and ML,4.0,2-s2.0-85083431464
PV stations / Solar energy systems,Energy systems (not HVAC),solar,sensor data,Fault prediction,Data driven,"Gaussian Mixture Model (GMM), Jensen-Shannon divergence",Yes: GMM and divergence are interpretable statistical methods,3.0,2-s2.0-85101659125
Water infrastructure and management,Water infrastructure,,"['sensor data', 'time series', 'structured data']","['Fault prediction', 'Remaining Useful Life', 'Water quality monitoring', 'Water-related disaster forecasting']",Data driven,['Deep learning'],No,4.0,2-s2.0-85100347411
Aerospace,Aicraft / Aviation / Aerospace,,sensor data,"['Analytic redundancy of sensors', 'Health parameters']",Data driven,Self-attention mechanism (transformer-based deep neural network),No,3.0,2-s2.0-85123440067
Electric drives / Motor systems,Electrical systems,,sensor data,Fault prediction,Data driven,Current observer,Yes: residual errors analysis,1.0,2-s2.0-85124690673
Electric power substations,Power systems,,"unstructured data, sounds (audio signals)",Fault prediction / Fault location,Data driven,"Maximum Likelihood Estimation, Particle Swarm Optimization","Yes: Statistical analysis, Maximum Likelihood Estimation",3.0,2-s2.0-85111435426
Other,Other,,structured data,Fault prediction,Knowledge based,Knowledge-based approach,Yes: Knowledge-based approach,0.0,2-s2.0-85097195102
Industrial equipment / Manufacturing,Industrial systems,,sensor data,Fault prediction,Data driven,Not specified,No,2.0,2-s2.0-85088876986
Gas turbines / Power systems,Power systems,,sensor data,Fault prediction,Data driven,"['Wavelet packet transform (WPT)', 'Moth-flame optimization (MFO)', 'Back propagation neural network (BPNN)']",No,2.0,2-s2.0-85123715163
Large-scale interconnected systems,other,,sensor data,Fault prediction,Data driven,Subspace identification,Yes: residual generator and structured models,3.0,2-s2.0-85126874136
Industrial automation / Manufacturing,Industrial systems,,sensor data,None specified,Other,None mentioned,No,0.0,2-s2.0-85100536371
Industrial automation / Manufacturing systems,Industrial systems,,sensor data,Fault prediction,Data driven,Not specified,No,2.0,2-s2.0-85113414056
Commercial buildings,Commercial buildings,,sensor data,Fault prediction,Data driven,"['Support Vector Machine', 'Artificial Neural Network']",No,3.0,2-s2.0-85085925541
Autonomous vehicles,Transportation systems,Vehicles,"sensor data, images",['Fault prediction'],Data driven,Deep Learning,No,2.0,2-s2.0-85113757898
Satellite engineering,other,Satellite systems,"sensor data, historical fault data","Fault prediction, Root cause analysis",Data driven,Intelligent algorithms (unspecified),No,2.0,2-s2.0-85123452072
Electrical Motor Systems,Electrical systems,,speed signal,Fault prediction,Data driven,FFT analysis,Yes: FFT analysis,3.0,2-s2.0-85103217275
Electrical transmission systems,Electrical systems,,sensor data,Fault prediction,Data driven,IoT-based fault detection,No,2.0,2-s2.0-85089774744
Energy / Power transmission infrastructure,Energy systems (not HVAC),,sensor data,Fault prediction,Physics informed,"Finite element analysis (FEA), Optical fiber sensing",Yes: physics-based analysis,2.0,2-s2.0-85123416489
Offshore energy assets,Energy systems (not HVAC),,sensor data,Remaining Useful Life,Data driven,Simulation,No,2.0,2-s2.0-85101374050
Heavy commercial road vehicles,Transportation systems,Vehicles,sensor data,Fault prediction,Data driven,"['Decision tree', 'Random forest']","Yes: Decision tree, Random forest",3.0,2-s2.0-85082166858
Gas turbine systems,Gas,,sensor data,Fault prediction,Hybrid,"['Classifier', 'Anomaly detection', 'Ensemble modeling']",Yes: rule-based classifier,3.0,2-s2.0-85099718639
Aerospace systems,Aicraft / Aviation / Aerospace,,sensor data,Remaining Useful Life,Data driven,Wiener-process-based model,Yes: rule-based setting for thresholds,3.0,2-s2.0-85123447046
Autonomous vehicles,Transportation systems,Vehicles,structured data,Fault prediction,Knowledge based,Condorcet's jury theorem,Yes: Rule-based or collective decision-making approach,2.0,2-s2.0-85097196300
Industrial robots,Robotics,robots,sensor data,Fault prediction,Data driven,"['Dimension reduction', 'Random Forest', 'SVM', 'XGBoost']",No,2.0,2-s2.0-85124791311
Robotics / Servo systems,Robotics,robots,sensor data,Fault prediction,Data driven,"['Signal processing', 'Artificial intelligence']",No,2.0,2-s2.0-85096539967
