Domain,Input,Output,Modeling category,Modeling technique,Explainability,Relevance,EID
Battery systems / Energy storage,Sensor data,Fault prediction,Data driven,Capacitance measurement analysis,Yes: Interpretable signal response to compression load,4,2-s2.0-85173802557
Automotive systems,Sensor data,Fault prediction,Data driven,None specified,Yes: Error and waveform comparison,2,2-s2.0-85165034119
Industrial systems,Sensor data,Fault prediction,Data driven,,No,3,2-s2.0-85153357197
Warehouse systems,Sensor data,Fault prediction,Data driven,['K Nearest Neighbours (KNN)'],Yes: straightforward algorithm,2,2-s2.0-85126394392
Other,Sensor data,Fault prediction,Data driven,"['1D CNN', 'UMAP']",No,2,2-s2.0-85194837891
Other,Sensor data,Not explicitly specified,Other,Not specified,No,0,2-s2.0-85201178612
Other,Sensor data,Action recognition and scoring,Data driven,"['Contrastive learning', 'TimeMixer', 'Cross Attention']",No,0,2-s2.0-85213815354
Telecommunications infrastructure (specifically FTTH network monitoring),Sensor data,Fault prediction,Data driven,"Optical time domain reflectometry (OTDR), FBG sensing",Yes: Interpretable optical sensing signals,2,2-s2.0-105007861130
Other,['Sensor data'],['Fault prediction'],Data driven,,No,1,2-s2.0-85149777772
Photovoltaic systems,Sensor data,Fault prediction,Analytical analysis,Band pass filters,Yes: Analytical analysis,3,2-s2.0-85103061814
Industrial conveyor systems,Sensor data,Fault prediction,Data driven,"Multi-sensor data fusion, machine vision, sensor-specific algorithms",No,3,2-s2.0-85218357984
Mechanical systems / Rotating machinery (bearing systems),Sensor data,Fault prediction,Data driven,"['Gramian multi-resolution dynamic mode decomposition (GMrDMD)', 'Convolutional Neural Network (CNN)']",No,3,2-s2.0-85160011517
Home automation / Electrical systems,Sensor data,Fault prediction,Rules and/or logic based,Rules-based / threshold-based detection,Yes: Rules-based detection,2,2-s2.0-85200724818
Oil well operation,"Sensor data, Time series",Event classification,Data driven,"Decision tree, Random forest","Yes: Decision tree, Random forest",4,2-s2.0-85111364696
Industrial motors,Sensor data,Fault prediction,Data driven,k-NN,Yes: k-NN,1,2-s2.0-85189754172
Industrial systems,Sensor data,Fault prediction,Data driven,Neural networks,No,2,2-s2.0-85099301391
Electrical drives / Motors,['Sensor data'],['Fault prediction'],Data driven,"['Extended Kalman Filter (EKF)', 'Fuzzy Logic Controller (FLC)']",Yes: Fuzzy Logic Controller (FLC),2,2-s2.0-85103019921
Petrochemical industry,Fiber-optic sensor data,Sealing performance estimation,Physics based,Fiber Bragg grating sensing and stress estimation,Yes: physical transfer functions,3,2-s2.0-85163037236
Power electronics / Semiconductor devices,Magnetic field detection data,Fault prediction / Health status monitoring,Data driven,Not explicitly specified in the abstract,No,0,2-s2.0-85097540349
Industrial automation / Manufacturing equipment,Sensor data,Fault prediction / Sensor status detection,Rules and/or logic based,Self-diagnostic algorithms,Yes: Rules-based / Diagnostic algorithms,3,2-s2.0-85188322974
Autonomous systems controlled by AI,Sensor data,Fault prediction,Data driven,"Sensor fingerprinting, database comparison",Yes: Sensor fingerprinting and accuracy verification,3,2-s2.0-85197521607
"Industrial assets (general), potentially applicable to industrial facilities",Sensor data,Remaining Useful Life,Hybrid,"Physics based, Data driven","Yes: Physics based, Rules",4,2-s2.0-85163957060
Water quality assessment,Sensor data,Fault prediction,Data driven,"['Self-Organizing Features Maps (SFOM)', 'Hierarchical Clustering (HC)']",Yes: Self-Organizing Features Maps (SFOM) and Hierarchical Clustering (HC) are interpretable techniques,1,2-s2.0-85154564618
Wind turbine systems,"Sensor data, Time series, Images",Fault prediction,Data driven,"CNN, Attention mechanism",No,4,2-s2.0-105009403924
Other,Sensor data,Fault prediction,Rules and/or logic based,"Observers (Luenberger Observer, Unknown Input Observer)",Yes: Residual analysis and fault localization,2,2-s2.0-85164256829
Embedded applications,"Data (CNNs, atomic operations, input sizes, CNN designs)",Fault prediction,Data driven,,No,2,2-s2.0-85130837047
Electro-hydraulic actuators / EHA systems,"Sensor data, Time series",Fault prediction,Hybrid,"CWT, CNN, Transformer",No,4,2-s2.0-85207051530
Complex systems in industrial settings,Sensor data,Remaining Useful Life,Probabilistic models,"['Discrete Time Markov Chain', 'Bayesian Network']",Yes: Bayesian Network,4,2-s2.0-85084057304
Chip manufacturing,Images,Fault prediction,Data driven,CNN,No,3,2-s2.0-85194759793
Transformer systems,Unstructured data,Fault prediction,Physics based,Chromatography detection,Yes: Chromatography analysis,2,2-s2.0-85184664741
Other,Unstructured data,Fault prediction,Data driven,,No,2,2-s2.0-85203109335
Large telescope primary mirror systems,Sensor data,Fault prediction,Data driven,,"Yes: Fault Detection, Isolation & Recovery (FDIR) measures",3,2-s2.0-85201960994
Industrial equipment monitoring,Sensor data,Fault prediction,Knowledge based,Not specified,Yes: rule-based / knowledge-based methods,1,2-s2.0-85129543664
Autonomous Vehicles / Automotive Systems,"['Sensor data', 'Images']",['Fault prediction'],Data driven,Not specified,No,3,2-s2.0-85184659956
Industrial machinery / Precision mechanical equipment,Sensor data,Fault prediction,Data driven,"Simulation analysis, experimental verification",Yes: Interpretable based on physical principles and sensor mechanism,2,2-s2.0-85200549730
High-voltage generating stations / Electrical systems,Sensor data,Fault prediction,Hybrid,"['Signal processing with short-time Fourier transform (STFT)', 'Graph convolutional network (GCN)', 'Convolutional neural network (CNN)']",No,4,2-s2.0-85145975096
Chip manufacturing,Sensor data,Other,Data driven,Aggregated adaptive online model (AggAOM),No,4,2-s2.0-85192981589
Industrial systems,Sensor data,Fault prediction,Data driven,Unspecified (implies machine learning and diagnostics techniques),No,3,2-s2.0-85097981340
Battery systems / Energy storage,Sensor data,Remaining Useful Life,Data driven,Sparse identification of nonlinear dynamics (SINDy),Yes: sparse identification / interpretable model,2,2-s2.0-85202214718
Manufacturing industries,"Sensor data, Time series","Remaining Useful Life, Fault prediction",Hybrid,CNN-LSTM,No,4,2-s2.0-85141446654
Industrial Internet of Things,"Sensor data, Time series",Fault prediction,Data driven,Deep learning,No,3,2-s2.0-85200497052
Military ground vehicles,"Sensor data, Time series",Fault prediction,Hybrid,"VAR, LSTM",No,2,2-s2.0-85111782442
Industrial systems,"Mixed functional and compositional data, sensor data",Causal relationships / Fault diagnosis,Data driven,"Multivariate tensor regression, generalized canonical correlation analysis, greedy hill-climbing search",Yes: Causal discovery methods and interpretability of causal relationships,4,2-s2.0-85193490032
Aircraft fuel systems,Sensor data,Remaining Useful Life,Physics informed,"['Physics of failure (PoF)', 'Statistical approaches']",Yes: physics of failure and statistical approaches,4,2-s2.0-85194180103
Mechanical equipment / bearings / mechatronic systems,Sensor data,Fault prediction,Data driven,Not explicitly specified in the abstract,No,1,2-s2.0-85200209743
Aero-engine systems,Sensor data,Remaining Useful Life,Data driven,"['VAE-GAN', 'BLSTM']",No,4,2-s2.0-85107762140
Industrial systems - Coal mill in power plants or industrial coal processing,Sensor data,Fault prediction,Data driven,"['SVD', 'VMD', 'HHT', 'LSSVM']",No,4,2-s2.0-85202014897
Residential electrical devices,Sensor data,Fault prediction,Supervised learning,SVM,No,2,2-s2.0-85125184317
Agriculture,Sensor data,Predictive maintenance,Data driven,,No,2,2-s2.0-85191688219
Industrial production systems,Historical data,Fault prediction,Data driven,"Meta-heuristics (GRASP, Large Neighborhood Search)",No,3,2-s2.0-85145353372
Aircraft brake system,Sensor data,Fault prediction,Data driven,BP neural network,No,1,2-s2.0-85115443976
Large-Scale Adaptive Structures (Buildings),Sensor data,Fault prediction,Rules and/or logic based,Chow-Willsky scheme,Yes: Qualitative fault diagnosability measures,3,2-s2.0-85130482647
Industrial automation,Sensor data,Process monitoring / Quality inspection,Data driven,Not specified,No,3,2-s2.0-105005063628
Chip manufacturing,Sensor data,Fault prediction,Data driven,"Not explicitly specified, likely signal processing and statistical analysis",Yes: Signal analysis and time difference analysis,3,2-s2.0-85136420789
Rotating Machines / Bearings,Sensor data,Fault prediction,Data driven,"['Standardised Mahalanobis Distance', 'Local Outlier Factor', 'Isolation Forest']",Yes: Standardised Mahalanobis Distance,2,2-s2.0-85125797216
Chip manufacturing,Sensor data,Fault prediction,Data driven,ML classifiers,No,2,2-s2.0-85130845753
Electrical power distribution systems,Sensor data,Fault prediction,Data driven,"Distributed Temperature Sensing (DTS), Raman-based measurements, Brillouin Optical Time-domain Reflectometry (BOTDR)",No,4,2-s2.0-85170641804
Communication Networks / Spectrum Monitoring,Sensor data,Fault prediction,Data driven,"Deep neural networks, Federated learning",No,2,2-s2.0-85143390207
Food packaging inspection,Sensor data,Fault prediction,Data driven,Not explicitly specified in the abstract,No,0,2-s2.0-85087914163
Other,Sensor data,Fault prediction,Rules and/or logic based,Routing protocol (B.A.T.M.A.N.) and sensor fusion techniques,Yes: Rules and logic based,2,2-s2.0-85107419950
Industrial systems (general),"Sensor data, Time series",Fault prediction,Data driven,Machine Learning Algorithms,No,4,2-s2.0-85185227944
Aircraft engines,Sensor data,Remaining Useful Life,Hybrid,"['Machine learning algorithms', 'Deep learning algorithms']",No,4,2-s2.0-85203848714
Fiber optic current sensors,Sensor data,Fault prediction,Data driven,Support Vector Machine (SVM),No,4,2-s2.0-85132821923
Internet of Things (IoT) systems,Sensor data,Fault prediction,Rules and/or logic based,Decision tree with ID3 algorithm,Yes: Decision tree,4,2-s2.0-85125642166
Hydraulic systems,Sensor data,Fault prediction,Data driven,"['CNN', 'ResNet']",No,2,2-s2.0-85179624542
Industrial manufacturing / Laser processing,Sensor data,Process monitoring / Control,Data driven,,No,3,2-s2.0-85083357833
Commercial buildings,Sensor data,Fault prediction,Data driven,"Deep learning, Kalman filtering",No,4,2-s2.0-85176252156
Pharmaceutical facilities,Sensor data,Fault prediction,Data driven,Microstrip sensor analysis,Yes: Sensor pattern interpretation,1,2-s2.0-85123612444
Aircraft systems,"Sensor data, Maintenance logs",Fault prediction,Data driven,"['Random forests', 'SVM', 'Neural networks']",No,2,2-s2.0-85217376912
Other,Sensor data,Fault prediction,Hybrid,Sliding Mode Observer (SMO),Yes: Sliding Mode Observer,1,2-s2.0-85212288614
Industrial systems / Structural health monitoring in metallic components,Sensor data,Remaining Useful Life,Data driven,Curve fitting / Nonlinear ultrasonic analysis,Yes: Curve fitting and fatigue index interpretation,4,2-s2.0-85132018255
Chip manufacturing,Sensor data,Fault prediction,Data driven,"['Convolutional Transformers', '1D Residual Networks (ResNet)']",No,4,2-s2.0-85179763132
Hydraulic systems,Sensor data,Fault prediction,Data driven,Machine learning,No,4,2-s2.0-85179626983
Sensor systems,Structured data,Error detection,Rules and/or logic based,Signal processing / rule-based algorithms,Yes: Interpretable algorithms,1,2-s2.0-85123587433
Urban rail transit,Sensor data,"Energy consumption prediction, thermal comfort research",Data driven,Not explicitly mentioned,No,2,2-s2.0-85106008418
Railway systems,Sensor data,Fault prediction,Rules and/or logic based,Recursive Vector AutoRegressive (RVAR) modeling,Yes: RVAR modeling,4,2-s2.0-85195918813
Chip manufacturing,"Sensor data, Images",Root cause analysis,Data driven,Digital image processing,Yes: Interpretable image processing techniques,4,2-s2.0-85120464680
Industrial thermal systems,"Sensor data, Time series, Images",Anomaly detection,Data driven,"Convolutional Autoencoder (ConvAE), Gramian Angular Field (GAF)",No,3,2-s2.0-85145253385
Wireless sensor networks,Sensor data,Fault prediction,Data driven,Autoencoder,Yes: Autoencoder,4,2-s2.0-85187288314
Healthcare (Intensive Care Unit - ICU patients),Time series,Remaining Useful Life,Data driven,"Recurrent Neural Networks (LSTMs, GRUs)",No,0,2-s2.0-85124111547
Rotating machinery / Gearbox systems,Sensor data,Remaining Useful Life,Hybrid,Response Surface Methodology (RSM),Yes: Response Surface Methodology (RSM),4,2-s2.0-85215325672
Traffic monitoring systems,Sensor data,Fault prediction,Data driven,,No,1,2-s2.0-85099792208
Electromechanical systems / Sensors (related to EMUs),Sensor data,Fault prediction,Data driven,Not specified,No,2,2-s2.0-85132831792
Power cables / Electrical infrastructure,Sensor data,Fault prediction,Data driven,Gas sensor testing and sensing performance analysis,Yes: Sensor performance and detection limits interpreted,3,2-s2.0-85098599733
Natural gas pipelines,Sensor data,Fault prediction,Hybrid,Unscented Kalman Filter (UKF),Yes: UKF,2,2-s2.0-85179763348
Commercial buildings,Sensor data,Fault prediction,Data driven,Not specified,No,4,2-s2.0-85171527108
Other,Time series,Fault prediction,Rules and/or logic based,Time-series analysis,Yes: Time-series analysis,1,2-s2.0-85206127269
"Industrial systems (rotating machinery, fault detection in encoders)","Sensor data, Time series",Fault prediction,Data driven,"Accelerometers, signal analysis",Yes: signal analysis and comparison methods,2,2-s2.0-85105781399
Structures / Civil Engineering,Sensor data,Remaining Useful Life,Data driven,Gaussian process regression,Yes: Gaussian process regression,2,2-s2.0-85105814769
Industrial systems (specifically centrifugal pumps),"Sensor data, Images",Fault prediction,Data driven,"['Autoencoder', 'Self-attention', 'Capsule network']",No,3,2-s2.0-85130637063
Wind turbine systems,"Sensor data, Time series, Structured data","Fault prediction, Remaining Useful Life",Data driven,"Order analysis, Feature extraction (implied techniques)","Yes: Feature extraction, Data analysis techniques",3,2-s2.0-85212237480
Industrial Internet of Things (IIoT) environments in manufacturing and process industries,Sensor data,Fault prediction,Data driven,"Federated Learning, SHAP (Explainable AI techniques like Counterfactual Explanations and SHAP)","Yes: SHAP, Counterfactual Explanations",3,2-s2.0-105003115439
Electric motors,Sensor data,Remaining Useful Life,Data driven,Autoencoder,No,4,2-s2.0-105004407595
Robot manufacturing / smart manufacturing,Sensor data,Fault prediction,Data driven,"Soft sensors, Model-Free Control (MFC)",Yes: Fault estimation and comparison with reference signals provide interpretability,3,2-s2.0-85179761694
Autonomous underwater vehicle systems,Sensor data,Fault prediction,Data driven,"['Neural networks', 'Extended Kalman Filtering']",No,2,2-s2.0-85166532240
Electric vehicle batteries,Sensor data,Fault prediction,Data driven,Not specified,No,4,2-s2.0-105004410243
Electric Vehicle Battery Management,Sensor data,Fault prediction,Data driven,Predictive analytics / Machine learning (implied from data-driven approach and predictive maintenance context),No,3,2-s2.0-105004406420
Power transformers,Sensor data,Fault prediction,Data driven,['Support Vector Machines (SVM)'],Yes: SVM,4,2-s2.0-85170649978
Industrial manufacturing equipment,Sensor data,Fault prediction,Data driven,Machine Learning algorithms,No,3,2-s2.0-85090846185
Other,Sensor data,Features / explainability (not explicitly specified as RUL or fault prediction),Data driven,Deep Neural Networks (DNN),Yes: Explainable feature extraction algorithms,3,2-s2.0-85215282988
Military systems,"['Sensor data', 'Time series']",Remaining Useful Life,Data driven,"['Kalman Filter', 'PCA-mRMR-VIF', 'LSTM']",No,3,2-s2.0-85146543397
Power plants,Sensor data,Fault prediction,Data driven,BiLSTM,No,3,2-s2.0-85085701547
Power transformers,Sensor data,Fault prediction,Data driven,"Optical Fiber Sensor techniques (OFDR, FBG) and comparison with thermocouple data",Yes: Sensor data-based monitoring and comparison,4,2-s2.0-85087746076
Other,Sensor data,Remaining Useful Life,Data driven,"['Gated neural network', 'Linear regression', 'Similarity-metric curve matching']",Yes: Linear regression,3,2-s2.0-85125483895
Power transmission and distribution systems,Sensor data,Fault prediction,Data driven,Not explicitly mentioned,No,3,2-s2.0-85205600314
Street lighting systems,Sensor data,Fault prediction,Data driven,Pigeon optimized BP network (neural network with pigeon-inspired optimization),No,2,2-s2.0-85141823398
Oil and Gas Pipeline Monitoring,Sensor data,Fault prediction,Physics based,Sinc series expansion,Yes: physics based,2,2-s2.0-85098701885
Automotive systems / Automated vehicles,Point clouds,Fault prediction,Data driven,Deviation analysis,Yes: Interpretability of deviation calculations,2,2-s2.0-85123585839
High-voltage switchgear / GIS systems,Sensor data,Fault prediction,Data driven,"Not explicitly specified, but based on signal fitting and correlation analysis",Yes: statistical correlation and physical analysis,2,2-s2.0-85109216534
Heavy-duty diesel engines,Sensor data,Fault prediction,Data driven,"Not explicitly mentioned, possibly statistical analysis or ML-based correlation analysis",No,2,2-s2.0-85146720162
Industrial machines,Vibration data,None (design optimization and validation),Physics based,"Numerical simulation, differential evolution algorithm",Yes: Physics-based models and optimization processes,1,2-s2.0-85174036114
"Mechanical systems / Dynamic systems (e.g., simple harmonic oscillator)",Sensor data,Fault prediction,Data driven,"Kalman filter (KF), Sliding innovation filter (SIF), NIS metric","Yes: NIS metric, fault detection mechanism",2,2-s2.0-85173868237
Automotive systems,Sensor data,Fault prediction,Data driven,,No,2,2-s2.0-85215287429
Industrial laser systems for welding,Sensor data,Condition monitoring and predictive maintenance,Data driven,Not explicitly specified,No,3,2-s2.0-85085240825
Industrial machinery monitoring / rotating machinery,Sensor data,Fault prediction,Data driven,"['SMOTE', 'GAN']",No,3,2-s2.0-85170828620
Aero-engines,Sensor data,Remaining Useful Life,Hybrid,"['Bi-LSTM', 'Graph Neural Network']",No,4,2-s2.0-105003295372
Industrial automation,Sensor data,Real-time decision making,Other,Not specified,No,0,2-s2.0-105004415965
Radar systems in autonomous driving,Sensor data,Fault prediction,Data driven,Machine learning,No,2,2-s2.0-85174815188
Industrial machinery / Manufacturing facilities,Sensor data,Fault prediction,Data driven,Not specified,No,3,2-s2.0-85122986141
Solar energy systems,Sensor data,Fault prediction,Data driven,"['SVM', 'Decision Trees', 'Random Forest']","Yes: Decision Trees, Random Forest",4,2-s2.0-105004407375
Natural Gas Pipelines,Sensor data,Fault prediction,Hybrid,"['Ensemble Kalman filter (EnKF)', 'Gaussian mixture model (GMM)']",No,2,2-s2.0-85215304385
Electric vehicle drive systems,"Sensor data, Time series",Rotor position estimation,Hybrid,"Analytical methods, High-frequency signal analysis","Yes: Analytical methods, High-frequency signal analysis",3,2-s2.0-85122341531
Other,Images,Wavefront reconstruction,Data driven,Image registration and phase gradient integration,Yes: Image registration and phase analysis,1,2-s2.0-85135872626
"Industrial systems, specifically welding machines in shipbuilding/marine manufacturing","Sensor data, Time series",Fault prediction,Rules and/or logic based,Hidden Markov Model (HMM),Yes: Hidden Markov Model,2,2-s2.0-85171169500
Industrial electrical systems,Sensor data,Fault prediction,Data driven,,No,2,2-s2.0-85146678027
Structural Health Monitoring (SHM) in aerostructures,Sensor data,Fault prediction,Hybrid,"ARX models, frequency domain analysis","Yes: AutoRegressive with eXogenous excitation (ARX) models, coherence analysis",3,2-s2.0-85212197585
Industrial IoT systems,Multivariate Time Series,Classification / Model accuracy improvement,Data driven,Deep learning (ResNet),No,3,2-s2.0-85190148154
Fiber optic current sensor systems,"['Signal processing', 'Knowledge-based data']",['Fault prediction'],Hybrid,"['Analytical model', 'Knowledge-based methods']",Yes: rule-based / knowledge-based techniques,2,2-s2.0-85097132143
Structural health monitoring,Sensor data,Fault prediction,Data driven,"Convolutional autoencoder, Multilayer perceptron (MLP)",No,2,2-s2.0-85107518829
